No. 	English 	IE		Greek ελληνικά (elliniká) 	IPA pronunciation		Ancient Greek ἑλληνική (hellēnikḗ) 
1	I 	icho		εγώ (egó) 	eˈɣo		ἐγώ (egṓ)
2	you (singular) 	a’Sie		εσύ (esý), εσείς (eseís) (formal) 	eˈsi, eˈsis		σύ (sú)
3	he 	𓆑 !! hoe		αυτός (aftós) 	afˈtos		αὐτός (autós), οὗ (hoû), ὅς (hós), ὁ (ho), οὗτος (hoûtos)
4	we 	a’meis  a’mir <> Romani		εμείς (emeís) 	eˈmis	!	ἡμεῖς (hēmeîs)
5	you (plural) 	a’Sies		εσείς (eseís) 	eˈsis	!	ὑμεῖς (humeîs)
6	they 	a’fthey  phothey		αυτοί (aftoí) 	afˈti		αὐτοί (autoí)
7	this 	a’fthis		αυτό (aftó) 	afˈto	!	ὅδε (hóde)
8	that 			εκείνο (ekeíno) 	eˈcino		ἐκεῖνος (ekeînos)
9	here 	𓉻𓂝𓈐 aDar!!!		εδώ (edó) 	eˈðo		ἔνθα (éntha), ἐνθάδε (entháde), ἐνταῦθα (entaûtha)
10	there 	𓉻 𓂝 𓈐 aChere		εκεί (ekeí) 	eˈci		ἐκεῖ (ekeî)
11	who 	phois! Tis, den		ποιος (poios) 	pços	!	τίς (tís)
12	what 	die, der		τι (ti) 	ti		τί (tí)
13	where 	wo		πού (poú) 	pu		ποῦ (poû), πόθι (póthi)
14	when 	whatime		πότε (póte) 	ˈpote		πότε (póte), πῆμος (pêmos)
15	how 	phows		πώς (pós) 	pos		πῶς (pôs)
16	not 	mun!		δε(ν) (de(n)), μη(ν) (mi(n)) 	ðe(n), mi(n)	ƒ	οὐ (ou), μή (mḗ)
17	all 	Alloi ++		όλοι (óloi) 	ˈoli	>	πᾶς (pâs), ἅπᾱς (hápās)
18	many 	Viole ^^		πολλοί (polloí) 	poˈli		πολύς (polús)
19	some 	>		μερικοί (merikoí) 	meriˈci		τις (tis)
20	few 	oliga, few*2 !!! pauv		λίγοι (lígoi) 	ˈliʝi	!!	ὀλίγος (olígos), βαιός (baiós), παῦρος (paûros)
21	other 	allo™ (all hother!!) ^^		άλλοι (álloi) 	ˈali		ἄλλος (állos), ἕτερος (héteros)
22	one 	🗸		ένα (éna) 	ˈena		εἷς (heîs)
23	two 	🗸		δύο (dýo) 	ˈðio		δύο (dúo)
24	three 	🗸		τρία (tría) 	ˈtria		τρεῖς (treîs)
25	four 	!?!? >>>		τέσσερα (téssera) 	ˈtesera		τέσσαρες (téssares)
26	five 	🗸		πέντε (pénte) 	ˈpende		πέντε (pénte)
27	big 	🗸		μεγάλος (megálos) 	meˈɣalos		μέγας (mégas)
28	long 	🗸		μακρύς (makrýs) 	maˈkris		μακρός (makrós)
29	wide 	🗸		πλατύς (platýs), φαρδύς (fardýs) 	plaˈtis, farˈðis	!!	εὐρύς (eurús)
30	thick 	>>		παχύς (pachýs), χοντρός (chontrós) 	paˈçis, xonˈdros	~	πυκνός (puknós)
31	heavy 	🗸		βαρύς (varýs) 	vaˈris		βαρύς (barús)
32	small 	🗸		μικρός (mikrós) 	miˈkros		μῑκρός (mīkrós)
33	short 	coũrt, [abge]brochen++		κοντός (kontós) 	koˈndos		βραχύς (brakhús)
34	narrow 	steno™		στενός (stenós) 	steˈnos		στενός (stenós)
35	thin 	™ >		λεπτός (leptós) 	leˈptos		μανός (manós)
36	woman 	🗸		γυναίκα (gynaíka) 	ʝiˈneka		γυνή (gunḗ)
37	man (male) 	🗸		άνδρας (ándras) 	ˈandras	!	ἀνήρ (anḗr)
38	man (human) 	🗸		άνθρωπος (ánthropos) 	ˈan̪θropos		ἄνθρωπος (ánthrōpos)
39	child 	🗸 Pedo >> payd?		παιδί (paidí) 	peˈði		τέκνον (téknon), παῖς (paîs), παιδίον (paidíon)
