No. 	English 	Paraguayan Guaraní avañe'ẽ	not very PIE	some SEM –	
1	I 	che	je iche	+++	
2	you (singular) 	nde	ante du	+++	
3	he 	ha'e	he	+++	
4	we 	ñande (inclusive), ore (exclusive)	nouns	++	
5	you (plural) 	peẽ	'we’		
6	they 	ha'ekuéra	'hey		
7	this 	ko	ce	+++	
8	that 	pe	pho		
9	here 	ko'ápe			
10	there 	upépe			
11	who 	mávapa (interrogative)	mwho?	++	
12	what 	mba'épa (interrogative)	mwhat?	++	
13	where 	mamópa (no movement, interrogative)	ma move?	++	
14	when 	araka'épa (interrogative)			
15	how 	mba'éichapa (interrogative)	mwelch?	++	
16	not 	ani, nd- -i	anti not	++	
17	all 	pa	pan	++	
18	many 	eta	exa	++	
19	some 				
20	few 	mbovy			
21	other 	ambue	ambi!		
22	one 	peteĩ			
23	two 	mokõi			
24	three 	mbohapy			
25	four 	irundy			
26	five 	po			
27	big 	tuicha, guasu			
28	long 	puku			
29	wide 	pe			
30	thick 	kyra			
31	heavy 	pohýi	pound		
32	small 	michĩ	micri		
33	short 	mbyky			
34	narrow 	po'i			
35	thin 	pererĩ			
36	woman 	kuña	gyne		
37	man (adult male) 	kuimba'e	hombre		
38	man (human being) 	tekove			
39	child 	mitã'i	𓄟𓆣Maisen 		
40	wife 	tembireko	d’hombre?		
41	husband 	ména	man		
42	mother 	sy	sie		
43	father 	ru, túva	er, atav		
44	animal 	mymba, tymba			
45	fish 	pira			
46	bird 	guyra			
47	dog 	jagua	jagǒur 狗		
48	louse 				
49	snake 	mbói			
50	worm 	taso			
51	tree 	yvyra			
52	forest 	ka'aguy			
53	stick 	pokoka	poke		
54	fruit 	yva			
55	seed 	ta'ỹi			
56	leaf 	togue			
57	root 	tapo			
58	bark (of a tree) 				
59	flower 	yvoty			
60	grass 	ka'a, ñana			
61	rope 	sã	seil		
62	skin 	pire	peal  皮 pí		
63	meat 	so'o	corne		
64	blood 	tuguy			
65	bone 	kangue			
66	fat (noun) 	ñandy			
67	egg 	tupi'a			
68	horn 	jepoka	poke^^		
69	tail 	tuguái	~		
70	feather 	tague	tag		
71	hair 	áva	avhaar		
72	head 	akã	a’kop		
73	ear 	nambi			
74	eye 	tesa			
75	nose 	tĩ			
76	mouth 	juru			
77	tooth 	tãi	zain dent tai		
78	tongue (organ) 	kũ			
79	fingernail 	pyapẽ			
80	foot 	py	pod		
81	leg 	tetyma			
82	knee 				
83	hand 	po	Pfote ^^ pod		
84	wing 	pepo	Opter ^^ pod		
85	belly 				
86	guts 	py'akue			
87	neck 	ajúra			
88	back 	ape			
89	breast 	káma	k’mamma		
90	heart 	ñe'ã	ge.nea		
91	liver 	py'akue			
92	to drink 	-'u	abu		
93	to eat 	karu, -'u	kau		
94	to bite 	su'u	Zu-beiß		
95	to suck 	pyte	babyt		
96	to spit 	ndyvu			
97	to vomit 				
98	to blow 	peju			
99	to breathe 	pytuhẽ			
100	to laugh 	puka			
101	to see 	hecha			
102	to hear 	hendu			
103	to know 	kuaa	know kunde		
104	to think 	mo'ã	mind		
105	to smell 	hetũ			
106	to fear 	kyhyje			
107	to sleep 	ke			
108	to live 	kove			
109	to die 	mano	morn		
110	to kill 	juka	jukill	+?	
111	to fight 	ñorairõ			
112	to hunt 				
113	to hit 	japete			
114	to cut 	kytỹ	cut	++++	
115	to split 				
116	to stab 				
117	to scratch 	karãi	s’karaix	++	
118	to dig 	jo'o			
119	to swim 	yta			
120	to fly 	veve	~		
121	to walk 	guata	go.itir	++	
122	to come 	ju			
123	to lie (as in a bed) 	ty (action)	die;)		
124	to sit 	guapy (action)			
125	to stand 	pu'ã (action)			
126	to turn (intransitive) 	pyryrỹi			
127	to fall 	-'a	fa’		
128	to give 	me'ẽ	meno		
129	to hold 	reko	reich		
130	to squeeze 	jopy			
131	to rub 	kyty			
132	to wash 	johéi			
133	to wipe 	ky'a'o			
134	to pull 	nohẽ			
135	to push 	muaña			
136	to throw 	ty	~		
137	to tie 	ñapytĩ			
138	to sew 	mbovyvy			
139	to count 	papa			
140	to say 	-e	s’ey		
141	to sing 	purahéi			
142	to play 	ñembosarái			
143	to float 				
144	to flow 	syry			
145	to freeze 				
146	to swell 				
147	sun 	kuarahy	soray 🌣 	+++	
148	moon 	jasy	Iah.sin	+++	
149	star 	mbyja			
150	water 	y		+ 	
151	rain 	ama	mayim מים	+ 	
152	river 	ysyry	wysyr ither	+++	
153	lake 	ypa			
154	sea 	para			
155	salt 	juky			
156	stone 	ita		<	
157	sand 	yvyku'i	eve=earth		
158	dust 	yvytimbo	eve=earth		
159	earth 	yvy	eve		
160	cloud 	arai	a’rain		
161	fog 	tatatína			
162	sky 	yvága			
163	wind 	yvytu			
164	snow 	yrypy'a			
165	ice 	yrypy'a			
166	smoke 	tatatĩ, timbo			
167	fire 	tata	Hottal <> haku	--	tuli@FIN
168	ash 	kusugue, tanimbu			
169	to burn 				
170	road 	tape			
171	mountain 	yvaty, yvyty			
172	red 	pytã			
173	green 	sa'yky	sar	++	
174	yellow 	sa'yju	sar	++	
175	white 	morotĩ		--	
176	black 	hũ	黑 hēi		
177	night 	pyhare	fire?		
178	day 	ára	Hora a’ray 🌣 	+++	
179	year 	ary	Year a’ray 🌣 	+++	
180	warm 	haku	hot 	+?	
181	cold 	ro'y	kryo	++	
182	full 	enyhẽ			
183	new 	pyahu			
184	old 	tuja			
185	good 	porã, pupu	pure	++	
186	bad 	vai	bae bad verwest		
187	rotten 	tuju			
188	dirty 	ky'a			
