English gloss 	Hadza	Isolated @ Tanzania
I 	*one /ʔone/, */-ko/[4]	one, anI
rain 	'= ''water'' (msg = ''rain, river''; mpl = ''water'')'	
tooth 	aha /ʔaɦa/	
skin 	ahu /ʔaɦu/	
name 	akhana /ʔakʰana/	erkenner < kern 𓂋
eye 	akhwa /ʔakʷʰa/	augwa
blood 	athama /ʔatʰama/	adama
water 	'ati /ʔati/ (mpl; msg = ''rain, river'')'	wati®
fish 	ccama /ⁿǀˀama/, ccara /ⁿǀˀaɺa/	𓂋 𓅓 𓆛 𓂻
louse 	ccamazzi /ⁿǀˀamat͜sʼi/[2]	
to see 	chî /ǀʰiː/ ~ cî /ǀiː/	see
to drink 	fa /fʷa/	'boi'''
full 	ggaʼe /k͜x’aʔe/, *cco- /ⁿǀˀo-/	kall
knee 	guringuri /ɡuɺiƞɡuɺi/ ~ gurunguri /ɡuɺuƞɡuɺi/ (Cushitic? pan-African)	'gurinee k''nee'
ear 	hajjapitchi /ɦat͜ʃ’apit͜ʃʰi/[3]	
stone 	haqqa /ɦaⁿǃˀa/	
person 	haza /ɦad͜za/ (human), unu /ʔunu/ (person)	
leaf 	hazzape /ɦat͜s’ape/	
bark 	heggwa /ɦek͜xʷ’a/	
nose 	intawe /ʔiƞtʰawe/	
breast 	'iriba /ʔiɺiba/ (''breasts, milk''. Cushitic); ggazza /k͜x’at͜s’a/ (''flesh at sternum'')'	
sun 	isho /ʔiʃo/	
one 	itchâme /ʔit͜ʃʰaːme/	
bone 	midla /mic͜ʎ̥˔’a/ (cf. Dahalo)	
tongue 	ncata /ⁿǀata/	
star 	ntsa /ƞt͜sʰa/, sa /sa/ (Cushitic?)[5]	
hear 	nxaʼe /ⁿǁaʔe/	
we (exclusive) 	ô /ʔoː/, /-j-/	
two 	piye /pie/, konxa /koⁿǁa/ (verb)	bi
horn 	roo /ɺoʔo/	hroo(n)
to die 	taxxi /taⁿǁˀi/, misi /misi/ (Datooga?)	misi < mut
thou 	the /tʰe/, /-en-/ (m), /-n-/ (f)	(an) thee
hand, arm 	ukhwa /ʔukʷʰa/	u khwand
dog 	xhaano /ǁʰaʔano/, tîngi /tiːƞki/	chien
kill 	xô /ǁoː/	
liver 	xxe /ⁿǁˀe/	
mountain 	xxudle /ⁿǁˀuc͜ʎ̥˔’e/	
path 	yeke /jeke/	
come 	za /d͜za/ (Bantu), botco /bot͜ʃo/ (stem of imperative)	
new 	zana /d͜zana/[6]	xin 𓌳 𓅱
night 	'zzifi /t͜s’ifi/ (m; f = ''day'')'	
tree 	zziti /t͜s’iti/	
fire 	zzoko /t͜s’oko/	
