No. 	English 	Hausa	PIE	
1 	I 	ni	an.I	
2 	you (singular) 	kai	ike, ego	
3 	he 	shi	su, she	
4 	we 	mu	me	
5 	you (plural) 	ku	kyou	
6 	they 	su	su, they, them	
7 	this 	wannan	whon	
8 	that 	wancan	𓊪𓆑,𓈖 𓏏	
9 	here 	nan	𓇑𓇑, nahr, 那 哪	
10 	there 	can		
11 	who 	wa (interrogative)	who	
12 	what 	me (interrogative)	ma?	
13 	where 	ina (no movement, interrogative)	< 𓍿𓈖𓌙 𓅯	
14 	when 	yaushe (interrogative)	< 𓐍 𓆑 / 𓅯𓅯	
15 	how 	yaya (interrogative)	𓅱𓏮 !	
16 	not 	ba ...	but, 𓇓𓅱𓏏, 𓃀𓈖	
17 	all 	duk	tokal > total	
18 	many 	da yawa	<> 𓂝 𓈙 𓄿 𓆈 / 𓉻 𓏏𓏯 𓈙 𓏥 ?	
19 	some 	waɗansu		
20 	few 	kaɗan	𓂝 𓈖𓂧 𓏏𓅪 permutated <> 𓂧:c/d  𓂝:Kante	
21 	other 	wancan	𓎘 𓅱𓆓 𓏛, 𓎡 𓏮	
22 	one 	ɗaya	𓏏𓅱 !!??	
23 	two 	biyu	bi2	
24 	three 	uku		
25 	four 	huɗu	qhuɗu	
26 	five 	biyar	≠ vier	
27 	big 	babba	babga big	
28 	long 	dogo	大 dàge	
29 	wide 	mai faɗi	ma.waidi wide	
30 	thick 	mai kauri	qⲑⲏ	
31 	heavy 	mai nauyi	<> 𓂧 𓈖𓋴  ma.ce naugi <> neige	
32 	small 	ƙarami	𓈙 𓂋 𓇋 𓅪 𓀀 <> Gewürm <> krumm 	
33 	short 	gajere	𓎛 𓂝 𓅪 kurz	
34 	narrow 	mai ƙunci		
35 	thin 	siriri	𓆁 𓈎 𓏗 qiriri	
36 	woman 	mace	madame mother	
37 	man (adult male) 	mutum	muertum	
38 	man (human being) 	ɗan Adam		
39 	child 	yaro (boy), yarinya (girl)		
40 	wife 	mata	mother	
41 	husband 	miji	mac	
42 	mother 	uwa	Eva!  𓅓 ϣⲱⲙⲓ	
43 	father 	uba	Abe! Opa	
44 	animal 	dabba	dabbar 𓄛 der Bär   	
45 	fish 	kifi		
46 	bird 	tsuntsu	𓅂𓅂 隹隹	
47 	dog 	kare	কুকুৰ kukur κόνι cunī	
48 	louse 	kwarkwa	Gewürm	
49 	snake 	maciji	𒈲 MUŠ < могой mogoi < marsh	
50 	worm 	tsutsa	tit-louse	
51 	tree 	itace	𒄑𒄑 <> 𓋴𓆭 hašduir	
52 	forest 	ƙungurmin daji	daji <> tree?	
53 	stick 	sanda	!	
54 	fruit 	’ya’yan itace	𓂋 𓂋 / 𓇭𓇋𓇋 𒄑𒄑	
55 	seed 	iri	𓂋 / 𓌽	
56 	leaf 	ganye	𓄔 𓏤 / 𓇥 𓂋 𓆓 𓄔	
57 	root 	saiwa	𓍯 𓄿 𓃀 𓆰  saiba <> socket	
58 	bark (of a tree) 	ɓawon itace	ɓa… 𓆭	
59 	flower 	fure	[[𓆸]] fleure	
60 	grass 	ciyawa	𓁸 𓏥  < hair	
61 	rope 	igiya	𓇋 𓎛 𓍢 << 𓂝 𓈎 𓄿 𓂭 𓂭 𓍢 𓏤 <> rogue	
62 	skin 	fata	pelt 𓃀 𓅡 𓄇 𓄛  > 𓄞 𓂧 𓄛 fat, water-skin	
63 	meat 	nama	?	
64 	blood 	jini	gene δanu ⇔ dyn.astie dam=blood@SEM 𓊃𓈖𓆑 𓅱𓂐 хун xun xuèn цӏий čʼɪɪ̆	
65 	bone 	ƙashi	ƙosteo Кость	
66 	fat (noun) 	ƙiba, mai	< 𓄡 𓊪 𓈖𓃾 ?	
67 	egg 	ƙwai	egwo	
68 	horn 	ƙaho	1. ƙahon ƙahorn 2. ƙahon ƙaron 	
69 	tail 	wutsiya	“Wutz” Wedel wu tsiyar tsiyal tail	
70 	feather 	gashin tsuntsu	goose 𓅂𓅂 隹隹	
71 	hair 	suma	𓍲 𓈖𓏮 𓁸 𓏥	
72 	head 	kai	kaiphalo cephalo	
73 	ear 	kunne	<> kennen  𒌈 귀.n	
74 	eye 	ido	ⲓⲁⲧ⳼   eyeth	
75 	nose 	hanci	ha.noci <> Henkel	
76 	mouth 	baki	Backen	
77 	tooth 	haƙori	𓄑 κέρα 𓄏	
78 	tongue (organ) 	harshe		
79 	fingernail 	farce		
