? ,English ,Hebrew ,Romanized Hebrew ,EU,,Arabic ,Romanized Arabic ,Tarifiyt Berber ,,Hebrew ,Romanized Hebrew ,Syriac ,Romanized Syriac ,Romanized Akkadian ,Ge'ez ,Romanized Ge'ez ,Maltese ,Romanized Coptic ,Tarifiyt Berber ,Hausa ,Oromo (Wallagga) ,Somali
1,I ,"????, ????? ","?ani, ?ânóxi ",an I,+,???? ,?ána ,n?šš ,an’isch  as@Litv,"????, ????? ","?ani, ?ânóxi ",???? ,?en? ,an?ku ,?? ,?ana ,"jiena, jien ",anok ,n?šš ,níi ,"ana, na ",ani
2,you ,"????, ??? ","?attâ m, ?at f ",a tu,+,"???? ,???? ","?anta m, ?anti f ","š?kk, š?mm ",k,"????, ??? ","?attâ m, ?at f ","???? m, ????? f ","?at m, ?a (ti) f ","atta m, atti f ","???, ??? ","?anta m, ?anti f ","inti, int ","ntok m, nto f ","š?kk, š?mm ","kái, kée ",si ,adi
3,he ,??? ,hu ,he,++,??? ,húwa ,"n?tta m, n?tta? f ","ante’ a, at!",??? ,hu ,??? ,hu ,š? ,??? ,w???tu ,"huwa, hu ","ntof m, ntos f ","n?tta m, n?tta? f ","shíi m, ítá f ",isa ,"isa m, iyaf"
4,we ,????? ,?ana?nu ,a’nou*,+,???? ,ná?nu ,n?ššin ,nousn!,????? ,?ana?nu ,"????, ?????? ","?nan, (?)na?nan ",n?nu ,??? ,n??na ,a?na ,anon ,n?ššin ,múu ,nu ,"inna (incl.), aanna (excl.)"
5,you ,"???, ??? ","?attem m, ?atten f ",a’thein,+,"????? m, ????? f, ?????? m/f dual ","?ántum m, ?antunna f, ?antum? m/f dual ","k?nniw, k?nnint ",,"???, ??? ","?attem m, ?atten f ","?????? m, ?????? f ","?att?n m, ?att?n f ","attunu m, attina f ","????, ???? ","?ant?mu m, ?ant?n f ",intom ,nt?tn ,"k?nniw, k?nnint ",kúu ,isin ,idin
6,they ,"???, ??? ","hém m, hén f ",(t)hem,++,"??? m, ???f, ???? m/f dual ","hum m, húnna f, hum? m/f dual ","nihni, nih?nti ",,"???, ??? ","hém m, hén f ","????? m, ????? f ","henn?n m, henn?n f ","šunu m, šina f ","????, ???? ","??mmuntu m, ??mm?ntu f ",huma ,ntou ,"nihni, nih?nti ",súu ,isaan ,iya
7,this ,"???? ,?? ,??, ??? ","ze m, zó, zó? f ",ce,++,"???? m, ???? f ","h?ð? m, h?ðihi f ",'=a,,"???? ,?? ,??, ??? ","ze m, zó, zó? f ","???? m, ???? f ","h?n? m, h?ð? f ",annû ,"?-, ???, ?/?? ","z?-, z?ntu m, z?/z?ti f ","dan m, din f ",Err:509,#NAME?,wánnàn ,kana ,"kan m, tan m"
8,that ,"?????, ????? ","hahu m, hahi f ",(t)hahere,,"???? m, ???? m, ???? f, ???? ","ð?lika m, ð?ka m, tílka f, tika f ","'=in, =?nni",,"?????, ????? ","hahu m, hahi f ","??? m, ??? f ","h?w m, h?y f ","š?, ullû ",??? ,z?ktu ,"dak m, dik f ",Err:509,Err:509,wáncàn ,san ,"kaas m, taas f"
9,here ,"???? ,?? ","pó, hinné ",hinne!,,???? ,hun? ,,,"???? ,?? ","pó, hinné ",????? ,hark? ,annânu ,?? ,zaya ,hemm ,,,nan ,,halkan
10,there ,?? ,šâm ,ce,,"?????, ?????? ","hun?ka, hun?lika ",,,?? ,šâm ,???? ,tamm?n ,,?? ,h?yya ,hawn ,,,can ,,halkaas
11,who ,?? ,mi ,mwhe?,,??? ,man ,,,?? ,mi ,??? ,man ,mannu ,?? ,mannu ,min ,,,wanda ,eeññu ,
12,what ,?? ,ma ,? ma  mwha?,+,"???, ????? ","m?, m?ð? ",,,?? ,ma ,"???, ???, ????, ???? ","m?, m?n, m?n?, m?n ",m?nu ,??? ,m?nt ,xi ,,,me ,maal ,maxaa
