 No. 	English 	Hurrian		
1 	I 	iš-		ich
2 	you (singular) 	fe-		qve 𓎡 <> abba ⚠️ ⚡︎
3 	he, she, it 	mani		man, mun 
4 	we 	ša-tti		⚡︎
5 	you (plural) 	-abba		<> ƒa
6 	they 	-alla		all
7 	this 	an-ni		ante an…
8 	that 	a-ni		ante an…
9 	here 			
10 	there 			
11 	who 	aw-i, ab-i		awho 
12 	what 	aw		
13 	where 			
14 	when 	ai, inna, undu		whinn inuma ante
15 	how 	inu		
16 	not 	u-, wa-		a¬
17 	all 	šua-lla		kall
18 	many 	te-u-na		多 duōⁿ tant… ډېر ḍer talay tell…  ӏаджэ 
19 	some 			
20 	few 			
21 	other 			
22 	one 	šu-kki, šu-kku		⚡︎ ešu-ek erstig
23 	two 	šini		ⲥⲛⲁⲩ
24 	three 	kig(a)		⚡︎ circ(e)
25 	four 	tumni		⚡︎ twomeni 2*2 <> 𓎛 𓏠 𓈖 4*2 <>  𔖻 mi 𔗘 mi māwinzi mune,mínei @ Bantu
26 	five 	nariy(a)		⚡︎  4+1 ꉬ ngeʳ 五 ngūʳ π.pa pen5 پنج panj 🫱 mara
27 	big 	tal-mi,tal-a-mi		tall
28 	long 	keri		√kar great
29 	wide 			
30 	thick 			
31 	heavy 			
32 	small 			
33 	short 			
34 	narrow 			
35 	thin 	niga-le		eng(ly)
36 	woman 	ašti, ašta		išta 𒁮 #aššatam
37 	man (adult male) 	taɣe, tae		<<
38 	man (human being) 	taršuwa-ni		
39 	child 			
40 	wife 			
41 	husband 			
42 	mother 			
43 	father 			
44 	animal 			
45 	fish 			
46 	bird 	eradi		birdy herald
47 	dog 	erbi, erwi		𒌨 ʰUR 𒌨 ᵏURʷ kurwa Kalb 𓃛
48 	louse 	apxe		
49 	snake 	apši		pythy
50 	worm 			
51 	tree 	tali		≈
52 	forest 			
53 	stick 			
54 	fruit 			
55 	seed 			
56 	leaf 			
57 	root 			
58 	bark (of a tree) 			
59 	flower 			
60 	grass 			
61 	rope 			
62 	skin 	ašxe		ašxeⁿ
63 	meat 	uʒi		𒍜 UZU flesh
64 	blood 	tsurgi		𒁱 dara₄
65 	bone 			
66 	fat (noun) 	aše		𓎙 𓆓 𓊌 𓏥 
67 	egg 			
68 	horn 			
69 	tail 			
70 	feather 			
71 	hair 			
72 	head 	paɣi		𓃾 𓄀 par
73 	ear 	nui, nuɣi		⚡︎
74 	eye 	ši, šiɣi		𒅆 ši(igi)
75 	nose 	punɣi, puxxi		punch pa.nose
76 	mouth 	faši		fresse 𓅮 𓂋 𒉿𒄿
