№ 	English 	PIE		Sanskrit 	Pali 	Hindi 	Urdu 	Nepali 	Punjabi 	Gujarati 	Marathi 	Assamese 	Bengali 	Kashmiri 	Sindhi 	Sinhalese 	Romani 
1	I 	anha.me		aham 	ahaṃ 	ma͠i 	ma͠i 	ma 	mē̃ 	hũ 	mī 	moi 	āmi 	bɨ 	āun 	mam 	me 
2	thou (singular) 	tvo.am!		tvam 	tvaṃ 	tum, tū, āp 	tum, tū, āp 	timi, tã, tapaĩ 	tū̃, tusī̃ 	tame, tũ, āp 	tū 	tumi, toi, apuni 	tumi, tui, āpni 	tsɨ 	tun 	oba, oya 	tu 
3	he 	su, ye, uh, te[r]		sa 		vah, yah 			uh 	te 	to (distal), hā (proximal) 	i, xi teü, tekhet 	se 			eyā, ohu 	voj 
4	we 	weyam, a’mira		vayam 	vayaṃ 	ham 			asī̃ 	ame 	āmhī (exclusive), āpaṇ (inclusive) 	ami 	amra 			api 	ame 
5	you (plural) 	youyam		yūyam 		tum, āp (polite) 			tusī̃ 	tame, āp (polite) 	tumhī (casual), āpaṇ (polite) 	tumi, apuni 	tomra, apnara 			oyālā, oba siyallan 	tume 
6	they 	te’		te 		ve, ye 			uh 	teo 	he (distal), te (proximal) 	xihot, teuluk 	tara 			ovuhu, ovhu, ovun 	von 
7	this 	ident, (t)hi		idam 		yah 			ih 	ā 	hā (masculine), hī (feminine), he (neuter) 	ei as 	e 				kado 
8	that 	that		tat 		vah 			uh 	pelũ 	to (masculine), tī (feminine), te (neuter) 	xei 	o 				kodo 
9	here 	yahar vs nahin!		atra 		yahā̃ 			itthe 	ahī̃ 	ithe, ikḍe 	iat 	ekhane 				kathe 
10	there 	tatra 		tatra 		vahā̃ 			utthe 	tyā̃ 	tithe, tikḍe 	tat 	okhane 				kothe 
11	who 	kva		ka 		kaun 			kauṇ 	koṇ 	koṇ 	kün 	ke 				kon 
12	what 	kvay		kim 		kyā 			kī 	śũ 	kāy 	ki 	ki 				so 
13	where 	kvo.tra		kutra 		kahā̃ 			kitthe 	kyā̃ 	kuṭhe 	kót 	kothayô) 				kaj 
14	when 	kwann.da		kadā 		kab 			kadoṃ 	kyāre 	kevhā, kadhī 	ketia as 	kôkhôn 				kana 
15	how 			katham 		kaise 			kiveṃ, kiddāṃ 	kevī rīte, kem 	kase 	kene 	kemôn 				sar 
16	not 	nathī, nahin		na 		na, nahī̃ 	na, nahī̃ 	-na-, chaina 	nā 	nathī, na, nahī̃ 	nāhī 	n-, nohoy, nai 	na 				na 
17	all 	<<<		sarva 		sab, sāre 			sārā, sab 	badhũ, tamām, sarva 	sarva 	xokolü, atai 	sôb 				sa 
18	many 	beauhoup einige		bahu 		bahut 			bahut, kaī 	bahu, ghaṇũ 	anek 	bohut 	ônek 				but 
19	some 	quelque		kiñcid 		kuc 			kujh 	amuk 	kāhī 	olop 	kichu 				unyi 
20	few 	peux		alpa 		thoṛe 			boṛā 	thoḍũ 	kāhī 	olop 	kôm 				cerra 
21	other 	an’er 2re		anya 		dūsre, aur 			hor 	bījũ 	itar 	an 	ônj 				kaver 
22	one 	1		eka 		ek 	ek 	ek 	ikk 	ek 	ek 	ek 	ek 		hik 	ek 	jekh 
23	two 	2		dvi 		do 	do 	dui 	dō 	be 	don 	dui 	dui 		ba 	deka 	duj 
24	three 	3		tri 		tīn 	tīn 	tīn 	tinn 	traṇ 	tīn 	tini as 	tin 		ṭī 	tuna 	trin 
25	four 	4		catur 		cār 	cār 	cār 	cār 	chār 	cār 	sari 	car 		cār 	hatara 	shtar 
26	five 	5		pañcan 		pā̃c 	pā̃c 	pāc 	paṅj 	pāṅc 	pāc 	pas 	paṁcô 		panja 	paha 	panzh 
27	big 	mega,mutcho,bigr!		mahat 		baṛā 			vaɖɖā 	moṭũ 	moṭhā 	dangor, bor 	bôṛ 				baro 
28	long 	durga, lomga!		dīrgha 		lambā 			lammā 	lā̃bu 	lāmb 	dighol 	lômba 				lungo 
29	wide 	Cauṛā  < kur		uru 		cauṛā 			moklā, cauṛā 	pahoḷũ 	vistrut 	bohol 	coṛa) 				bulyho 
30	thick 	Mutch, ?		ghana 		gāṛhā, moṭā 			moṭā, gāṛā 	jāḍũ, ghaṭṭ 	jāḍ 	dath, muta 	moṭa 				thulo 
31	heavy 	Gvr <> schwer! bacha<>berga		guru 		bhārī 			bhārā, boṛal 	bhāre 	bhārī 	bhari 	bhari 				pharo 
32	small 	cute, shorta, niao!		alpa 		choṭā 			choṭā 	nānũ 	lahān 	xoru 	choṭ 				cino 
33	short 	cute, short		hrasvá 		choṭā 			madharā 	ṭū̃kũ 	choṭā 	suti, sapor, somu as 	beṭhe 				skurto 
34	narrow 	TEng! …?		aṃhú 		tang 			bīṛā, tarrā 	sā̃kḍũ 	arūnd) 	thek 	cipa 				tang 
35	thin 	TEng! ^^ petit pa¬tall		tanú 		patalā 			patalā 	pātaḷũ 	pātaḷ 	sepeta 	patla 				sano 
