No. 	English	PIE	Hindi	Bengali 	Farsi/Persian	Romani 	PIE 2		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki @ Turk	PIE 3			
1	I 	moi(n)	✓✓	मैं maĩ 	من man 	আমি ami 	me	✓✓	me 	ман 	min 	مِن men 	ਮੈਂ mẽ 	میں maĩ 	म ma 	હું huṁ 	me	ez		
2	you 	tu	✓✓	तू, तुम, आप tū, tum, āp 	تو to 	তুই, তুমি, আপনি tui, tumi, apni 	tu	✓✓	tu 	ту 	to 	ته te 	ਤੂੰ, ਤੁਸੀਂ tū̃, tusī̃ 	تو,تُم,آپ tū, tum, āp 	तिमी,तँ, तपाई 	તું, તમે, આપ tuṁ, tame, āp 	tu	tı		
3	he 	vahu1 / sHe	~✓	वह vah 	او u 	সে she 	Hev ~ vohe  ≠vous 	~✓? <<	voj 	вай 	ew 	وه ve 	ਉਹ ṓ 	وہ vo 	उ,उहाँ 	તે te 	vo	o (he), a (she)		
4	we 	ma’r	~✓	हम ham 	ما må 	আমরা amra 	mir	~✓	ame 	мо 	ême 	اِما 'ema 	ਅਸੀਂ, ਆਪਾਂ asī̃, āpā̃ 	ہم ham 	हामी 	અમે, આપણે ame, āpaṇe 	me	ma		
5	you 	tum, tu’r	✓	तू, तुम, आप tū, tum, āp 	شما shomå 	তোরা, তোমরা, আপনারা tora, tomra, apnara 	tu.um	✓	tume 	шумо 	êwe 	شِما shema 	ਤੂੰ/ਤੁਸੀਂ tū̃, tusī̃ 	تو,تُم,آپ tū, tum, āp 	तिमी,तँ, तपाई 	તું, તમે, આપ tuṁ, tame, āp 	tum	şıma		
6	they 	then, ve	~✓	वे vē 	ایشان ishån 	তারা tara   their!	1 on <> em	~✓	von 	онҳо 	ewan 	وِشون veshun 	ਉਹ ṓ 	وہ vo 	तिनीहरू, उनीहरू 	તે, તેઓ te, teo 	they	ê, i		
7	this 	E, a, vein, 1	✓	यह yah 	این in 	এ e 	ceto	✓	kado 	ин 	em 	این in 	ਇਹ ḗ 	یہ ye 	यो 	આ ā 	a	No (masculine), Na (feminine)		
8	that 	O, a, van, 1	✓	वह vah 	آن ån 	ও o 	ceto	✓	kodo 	он 	ew 	اون 'un 	ਉਹ ṓ 	وہ vo 	त्यो 	પેલું peluṁ 	a	Eno (masculine), Eno (feminine)		
9	here 	in dja, 1-a, yhcay~ici	~✓	यहाँ yahā̃ 	اینجا injå 	এখান ekhan 	ceth	✓	kathe 	инҷо 	êre 	اینجه inje 	ਇੱਥੇ/ਏਥੇ ēthē 	ہیاں yahā̃ 	यहाँ 	અહિં ahiṁ 	à/in here	inca		
10	there 	an dja, wo’a	~✓	वहाँ vahā̃/td> 	آنجا ånjå 	ওখান okhan 	ceth	✓	kothe 	онҷо 	ewê 	اونجه 'unje 	ਉੱਥੇ/ਓਥੇ ōthē 	وہاں vahā̃ 	त्यहाँ 	ત્યાં tyā̃ 	à there	uca		
11	who 	qhon? qui? 	✓	कौन kaun 	کی ki 	কে ke 	qvn	✓	kon 	кӣ 	kê 	کی ki 	ਕੌਣ 	کون kaun 	को 	કોણ koṇ 	qui	kam		
12	what 	que?	✓	क्या kyā 	چی chi 	কী ki 	que?	✓	so 	чӣ 	çî 	چی/چِچی chi/chechi 	ਕੀ 	کیا kyā 	के 	શું shuṁ 	qua	çıçı, çı se		
13	where 	Qvo-ya? Da?	✓	किधर, कहाँ kidhar, kahān 	کجا kojå 	কোথায়, কৈ kothae, koi 	ka*	✓	kaj 	куҷо 	kwê 	کاجه kaje 	ਕਿੱਥੇ, ਕਿੱਧਰ 	کدھر, کہاں kidhar, kahān 	कहाँ 	ક્યાં kyaṁ 	qwom	kanca		
14	when 	qquon? qu’b?	✓ ?	कब kab 	کی key 	কখন/কবে kôkhon/kôbe 	ka*	✓	kana 	кай 	key 	کِی key 	ਕਦੋਂ 	کب kab 	कहिले 	ક્યારે kyare 	quã…	çı wext		
15	how 	qvi’sa? Common?	✓	कैसा kaisā 	چطور chetowr 	কেমন/কেমনে kêmon/kêmne 	car~	✓	sar 	чӣ тавр 	çon 	چِتی cheti 	ਕਿਵੇਂ, ਕਿੱਦਾਂ 	کیسا kaisā 	कसरी 	કેવી રીતે kevi rite 	que…	Senin, seni, çıtewri		
16	not 	nai	✓	नहीं nahī̃ 	نه na 	না/নি/নেই na/ni/nei 	na	✓✓	na 	не 	na 	نا na 	ਨਹੀਂ, ਨਾ 	نه کہ na ke 	हैन,नाइँ 	નહિ,નહી,નથી nahī,nahi,nathī 	nei	Nê		
17	all 	Schar>schale 𓎟𓎡𓏏 ◯ ham 	✓!	सब/सारा sab/sārā 	همه hame 	সব/সারা shôb/shara 	Schar>schale 𓎟𓎡𓏏	✓	sa 	ҳама 	hemû 	همه hame 	ਸਾਰਾ/ਸਭ 	سب/سارا sab/sārā 	सबै 	pêro	Schar, pero?	✓		
18	many 	beaucoupt	✓!	بہت/ज़्यादा bahut/zyādā 	زیاد/چندین chandin/ziåd 	বহু/অনেক bohu/ônek 	Bahut < bocupt	<?	but 	бисёр 	zor 	خله xale 	ਬਹੁਤ, ਕਈ 	بہت/زیادہ bahut/ziyādā 	धेरै 	Zaf, xeylê	Schar, schale	✓		
19	some 	quelque, poco	✓	कुछ kuch 	برخی barkhi 	কিছু kichu 	1i	✓✓	unyi 	бархе 	hendêk 	بعضی ba'zi 	ਕੁਝ 	کچھ kuch 	केही 	tayn	~tayn	✓		
20	few 	(an)dere! darb	✓	थोड़ा thoṛā 	اندک andak 	অল্প ôlpo 	cetera?	<?	cerra 	андак 	kem 	کم kam 	ਥੋੜ੍ਹਾ 	تھوڑا thoṛā 	थोरै 	Kemi	some	✓		
21	other 	dieser dos:2 anner	✓	दूसरा dūsrā 	دیگر digar 	অন্য onno 	Kother 𓎡𓏏 !?	</	kaver 	дигар 	dîke 	دیگه dige 	ਹੋਰ 	دیگر diigar 	अन्य, अरू 	bin	2 bi/di diese …	✓		
22	one 	einc	✓	एक ēk 	یک yek 	এক êk 	jek	✓✓	jekh 	як 	yek 	یک yek 	ਇੱਕ 	ایک ēk 	एक 	jü, jew, yew	yi(n)	✓		
23	two 	dvoi	✓	दो dō 	دو do 	দুই dui 	dui	✓✓	duj 	ду 	dû 	دِ de 	ਦੋ 	دو dō 	दुई 	dı	di	✓		
24	three 	the3	✓	तीन tīn 	سه se 	তিন tin 	tri	✓✓	trin 	се 	sê 	سه se 	ਤਿੰਨ 	تین tīn 	तिन 	hri, Hirê	thri	✓		
25	four 	cvhart	✓	चार chār 	چهار chahår 	চার car 	qtar	✓	shtar 	чаҳор 	çwar 	چار char 	ਚਾਰ 	چار chār 	चार 	çehar, çahar	qvor	✓		
26	five 	pentj	✓	पाँच pā̃c 	پنج panj 	পাঁচ pãc 	panj	✓✓	panzh 	панҷ 	pênc 	پنج panj 	ਪੰਜ 	پانچ pā̃c 	पाँच 	ponc, panc, phonç	phünc	✓		
27	big 	Bary / Berg! Bezerk:)	✓	बड़ा baṛā 	بزرگ bozorg 	বড় bôṛo 	Bary Berg!	✓	baro 	бузург 	gewre 	گَت gat 	ਵੱਡਾ 	بڑا baṛā 	ठुलो 	gırd, pil	great pile	✓		
