 No. 	English 	Khmer Phonetic Transcription 		PIE? Only lonewords!		
1	I 	ខ្ញុំ 	kɲom	𓎡	EG	
2	you (singular) 	លោក (polite), អ្នក 	louk, neak	anak!	SEM	ni, anak
3	he 	គាត់ (polite), គេ 	koat, kei	---		
4	we 	យើង 	yəəŋ	--- ...		
5	you (plural) 	ពួកអ្នក 	puək neak	--- ...		
6	they 	ពួកគេ 	puək kee			
7	this 	នេះ 	nih	na	CN	
8	that 	នោះ 	nuh		…	
9	here 	អាយ 	ʔaay			
10	there 	នាយ 	niey			
11	who 	អ្នកណា, នរណា 	neak naa, nɔɔnaa	na		
12	what 	អ្វី 	ʔvǝy			
13	where 	នៅឯណា 	nɨv ʔae naa			
14	when 	អង្កាល់ (Sanskrit) 	ʔɑŋkaal			
15	how 	ម្ដេច, យ៉ាងដូចម្តេច 	mdəc	---		
16	not 	ទេ 	tei	dis-		
17	all 	គ្រប់ 	krup	𓎟 !!	Krupp-ist-all	
18	many 	ច្រើន 	craən			
19	some 	ខ្លះ 	klah	quel@Hindi	🗸	
20	few 	តិច 	təc			
21	other 	ឯទៀត 	ae tiət			
22	one 	មួយ (១) 	muəy	um		
23	two 	ពីរ (២) 	pii	bi		
24	three 	បី (៣) 	bəy	---		
25	four 	បួន (៤) 	buən	---		
26	five 	ប្រាំ (៥) 	pram	frümf		
27	big 	​ធំ 	tʰom	tallm		
28	long 	វែង 	vɛɛŋ			
29	wide 	ល្ហ, ទូលាយ 	lhɑɑ, tou-leay			
30	thick 	ជុក, ក្រាស់ 	cuk, kras'			
31	heavy 	ធ្ងន់ 	tŋʊən			
32	small 	តូច 	tooc			
33	short 	ខ្លី 	kləy	klein		
34	narrow 	ចង្អៀត 	cɑŋʔiet			
35	thin 	ស្ដើង 	sdaəŋ	~		
36	woman 	ស្រី 	srǝy	Suhre < horat		
37	man (adult male) 	ប្រុស (Sanskrit), បុរស (Sanskrit) 	proh, boʔrɑh	pro, bro ;)	🗸	
38	man (human being) 	ជន (Sanskrit), មនុស្ស (Sanskrit) 	cʊən, mɔnuh		🗸	
39	child 	កូន 	koon			
40	wife 	ប្រពន្ធ (Sanskrit) 	prɑpʊən	?	🗸	
41	husband 	ប្តី (Sanskrit) 	pdəy	pada	🗸	
