No. 	English 	ǃXóõ ǃxóɲa ǂàã
1 	I 	n̄, n̄ʻn̄, n̄ dē
2 	you (singular) 	āh, āhʻā
3 	he 	ãh, ãhʻã, èh, èhʻè
4 	we 	īh, īhʻī, īsî, ǂnáĩ (dual)
5 	you (plural) 	ūh, ūhʻū, ǂnûmʻū (dual)
6 	they 	ùh, ùhʻù
7 	this 	tVʻV, tVʻVV, tVVʻVV, ʻVV
8 	that 	tVʻV BVʻV, tVʻV BV kV, tVjà kV, tVʻVV-sà kV, tVʻVVjà, tàʻa BV kV
9 	here 	táʻã
10 	there 	têʻàã, ǀèʻẽ sà, ǀʻéẽ, ǀáʻn-sà, ʻńn, ʻáu-jà, tVʻV-sà, tV-jà, tVʻVV-jà, tVʻVV-sà kV, téʻe-jà, téʻe-sà, ǃâõ, gǃxàã (that side), ǃnâʻm (the other side)
11 	who 	èh
12 	what 	èh
13 	where 	āhʻã, tâ
14 	when 	kí dào tí āhʻã kì
15 	how 	āhʻāu ʻàhn-sà, āhʻā
16 	not 	ǁqhúa, ǁʻàa (to not be)
17 	all 	kōo kàʻã
18 	many 	ǁáli, ǃxaV (singular), !xaBV (plural)
19 	some 	
20 	few 	ǀʻûi
21 	other 	tVʻV
22 	one 	ǂʻûã
23 	two 	ǂnûm
24 	three 	ǁâe
25 	four 	
26 	five 	
27 	big 	ǃxaV, ǁáli
28 	long 	ǃʻám
29 	wide 	tshào, ǀgáhʻla
30 	thick 	ǂúnu
31 	heavy 	ǁnáu
32 	small 	ǀʻûi
33 	short 	ǂʻāba
34 	narrow 	ʘqhúʻu (narrowly spaced)
35 	thin 	dza̰i
36 	woman 	tâa qáe
37 	man (adult male) 	tâa a̰a
38 	man (human being) 	tâa (specifically a Bushman)
39 	child 	ʘqa̰a (alienable), ʘàa (inalienable)
40 	wife 	ʻǀnàn, tâa qáe
41 	husband 	ʻǀnàn, tâa a̰a
42 	mother 	qáe
43 	father 	a̰a
44 	animal 	ʘàje ʘʻâni (plural, collective)
45 	fish 	
46 	bird 	ǀgūhʻu
47 	dog 	ǂqhài (domestic), gǂxūi (hunting)
48 	louse 	ʘnó̰õ (large), gǁkxʻóni (small)
49 	snake 	síʻi-sà
50 	worm 	ǃɢṵã
51 	tree 	ʻʘnàje
52 	forest 	
53 	stick 	ǁnáa
54 	fruit 	ǀnàn
55 	seed 	sâʻã
56 	leaf 	ǀgāna
57 	root 	gǀkxʻābu
58 	bark (of a tree) 	gúle (dry), tsāhbi (wet)
59 	flower 	ɢ!qhùm
60 	grass 	ǁkxʻâã
61 	rope 	
62 	skin 	tṵm
63 	meat 	ʘàje
64 	blood 	ǃna̰a (alienable), !na̰m (inalienable)
65 	bone 	ǂàã
66 	fat (noun) 	sa̰ã
67 	egg 	ǂgúã
68 	horn 	ǁāẽ
69 	tail 	ǀàũ
70 	feather 	gǀqhūã
71 	hair 	gǀqhùã, ǀqhùã
72 	head 	ǀnàn
73 	ear 	ǂnùhã
74 	eye 	ǃʻûĩ
75 	nose 	ǀnùhɲa
76 	mouth 	ǂûe
77 	tooth 	ǁqhàã
78 	tongue (organ) 	ʻǀna̰n
79 	fingernail 	
80 	foot 	ǂnùũ
81 	leg 	ǂqhàla
82 	knee 	gǁxúũ ǀnàn
83 	hand 	ǀkxʻàa
84 	wing 	ǁɢa̰hma
85 	belly 	ǁnàm sàʻã (higher part), !hūma (lower part)
86 	guts 	
87 	neck 	ǂkxʻàõ
88 	back 	ǂhái
89 	breast 	gǂqhèẽ
90 	heart 	ǀqʻàn
91 	liver 	ǁnàm
92 	to drink 	kxʻāhã
93 	to eat 	ʻâã
94 	to bite 	síʻi
95 	to suck 	ǁʻûbe
96 	to spit 	ǁqa̰bi
97 	to vomit 	qhóla
98 	to blow 	dzáʻu
99 	to breathe 	ǁqhôʻã
100 	to laugh 	kxʻái
101 	to see 	ǀnâã
102 	to hear 	ta̰ã
103 	to know 	ǀgûmã
104 	to think 	ǂʻán-sí, !nòho
105 	to smell 	ǀnúm (intransitive)
106 	to fear 	ʻǃnûhi
107 	to sleep 	ʘân
108 	to live 	ǃnúm
109 	to die 	ǀʻâa
110 	to kill 	qâi
111 	to fight 	gǃqhái
112 	to hunt 	ǃqāhe
113 	to hit 	ǁkxʻūm
114 	to cut 	ǃào
115 	to split 	ǂqhále
116 	to stab 	ʻǁnūhm
117 	to scratch 	ǃnāhu
118 	to dig 	qàla
119 	to swim 	
120 	to fly 	dza̰hĩ
121 	to walk 	ǃnàã
122 	to come 	sīi, sîi
123 	to lie (as in a bed) 	tûu
124 	to sit 	tshûu
125 	to stand 	ǁhûũ
126 	to turn (intransitive) 	ǃqʻâle
127 	to fall 	ǃqhúu
128 	to give 	ǃqháã
129 	to hold 	ǀùa
