 № 	English 	Kusunda	Connection	
1	I 	tsi, tən-da	antes-I	
2	you (singular) 	nu, nən-da	ni	
3	he 	gina	jen(e)	
4	we 	tok	--	
5	you (plural) 	nok	ni.k .ւք nihí	
6	they 			
7	this 	ta		
8	that 	gin(a)	jen(e)	
9	here 	teisa, tape, tapye, təwa		
10	there 	ape, nupa, sabe		
11	who 	nəti	那	
12	what 	nən, nətn̩ 	那	
13	where 	hampe 	quam.wo	
14	when 	əsaɢʕi, əsaːʕi 		
15	how 	əsa 		
16	not 	kʰaːu, χaːu, odoq 	kein, ¬doch 	
17	all 	swəttei / swəttəi 		
18	many 	mənni / məni 	many	+++
19	some 			
20	few 	godzaŋ 		
21	other 	aidzi, kəita, qaida 	odzir	
22	one 	qasti, qaːsn̩ 	quasi?	
23	two 	dukʰu, dziŋa 	dukʰ! dzwein	+++
24	three 	da, dahat 	dra	++
25	four 	piːəgu, pyaŋdzaŋ 	pierg	
26	five 	pãgo, paŋdzaŋ 	paŋdz	+++
27	big 	õːɲi 		
28	long 	ləŋka, ləŋkəi 	ləŋk=long	+++
29	wide 	bətsʰəi 	breit(sei)	
30	thick 	gəini 		
31	heavy 	liŋwa 		
32	small 	hũkui / huŋkəi 	poco, chuik	++?
33	short 	pʰotoq / pʰoqtoχ, pʰokto 	poco	+++
34	narrow 			
35	thin 	kya.aŋ 		
36	woman 	ɲãɴʕdidze, ɲãɴʕdi getse, dzəgəl  	nun	
37	man (adult male) 	duidze, dui getse, dʰya 	druids	
38	man (human being) 	nu, niu 		
39	child (a youth) 	getse, hũkui 		<<
40	wife 	ɲãɴʕdi / ɲãŋdi 	nun.dui	
41	husband 	dui 	dom?	
42	mother 	məi 	ma	
43	father 	yəi / ei 	ye 爷	
44	animal 			
45	fish 	nəsa 	nauth	
46	bird 	qotu / kotou, koʈou, bãkʰa, bãkʰə, bukʰra 	qotyr, papagai	
47	dog 	agəi 	gǒu 狗 kuon	
48	louse 	ki (egg: dzʰõ)	kir™	
49	snake 	tu 	𓆓𓂧𓆑𓏏𓆙 	
50	worm 	tu 	ჭია (č̣ia)	
51	tree 	yiː / ihi (e.g. doma gəũtsi hilaŋ kapu kasa kayak )		
52	forest 	gilaŋ / gelaŋ 	Golan™	
53	stick (of wood) 	~dəŋga 	Stange	++?
54	fruit 	<> dzoŋdzo ə-g-ən, kapu 		
55	seed 	gida: (Nep.) 		
56	leaf 	haq / haχ <> biyãχ 		
57	root 	godoq / gorok, gorokʰ, goroχ 	core?	<<
58	bark (of tree) 	gidət, gitət (skin, bark, leather)		
