№ 	English 	NOT PIE except pronouns!	K'iche' 	Q'eqchi' 	Tzotzil 	Mam 	Yucatec 	Huastec 	Lang7 	Lang8
1	I 	ani I’m	in 	laa’in 		náya 	teen 	nanaa' 		
2	you (singular) 	a’ta	at, la (formal) 	laa’at, at 	vo7ot 	jay 	teech 			
3	he 	er, he	are', aj 	ha’an, a’an 		ja 	leti' 			
4	we 	Wu ~ uj	uj, oj 	laa’o, aa’o, ha’o 	vo7otik, vo7otikotik (ex.) 	jo, jóya (ex.) 	to'on 			
5	you (plural) 	Leur –	ix, alaq (formal) 	laa’ex 	vo7oshuk 	jey 	te'ex 			
6	they 		e'are' 	eb’, teb’ 		je 	leti'o'ob 			
7	this 		wa', are', we 	ha'in, a’in 	li7 	jlu 	lela', le je'ela' 			
8	that 	the, le	le 	wan le' 	tah, ti 		lelo', le je'elo' 			
9	here 	where	waral 	arin, ayi', sa'in 	li7 	tzalú 	waye' 			
10	there 		chiri', chila' 	le' 	tah, le7, te 		tolo' 			
11	who 		jachin 	ani 	buch’u 	al 	máax 			
12	what 	kwas	jas 	k’a’, k’aru 	k’u 	ti’ 	ba'ax 			
13	where 	Ku ~ qua ~ ja	jawi 	b'ar 	bu 	ja’ 	tu'ux 			
14	when 	Ku ~ qua ~ ja	jampa 	joq'e 	k’u 7ora 	jtoo (past), jtoj (fut.) 	ba'ax k'íin 			
15	how 	Ku ~ qua ~ ja	jas modo 	chan ru 	k’u cha7al 		bix 			
16	not 	mo! bu! unk’~nich[t]	b'i, ma, ja'i' 	ink'a', moko ... ta 	mu 		ma' 			
17	all 	~lall ko’ol total	konojel 	anchal, rek', chi junil 	kotol, labal 		tulaak 			
18	many 	nim!	k'i 	k'i, k'ihal, mayalok 	7ep 	nim 	ya'ab 			
19	some 	<>!		junaq, ka’b’ayaq, k’a’na 						
20	few 			kach’in, ink’a’ k’i, b’ab’ay 	hay 		junp'íit 			
21	other 			jalan, jun chik 	yantik 		ulaak 			
22	one 	eiun 	jun 	jun 	hun 	jun 	hun 			
23	two 		kaib' 	ka'ib', kwib', kiib' 	cha7 	káb’a 	ka'a 			
24	three 	XXX NO PIE!!!	ox 	oxib' 	7osh 	óxa 	óox 			
25	four 		qa'jib 	kaahib' 	chan 	chája 	kan 			
26	five 		o', jo'ob', job' 	oob', hoob' 	vo7 	jwe’ 	ho 			
	6		vakib							
	7		vukub							
	8		vaxakib							
	9	1 to ten	Baluneb  							
	10		lajuneb							
27	big 		nima 	nim 	muk’ 	matí’j 	nojoch 			
28	long 	…lam		nim xkelam 	bitzbitz, tz’upul 	nmak 	chowak 			
29	wide 			nim ru 	hamal 	la’n, nim twitz 				
30	thick 		tzatz 	nim xsa' 	pim 	cho’t, la’n, tziq’ 				
31	heavy 		al 	aal 	7ol 	-(t)álil 	áal 			
32	small 		ch'uti 	kok’, ch'in 	bik’it 	ch’in, nux, nuch 	chan 			
33	short 		uq 	tupus roq 	tzapo 	ch’in twe’ 				
34	narrow 			kok' ru 	japajtik 	ch’in twitz 				
35	thin 			b'aq 	hoy 	xaxj 				
36	woman 		ixoq 	ixq 	ʔantz 	xuj 	ch'up, ko'olel 	uxum 		
37	man (adult male) 		achij 	teelom 	mol 	xínak 	xiib 			
38	man (human being) 		winaq 	winq, poyanam 	vinik, krishchnano 	xjaal 	maak 			
39	child (a youth) 		al 	al 	7olol 	al, k’waal 				
40	wife 		kixoqil 	ixaqil 	7ahnilal 	xu’l 	atan 			
41	husband 			b’eelom 	malalil, mol 	chmil 	iicham 			
42	mother 		chuch 	na’ 	me7il 	txu 	na' 			
43	father 		qajaw 	taat, yuwa’ 	totil 	man 	yuum 			
44	animal 		chikop 	xul 	chon 	alamáj 	ba'alche' 			
45	fish 	kar:snake	kär, sa’y 	kar 	choy 	kixh 	kay 			
46	bird 	tyr, muth	tz'ikin 	tz’ik 	mut 	ch’it 	ch'iich' 			
47	dog 		tz'i' 	tz’i’ 	tz’i7 	txya’n 	peek' 			
48	louse 		uk' 	uk' 	7uch’ 	squk’ 	uk' 			
49	snake 	c’natti	kumatz 	k’anti’ 	chon 	lb’aj 	kan 			
50	worm 			kuluk 	shuit 					
51	tree 	tchee	che' 	che’ 	te7 	tze’, k’uul 	che' 			
52	forest 		k'che'laj 	k’iche’ 	te7tik, 7osil 	txhik’úul 	ka'ax 			
53	stick (of wood) 			ruq' che' 	k’obol 		junts'íit che' 			
54	fruit 		wächinik 	u 	satil 	lo’pj 	ich, u yich che' 			
55	seed 		b'aq' 	iyaj 	bek’ 	íyaj 				
56	leaf 		xuxaq che’ 	xaq 	7anal 	txaq 				
57	root 		xe' 	xe’ 	7ibel 	(t)lok’ 				
58	bark (of tree) 			rix che 	patil 					
59	flower 		kotz'i'j 	uutz'u'uj, atz'um 	nich 	ab’éch 	lool 			
60	grass 		k'im 	pach'aya', ichaj 	hobel 	ch’im 				
61	rope 			k’aam 	laso 	chjaj 	suum 			
62	skin (of a person) 		tz'u'mal, chirij 	tz’uumal 	nukul 	tz’úmal 	óot 			
63	meat (as in flesh) 		ti’ij, tio'jil 	tib’ 	ti7bol, bek’et 	chi’pj 	baak 			
64	blood 		kik' 	kik’ 	ch’ich’ 	chik’y, txhi’ 	k'íik' 			
65	bone 	boonkers	b'aqil 	b’aq 	bak 	b’aaq 	bak' 			
66	fat (noun) 		kab'chiyal 	manteek 	hup’el 		polok 			
67	egg 		saqmo'l 	mol 	tanal 	jos 	je' 			
68	horn 			xukub' 	shulub 					
69	tail 		je' 	ye 	neil 	(t)je’ 				
70	feather (rather not down) 			rismal xul, xik’ 	k’uk’umal 					
71	hair 		rismal, wi' 	ismal 	tzotz, tzatzal 	tzmal (t)wi’ 	tzo'tz 			
