№ 	English word 	Pe̍h-ōe-jī 	IPA 	PIE	Traditional Chinese 	Simplified Chinese														
1	I 	góa 	gua˥˧ 	ego	我 	我														
2	you(singular) 	lí 	li˥˧ 		汝 	汝														
3	he 	i 	i˥˥ 	hi	伊 	伊														
4	we 	gún 	gun˥˧ 	gwen	阮 	阮 lán 	lan˥˧ 	咱												
5	you(plural) 	lín 	lɪn˥˧ 		恁 	恁														
6	they 	in 	in˥˥ 		𪜶 	𪜶														
7	this 	che 	tse˥˥ 	ce	這 	这 chit-ê 	tɕɪt˥˥e˧˥ 	即个												
8	that 	he 	he˥˥ 	che 	許 	许 hit-ê 	hɪt˥˥e˧˥ 	彼个												
9	here 	chia 	tɕia˥˥ 	chere	者 or 遮 	者 or 遮														
10	there 	hia 	hia˥˥ 	hia	許 or 遐 	许 or 遐														
11	who 	siáⁿ-lâng 	ɕiã˥˥laŋ˧˥ 	cia	啥人 	啥人 siáng 	ɕiaŋ˥˧ 	倽												
12	what 	siáⁿ-mih 	ɕiã˥˥miʔ˩˩ 	cia	啥物 	啥物 sīm-mi̍h 	ɕɪm˨˩miʔ˥˥ 	什么 tó-chi̍t-ê 	to˥˥tɕɪt˩˩e˧˥ 	which 	佗一個 or 叨一個 	佗一个 or 叨一个								
13	where 	tó-ūi 	to˥˥ui˧˧ 	to ou	佗位 or 叨位 	佗位 or 叨位														
14	when 	sīm-mi̍h-sî-chūn 	ɕɪm˨˩miʔ˥˥ɕi˨˩tsun˧˧ 	cim	甚麼時陣 	什么时阵 tang-sî 	taŋ˧˧ɕi˧˥ 	当时												
15	how 	jû-hô 	dzu˨˩ho˧˥ 	ju how	如何 	如何 án-chóaⁿ 	an˥˥tsuã˥˧ 	按怎 chóaⁿ-iūⁿ 	tsuã˥˥iũ˧˧ 	in what way 	怎樣 	怎样								
16	not 	put 	put˩˩ 	but! Me!	不 	不 m̄ 	ṃ˧˧ 	毋 bē 	be˧˧ 	is not able to 	袂 or 𣍐 	袂 or 勿会 mài 	mai˥˧ 	do not (imperative) 	莫 or 勿 or 勿愛 	莫 or 勿 or 勿爱 bô 	bo˧˥ 	does not have/did not 	無 	无
17	all 	chôan-pō͘ 	tsuan˨˩pɔ˧˧ 	∑ pan	全部 	全部 kui 	kui˥˥ 	规 or 归 só͘-ū 	sɔ˥˥u˧˧ 	ex. all cars 	所有 	所有 lóng 	lɔŋ˥˧ 	ex. they all see it. 	攏 	拢 lóng-chóng 	lɔŋ˥˥tsɔŋ˥˧ 	ex. how many in all? 	攏總 	拢总
18	many 	chōe 	tsue˧˧ 	<> tall	濟 or 多支 	济 or 多支														
19	some 	chi̍t-kóa 	tɕɪt˩˩kua˥˧ 		一寡 	一寡 kúi-nā-ê 	kui˥˥na˨˩e˧˥ 	几若个												
20	few 	chió 	tɕio˥˧ 	cuc	少 	少														
21	other 	kî-thaⁿ 	ki˨˩tʰã˥˥ 	kother 𓎡 𓏏 !  bother	其他 	其他 pa̍t-ê 	pat˩˩e˧˥ 	别的												
22	one 	it 	ɪt˩˩ 	1t	一 	一 chi̍t 	tɕɪt˥˥ 	一												
23	two 	jī 	ʑi˧˧ 	zvi!	二 	二 nn̄g 	nŋ˧˧ 	两												
24	three 	saⁿ 	sã˥˥ 	se’	三 	三														
25	four 	sì 	ɕi˨˩ 	qvi’	四 	四														
26	five 	ngō 	ŋo˧˧ 	vun	五 	五														
27	big 	tōa 	tua˧˧ 	tall	大 	大														
28	long 	tn̂g 	tŋ˧˥ 	talong	長 	长														
29	wide 	khoan 	kʰuan˥˥ 	gone	寬 	宽														
30	thick 	kāu 	kau˧˧ 		厚 	厚														
31	heavy 	tāng 	taŋ˧˧ 		重 	重														
32	small 	sòe 	sue˨˩ 	smoe’	細 	细														
33	short 	té 	te˥˧ 		短 	短														
34	narrow 	o̍eh 	ueʔ˥˥ 	eng	隘 	隘														
35	thin 	po̍h 	poʔ˥˥ 		薄 	薄														
36	woman 	lú-jîn 	lu˥˥ʑɪn˧˥ 	la gyn!	女人 	女人 cha-bó͘ 	tsa˧˧bɔ˥˧ 	查某												
37	man(adult male) 	lâm-jîn 	lam˨˩ʑɪn˧˥ 	lemasculin lem-jin	男人 	男人 cha-po͘ 	tsa˧˧pɔ˥˥ 	查埔												
38	man(human being) 	lâng 	laŋ˧˥ 	lang ren	人 or 儂 	人 or 侬														
39	child(a youth) 	gín-á 	gɪn˥˥a˥˧ 	KIN’er!	囡仔 or 囝仔 	囡仔 or 囝仔 jî-tông 	ʑi˨˩tɔŋ˧˥ 	儿童												
40	wife 	bó͘ 	bɔ˥˧ 	bwife bofu	某 	某														
41	husband 	ang 	aŋ˥˥ 		翁 	翁														
42	mother 	bú-chhin 	bu˥˥tɕʰɪn˥˥ 	Wo-kin	母親 	母亲 lāu-bú 	lau˨˩bu˥˧ 	老母 ma-ma 	ma˧˧ma 		媽媽 	妈妈 a-bú 	a˧˧bu˥˧ 		阿母 	阿母				
43	father 	hū-chhin 	hu˨˩tɕʰɪn˥˥ 	Hus-kin	父親 	父亲 lāu-pē 	lau˨˩pe˧˧ 	老爸 pa-pa 	pa˧˧pa 		爸爸 	爸爸 a-pa 	a˧˧pa˥˥ 		阿爸 	阿爸				
44	animal 	tōng-bu̍t 	tɔŋ˨˩but˥˥ 	tangimal	動物 	动物														
45	fish 	hî 	hi˧˥ 	fhi.s	魚 	鱼														
46	bird 	chiáu 	tɕiau˥˧ 	cuit Tier!	鳥 	鸟 chiáu-á 	tɕiau˥˥a˥˧ 	鸟仔												
47	dog 	káu 	kau˥˧ 	kuon	狗 	狗 káu-á 	kau˥˥a˥˧ 	狗仔												
48	louse 	sat 	sat˩˩ 		虱 	虱 sat-bú 	sat˥˥bu˥˧ 	虱母												
49	snake 	chôa 	tsua˧˥ 	𓆓	蛇 	蛇														
50	worm 	thâng 	tʰaŋ˧˥ 		蟲 	虫 tō͘-ún 	tɔ˨˩un˥˧ 	土蚓 tō͘-kún 	tɔ˨˩kun˥˧ 	earthworm 	土蚓 	土蚓								
51	tree 	chhiū 	tɕʰiu˧˧ 	tree	樹 	树 chhiū-á 	tɕʰiu˨˩a˥˧ 	树仔												
52	forest 	sim-lîm 	ɕɪm˧˧lɪm˧˥ 	some linden	森林 	森林 chhiū-nâ 	tɕʰiu˨˩na˧˥ 	树林												
53	stick 	chhiū-ki 	tɕʰiu˨˩ki˥˥ 	stick	樹枝 	树枝 ki-á 	ki˧˧a˥˧ 	枝仔												
54	fruit 	chúi-kó 	tsui˥˥ko˥˧ 	guave	水果 	水果 kóe-chí 	kue˥˥tɕi˥˧ 	果子												
