 № 	English 		Yoruba 	Igbo 	Mandinka 	Fula 	Jango 	Vai 	Wolof 	PI	Best
1 	I 	'a''me'	émi, mo 	mụ 	m, n 	mi 	mi 	ŋ 	ma 	me	mi 
2 	you (singular) 	ø, 𓎡𓈖	ìwọ, ọ (informal); ẹ̀yín (formal) 	gị 	ali, i 	a 	é 	í 	nga 	(an)gyu	gị, nga 
3 	he 	on	ó, òun 	yá 	a 	o (mo) 	o 	a 	mu 	on, heo	òun, ó
4 	we 	'a''we'	àwa, a 	ányìnwà (incl.), ányì-nílé (excl.), 	an 	en (incl.), min/men (excl.) 	an 	mú 	nu 	'a''we nous, man!'	àwa, nu 
5 	you (plural) 	𓎡𓈖	ẹ̀yin 	únù-nílé 	aw 	on 	un 	wó 	ngeen 	ni	
6 	they 	𓈖	àwọn 	há 	u 	ɓe 	wèn 	anú 	ñu 	eux 𓈖	
7 	this 	al, a 一	eléyí, èyí 		ñing 	ɗun 	di 	kɛ mɛɛ̃ 	lii 	el, le, den	lii, ɗun 
8 	that 	一	èyí, èyítí, ohun tí 		woo 	ɗun 	da 	kɛnú 	lele, lale 	le, den	
9 	here 		ibí, níhàyín 		jang 	ɗoo 	jò 	nínyɛ 	fi 		
10 	there 		lọhun, nibẹ 		jee 	ton 		núũ 	fa 	na	
11 	who 		tani, ẹnití 			homo, hommbo (plural: homɓe) 	kòn 	jɔ 	kan 	quan, whom	
12 	what 	qun?	kíni, kínlá, èwo 			koɗun, honnɗun 	sìn 	mɓe 	lan 	ma? qvn? qwo?	mɓe, kíni, èwo
13 	where 		ibo, níbo, níbití 			hoto, toye 		mínyá 	ana, fan 		
14 	when 		ìgbàtí 			mannde, honnde, ndeye 		mínyá banda 	kañ 	quan	kañ 
15 	how 	wie	bí, báwo 	naka 	ñaadii 	honno, noye 	nò 	káma 	naka 	comme?	káma 
16 	not 	𓂜 kein	kò, kì 	déedéet 		alaa 	'na''a '	máã 	du, bu, déedéet 	de¬ no…	'na''a '
17 	all 	𓎟	gbogbo, olúkúlùkú 		bee 	fow, fop, fuu 	pèpè 	kínɛ́ĩ 	lëpp, yëpp 	𓎟 all, kall	olúkúlùkú
18 	many 	𓉻 𓏠  populous	púpọ̀, pọ̀, ọ̀pọ̀lọpọ̀ 			buy, ɗuɗaal 		kúluŋ ɓa 		popul poly	ọ̀pọ̀lọpọ̀ púpọ̀, 
19 	some 	quan™	díẹ, kan, àwọn kan 			yoga 		ɓɔ́ɔ 	ay 	1… quan	àwọn kan
20 	few 	𓂝 𓈖 𓂧 𓅪 	díẹ 			seeɗa 		kpɔ́ fɛlá 	tuuti 		
21 	other 		òmíràn, míràn 			'go''o '		mandé 	beneen 		
22 	one 	mono	mení, ọ̀kan 	otu 	kiling 	'go''o, gooto (human) '	oko 	lɔndɔ́ 	benna, benn 	ben, ek …--	oko 
23 	two 	min	méjì 	abua 	fula 	ɗiɗi, ɗiɗo (humans) 		fɛlá 	ñaar 	ni, di do	ɗiɗo
24 	three 	metari	mẹta 	atọ 	saba 	tati, tato (humans) 		sakpá 	ñetta, ñett 	ø, third	tati
25 	four 	𔖻 mi 𔗘 mi māhar	mẹrin 	anọ 	naani 	nayi, nayo (humans) 		náãni 	ñenent, ñeent 	ńila  𐦊𐦊 നാൽ- /n̪aːl-/ @Ural/Dravidian	nayi
26 	five 	𒈨𓈗	màrún 	ise 	luulu 	jowi, joyi; joyo, jowo (humans) 		sóólú 	juróom 	-- ϯⲩ	
27 	big 	𓁶 𒄭	nlá, tóbi, gbórin 	ukwu 		mawɗo, maw- 		ɓa 	mag 	mᵇega, mutho	ɓaᵍ, mag, mawɗo
28 	long 	远 廴	jìnnà, gùn, pẹ́ 			juutugol (=to be long/tall/big) 		tɛ jaŋ 		yong<llong	jaŋ, jìnnà
29 	wide 	𓋴 𓐍 𓎸 𓏛 	gbòrò, jìnnà 	mbara 		njaju 		já kolo 			
30 	thick 	𓅱 𓂸 ! 𓏛 	nípọn 			gouma,tekki 		kpɔ́tú 		thick …--	tekki
31 	heavy 	weighwy	wúwo 	ike 		teddugol (=to be heavy) 		fahanyá 		'wow;) d''ike '	
32 	small 	𓈙 𓂋 𓂋 𓅪	kéré™, diẹ 	ntakiri 		famar 		leŋ 	ndaw 		
33 	short 	𓈙 𓂋 𓂋 𓅪	kúrú™ 			raɓɓiɗugol (=to be short),dammuɗo 		kúndú 	gatt 	kúrú.az/de kurz court √cut	kúrú, gatt 
34 	narrow 	𓎼 𓄿 𓎣 𓅪 	tóró, híhá, há 	kpachiri 		ɓiɗɗi 		lɔ kpátiya 			
35 	thin 	𓇾 𓅮 𓈎 𓏗 ? 	tínrín, tẹ́rẹ́ (?) 			shauɗo 		kpányá 	sew 	tínrín, short	tínrín, shauɗo 
36 	woman 	𓈟 𓁐 人	obìnrin 	nwanyị 	musoo 	debbo (plural: rewɓe) 		musú 	jigéen 	nüwana …--	nwanyị 
37 	man (adult male) 	𓌢 人	ọkùnrin 	nwokè 		gorko (plural: worɓe) 		kpakoo 	góor 	Kerl	góor 
38 	man (human being) 	男	ènìyàn 	ndì mmadụ 		neɗɗo (plural: yimɓe) 		mɔ kɛ́ndɛ́ 	nit 	𓎛 𓃹 𓈖 𓀔	
39 	child (a youth) 	𓄟	èwe, ọmọ, ọmọdé 			ɓiɗɗo (plural: ɓiɓɓe) 		ɗléŋ 	xale 	bit, Bube, xale~chile	
40 	wife 	𓁹 𓈞 𓁐	ìyàwó, aya 		musoo 	ɓeyngu,kore 		musú 	jabar 		
41 	husband 	𓌢	ọkọ 		kee, kewo 	moodi.gorko 		kaí 	jëkkër 		
42 	mother 	𓅑 𓅐 Amme	ìyá, abiyamọ 	nne 	naa 	neene.yaaye 		ɓa 	yaay, ndey 	anna, nü	nne 
43 	father 	𓅷 𓄿 𓇋 𓇋 𓂺 𓀀	bàbá 	nna 	baabaa 	baaba 		fa 	baay 	baba	bàbá 
44 	animal 	𓂧 𓂋 𓄛  	ᵗẹran 			kullun,mardi marle(plural) 		kɛ́ndɛ́ feŋ 	rab 	mortal Rabe ᵀieran	
45 	fish 	≈ 𓆑𓆓	ẹja 	azu 	ñewo 	linngii (plural: liƴƴi) 		nyínyɛ́ 	jën 	𓇋 𓆛 𓈖 nauo	ñewo 
46 	bird 	𓅽	ẹiyẹ, ẹyẹ abìyẹ́ (?) 	nnụnụ, okuko (chicken) 	kunoo 	sondu ( plural: sholli) 		kondé 	picca, picc 	air, niao, chick, birdç	okuko, abìyẹ́, picc 
47 	dog 	𓃡	ajá 	nkịta 		rawaandu, bareeru,kutiru 		wulú 	xaj 	wolf, Köter	wulú, kutiru 
