Nr. 	WORD 	PIE		Tama 	Erenga 	Sungor / Miisiirii 	Miisiirii / Ibiri 	Ibiri / Abuu Shaarib  
1. 	ALL 	𓎟 ᵏALL		káː-k 	areŋ 	kuːmo (3) 	káː-k 	kai ~ kaːi ~
2. 	ASHES 			b 	orɔŋo 	orŋo ~ oruŋo 	ʌrŋo 	nèrmá (3) 
3. 	BARK 	"kork ქერქი	kʰɛrkʰi	kork™	կեղեւ	kɛʁɛv kurt@Mongol"		gùgùr 	àfùɽ-ɲá-t 	gifir (3) 	fàlú-k 	áfòró 
4. 	BELLY 	taille		tólòl ~ túlòɽ 	tɔrɔl 	tol 	k=út 	t t l-ì 
5. 	BIG 	大dà/tai <> 天		dúːt 	dudı 	dùt ~ dùːt 	duːd ~ duːda 	ùsút 
6. 	BIRD 	wing		wìgí-t 	wìgí-t ~ weigi-t 	wigi-t 	wɪgɪ-t 	wígì-
7. 	BITE 	nag njang;)		ɲíŋì-t n 	kurumu 	tišik (3) 	ŋóŋísín.	 
8. 	BLACK 	kur.de		kìdí-k ~ kirí-k 	kìdí-k 	kidi-k 	kiti-k 	kídì-k
9. 	BLOOD 	ẹ̀jẹ 血 …		àí 	ái 	áí 	áí 	ʓíː 
11. 	BREAST 	bule.ast		búːl 	buːl ~ boːl 	bul 	gúl-ì 	gul.
14. 	CLOUD 	𓆎𓅓𓏏!		àmki-t 	mor-t 	muru-t 	margu-t 	sìháb
15. 	COLD 	"शीत śīt 𒈻 sed₄;sed;sed₆;še₁₂;še₁₈;še₁₁;še₁₅;še₅;šed₅ 𒉉	eš₁₃ <> 𒋢𒋢 susu 𒈻;𒈹;𒀀𒈹;𒀀𒈹𒁲;𒈜;𒊺𒉣𒉣;𒍝𒈹𒁲;𒆒	"	√	ɲaŋne 	sudi 	ɲaːɲiŋ-ɛ 	ʓawu-t (3) 	ʓì=ʓùwá ~
16. 	COME 	ale		l -k / k=un-uŋa 	no=re-i / un-ɔŋ 	lo-i / k=on-oŋa 		 
17. 	DIE 	x		iy-ɛ 	iy-à 	iy-e 	iy 	ìy-én 
18. 	DOG 	wau;)		w í 	wi ~ wiː 	wɛː 	wus 	wíːsì 
19. 	DRINK 	lick		liː 	lɪʓ-ɛ 	liy-ɛ 	liy-ei 	n =ríː / ʓè-i 
20. 	DRY 	iləŋ ɔlgɔkin		láː-kìn 	labù-t 	labi-t 	r dù-t 	kìrí-ŋ (3) 
21. 	EAR 	votzu		ú-tù 	usu-t 	usu-t 	usu-t 	ŋùsí 
22. 	EARTH 	mêre ard!		mùrú-k ~ wùrú-k ~ wùlú-k 	murù-k 	ard 	ana	 
23. 	EAT 	nag njang	;)	nàn ~ náŋ ~ ŋan 	ŋʌn 	ŋan-i 	ŋʌn 	gúi-ì
24. 	EGG 	a'koye  	<<	kùyí-t ~ kòyí-t 	kuyi-t 	kuyu-t 	kiː-t 	kóbì-t
25. 	EYE 	𓁹 moyti	<<	m -tì 	me-di 	mɛ-ti 	mɛ-ti 	ím-sì 
27. 	FEATHER 		??	ìgí-t 	sıgı-t 	sígì-t 	sigı-t 	ìsìŋí-t 
28. 	FIRE 	fú ≈ feux		ú ~ úː 	ú 	u 	oːs 	ùsùg-í 
29. 	FISH 	salmonk سمكة‎ sámak	™	hút 	huːt 	huːt 	sʌmʌk 	samak 
31. 	FOOT 	𓃗 𓃘 ??	??	màɽ 	már 	màr 	mʌr 	wár 
32. 	FULL 			gagi-tɛ ~ gáŋè-rèŋ 	binʓɛ 	bíɲʓí-tí ~ bíɲʓí-tɛ 	bın	 
33. 	GIVE 			sɛː-i / ti=niŋo 	ti 	sɛn-i / ti=ŋo 	tie-i 	Ibiri
34. 	GOOD 	well, salama		wéllì ~ w lnì 	wuelnı 	walni 	samah	gùssú-
35. 	GREEN 	ğirni		íɽnì 	šırnı-k 	širni-k 	šiɽni 	ʓú-k 
36. 	HAIR 	𓍲 𓈖 𓏮 𓁸 𓏥 sigin / signi	<<	ìgí-t 	sigi 	sígì-t 	sigı-t 	ìsìŋí-t 
37. 	HAND 	ho'	x	àù 	oɣ 	ao 	wiː 	wèí 
38. 	HEAD 		?	ŋúr 	nur ~ mur 	ŋor 	ŋɔr 	úr-ì 
39. 	HEAR 			ikɛ 	ıgɔ-i 	igɛ 	sugo 	Ibiri.
40. 	HEART 		<<	àmúl 	ʌmɔl 	amul 	samil 	árm-èi 
41. 	HORN 			ŋó-d 	ŋɛtı 	ŋoːtu 	gʌrn	máːŋí-t.
42. 	I 	wo		wa ~ waː 	wá 	wa 	wá 	wà 
43. 	KILL 	shā 杀		ìy 	šı-o 	šiːɲ-e 	siy-ɔ 	ey 
44. 	KNEE 			àwúr ~ òúr 	ɔrgu-t 	awrgu-t 	kʌrgu-t 	kúrì
45. 	KNOW 	kɲalidge		ɲali 	dir-nek 	ɲálì 	ɲɛli-ya ~ ɲɛle-ya 	léni
