	Family	Berta	Kunama	Fur	Central Sudanic	Saharan	Eastern Sudanic	Eastern Sudanic	Eastern Sudanic	Eastern Sudanic
	Language	p-Berta	p-Kunama	Fur	p-Lendu-Ngiti	p-Kanuri	p-SE Surmic	Nara	p-Tama	p-S Nilotic
1	I	*àlì	*a-ba	ka	*mā	*wu	*an-ɛ	ag	*wa	*a-ni ₁
2	you (singular)	*ŋgo	*e-na	ʓi	*ɲī	*ní	*in-e	iŋa	*i ₁	*i-ɲ ₁
4	we	*=/a/ŋ/a/	*á-; *kì-	k-i	*mǎ	*y₁-andi	*a-g- ₁	a-gg-a ₁	*wa-(y)i	*ɛ-ɕa ₁
	what	*naN	*ay	ka	*=ɗū	*à=bí	*oŋ	nda (←ende=ha)	*num	*ne ₁
	who	*nda	*no	ki	*=ɗī; *íē	*ndú	*nɪnɛ ₁	na(-n) ₁	*na ₁	*ŋo ~ *ŋʌ ₁
	not	—	*-m-; *-n-	a... ba	*ì=nz-	*bâ; *ni	*ŋa ₃; *-oŋ	ka ₄; ma ₂	*-to	*ma ₂
	one	*ɗuɠu-	*él-	tok	*aɗɪ ~ *aɗ̣ɪ	*tilo	*ɗo(-)ne ₁	doko	*ku- ~ *ka- ₃	*a=kɪ ₃
	two	*kolaŋ	*baːr-	aw	*ārʸɔ̄	*(ì)ndí	*raman ₂	ari(-ga) ₁	*wari ₁	*ʌ=ʀi-ɛŋ ₁
