№	English	Ossetian<Skythian<PIE (Iron) Ирон (Iron)	Ossetian (Digor) Дигорон (Digoron) 	PIE +++
1	I (1sg)	æз (æz)	æз (æz)	icz
2	you (2sg)	ды (dy)	ду (du)	Du
3	he, she, it (3sg)	уый (wyj), уй (uj)	е (e), ейæ (ejæ)	he, ejr
4	we (1pl)	мах (max), махтæ (maxtæ)	мах (max)	man
5	you (2pl)	сымах (symax), сымахтæ (symaxtæ), уæ (uæ), уын (wyn), дытæ (dytæ)	сумах (sumax), уæ (uæ), уин (win)	thum, ye, youn
6	they (3pl)	уыдон (wydon), уыдонтæ (wydontæ), уыдæттæ (wydættæ), уыйтæ (wyjtæ)	етæ (etæ)	
7	this	ай (aj), ацы (acy)	айæ (ajæ), а (a), аци (aci)	ici
8	that	уый (wyj), уй (uj), уыцы (wycy)	е (e), еци (eci), уоци (uoci), и (i)	ici
9	here	ам (am), амыты (amyty), мæнæ (mænæ)	ами (ami), мæнæ (mænæ)	
10	there	уым (wym), уымыты (wymyty), уæртæ (uærtæ), уырдæм (wyrdæm), уырдæмыты (wyrdæmyty)	уоми (uomi), уомити (uomiti), уæртæ (uærtæ), уордæмæ (uordæmæ)	
11	who	чи (ḱi), читæ (ḱitæ), кæцы ( kæcy), кæцытæ (kæcytæ)	ка (ka), катæ (katæ), кæци (kæci), кæцитæ (kæcitæ)	qui
12	what	цы (cy), цытæ (cytæ), цæй (cæj), цæйты (cæjty)	ци (ci), цитæ (citæ), цæй (cæj), цити (citi), цæйти (cæjti)	que
13	where	кæм (kæm), кæмыты (kæmyty), кæдæм (kædæm), кæдæмты (kædæmty)	кæми (kæmi), кæмити (kæmiti), кумæ (kumæ)	quam
14	when	кæд (kæd), куы (k°y)	кæд (kæd), ку (ku)	quand
15	how	куыд (k°yd), куыдтытæ (k°ydtytæ)	куд (kud), кудтитæ (kudtitæ)	quod
16	not	нæ (næ), нæтæ (nætæ)	нæ (næ)	nae
17	all	æгас (ægas), иууылдæр (iwwyldær), æппæт (æppæt), алцы (alcy), алцытæ (alcytæ), æнǽхъæн (ænǽqæn)	æгас (ægas), еугурæй (ewguræj), æппæт (æppæt), æнккæт (ænkkæt), алци (alci), алцитæ (alcitæ)	allque
18	many	бирæ (biræ), бирæтæ (birætæ)	берæ (beræ), беурæ (bewræ)	poly?
19	some	цалдæр (caldær), цасдæр (casdær)	цалдæр (caldær)	quel
20	few	гæзæмæ (gæzæmæ), чысыл (ḱysyl), цъус (c’us)	гæзæмæ (gæzæmæ), мæнги (mængi), мæнкъæй (mænk’æj)	gsome, menge
21	other	æндæр (ændær), иннæ (innæ)	æндæр (ændær), иннæ (innæ)	ander!
22	one	иу (iw)	еу (ew)	ey
23	two	дыууæ (dywuæ)	дууæ (duuæ)	du
24	three	æртæ (ærtæ )	æртæ (ærtæ)	<>
25	four	цыппар (cyppar)	цуппaр (cuppar)	cypart!
26	five	фондз (fonʒ)	фондз (fonʒ)	fümʒ
27	big	æстыр (æstyr), стыр (styr), егъау (eǧaw), дынджыр (dynǵyr)	устур (ustur), стур (stur), æстур (æstur), егъау (eǧaw)	stark? <<<
28	long	даргъ (darǧ)	даргъ (darǧ)	大 dag!
29	wide	фæтæн (fætæn), уæрæх (uæræx)	фæтæн (fætæn), уæрæх (uæræx)	weiten, reach
