No ,English , ,,Aymara ,Kunza ,Southern Quechua runa simi,PIE / PERU,,,"Wichí languages (Guisnay, Nocten and Vejoz) ",Rapa Nui (Austronesian),Spanish,Mapudungun ,Paraguayan Guaraní avañe'?,,
1,I * ,an.aI  icke na.I <> nous,??!?,naya ,ackcka ,ñuqa,an.iqh,++,,n’lham ,(ko)au ,yo,iñche ,che,je iche,+++
2,you (sing.) ,tchju! Yjou.ma,??!?,juma ,tchema ,qam,kya,++,,am ,(ko)koe ,"tú, usted (formal)",eymi ,nde,ante du,+++
3,he ,"lham, el’hem, (ha)îa ",??!?,jupa ,? ,pay,pho,++,,lham ,(ko)/(a)îa ,él,fey ,ha'e,he,+++
4,we * ,"nous, ickun",??!?,"nanaka, jiwasa, jiwasanaka ",ckun ,"ñuqanchik (inclusive), ñuqayku (exclusive)",nou,++,,"namilh (incl.), tolhamilh (excl.) ","(ko)tâtou (inclusive), (ko)matou (exclusive), taûa (dual: you and I), maûa (dual: he and I) ","nosotros, nosotras ","iñchiñ, iñchiw (dual) ","ñande (inclusive), ore (exclusive)",nouns,++
5,you pl ,you.men! Ka?,??!?,jumanaka ,tchími ,qamkuna,kyoun,++,,amilh ,"korua, korua arurua (dual) ","vosotros, vosotras, ustedes (formal)","eymün, eymu (dual) ",pe?,'we’,
6,they ,--,,jupanaka ,ickota ,paykuna,,,,lhamilh ,"(ko)raûa, raûa arurua (dual) ","ellos, ellas","feyengün, feyengu (dual) ",ha'ekuéra,'hey,
7,this * ,aqui,??,aka ,"aâya, anta ",kay,ce,++,,tojha ,nei ,este,"(tü)fachi, (tü)fa ",ko,ce,+++
8,that * ,"aqui, acá",??,uka ,? ,"chay (medial), haqay (distal)",ca,++,,,"ena, era ","ese, aquel",(tü)feychi ,pe,pho,
9,here ,"aqui, acá",??,"akana, akja ","aiss, ap-ps ",kaypi,chere,,,ikana ,"î, inei ","aquí, acá","tüfamew, fa(me)w ",ko'ápe,,
10,there ,,,khäna ,? ,"chaypi (medial), haqaypi (distal)",chare,,,iknhi ,"(nai)ná, airá-era ","ahí, allí, allá","tiyemew, eye, uye eyew ",upépe,,
11,who * ,khwit,??,khiti ,? ,pi (interrogative),pho,++,,at’e ,aai ,quien,"iney, iñey ",mávapa (interrogative),mwho?,++
12,what * ,kv*,??,kuna ,? ,"ima (interrogative), hay (asking for repetition)",ma?,++,,at’ep ,aha ,que,chem ,mba'épa (interrogative),mwhat?,++
13,where ,kv*,??,kawki ,? ,may (interrogative),Ma-y?,++,,e’ihi ,"(i)hé, i kona hé ",donde,chew ,"mamópa (no movement, interrogative)",ma move?,++
14,when ,kv*,??,? ,? ,mayk'ap (interrogative),Ma-quand?,++,,e’ihinaji ,agahé ,cuando,chumül ,araka'épa (interrogative),,
15,how ,kv*,??,? ,? ,imahina (interrogative),Ma-hina?,++,,e’wuye ,pehea ,como,chum(?echi) ,mba'éichapa (interrogative),mwelch?,++
16,not * ,la! niwu! ,??!?,janiwa ,[[]] ,"mana ...-chu (negative), ama ...-chu (prohibitive)",mano!!!,++++,,,kai ,no,-la ,"ani, nd- -i",anti not,++
17,all * ,Kall !!!!! pan’i,??!?,q'ala ,baini ,"tukuy, lliw, llapa",touty tchaque,++,,nufwu ,ana(kea)nake ,todo,"fill, kom ",pa,pan,++
18,many * ,Panta / manche,??,"ancha, anchaki ",? ,achka,? ? ? Exa < macha,++++,,nitokw ,? ,muchos,"alü?, fent(r)en ",eta,exa,++
19,some ,,,yaqhipa ,? ,"tumpa, waki","thum~some, wenigki",+-,,mayek ,? ,"algunos, unos",kiñeke ,,,
20,few ,¬alle!,??!?,k'atalla ,? ,"aslla, tumpa",some,+-,,"lhimphaj, niwefwa ",? ,poco,pichi ,mbovy,,
21,other ,Wother <> both?,??!?,"wasa, yaqha ",? ,"huk, waki",einige ein-anderer,,,elh ,tahi ,otro,kangelu ,ambue,ambi!,
22,one* ,"mein, unu, iñe, uma@port ",??,maya ,semma ,huk,? ek,++,uno,unu ,(e)/(ka)tahi @NZ,uno,kiñe ,pete?,,
23,two* ,bi?,??!?,paya ,ppoya ,iskay,? ????? ???? secon’ ,+++,dus,lus ,(e)/(ka)rua ER!,dos,epu ,mokõi,,
24,three ,??? khmtha!!!!  kim.san,??!?,kimsa ,ppálama ,kimsa,??? ?omte@COPT ,++x ,tares,tales ,(e)/(ka)toru  !,tres,küla ,mbohapy,,
25,four ,fourth,??,pusi ,? ,tawa,?? ????? qtwr tetwra,++,katro,kwatlu ,(e)/(ka)há  kaha,cuatro,meli ,irundy,,
26,five ,"Pes, fiqve ++ cinqa",??,phisqa ,? ,pichqa,?  penta ???? *qpink?e qinque,+++,cinco,sinku ,(e)/(ka)rima ,cinco,kechu ,po,,
,6,sixt!!,??,suxta,,suxta,??? 6 six,+++,…,,,,,"tuicha, guasu",,
,7,2+5  calculate? <> quantity!?,(?),paqalqu,qant’is,qant’is,????  svhn < Gvan < quantities,++?,,,,,,puku,,
,8,3+5,(?),kimsaqalqu,,Pusax / kimsa.qalqo,PusAcht? 5+3 3+5,,,,,,,pe,,
,9,¬10,??!?,llatunka,,'aa-tunka,1 to 10,+:,,,,,,kyra,,
,10,ten! Deka!,??,tunka,,tunka,? 10,++,,,,,,pohýi,pound,
27,big * ,acha!,,jach'a ,ckapur ,,,,,wefw ,nui nui ,grande,"futa, fucha, buta, buka ",mich?,micri,
28,long * ,,,"suyt'u, sayt'u, jach'a ",? ,"hatun, suni",?,,,pitaj ,roa ,largo,wif ,mbyky,,
29,wide ,"tall, gar, thickar",~?? ,t'alpha ,ckackar ,"llañu, suyt'u, suni",llonge,++,,"chitsajhu, chitsajpho ",lau ,ancho,"fücharume, fücharupa ",po'i,,
30,thick ,thi’  thorough?,~?? ,thuru ,? ,"kimra, luqhu, llapha, phanlli, sakha",,,,tach’upway ,matoru ,grueso,"fücharume, fücharupa ",perer?,,
31,heavy ,"Peso, ?",<<,jathi ,[[]] ,raku,ries,+-,,nichuyhat ,pagaha'a ,pesado,fane ,kuña,gyne,
32,small * ,"pico, newch, ?",?? ½ ,jisk'a ,[[]] ,llasa,,,,"niwefwa, lhomsaj ",iti (iti) ,pequeño,pichi ,kuimba'e,hombre,
33,short ,"pico, nipt?",??,[[]] ,[[]] ,uchuy,cute:,,,niptaja ,poto ,corto,"pichi, pütru ",tekove,,
34,narrow ,cul’cui!,~?? ,k'ullk'u ,[[]] ,"chutu, kuru","Cut, cute, short",++,,"ilupenche, niktsajahu ","rikiriki, vakavaka ","estrecho, angosto","pichirume, pichirupa ",mitã'i,??Maisen ,
