 No. 	English 	Southern Quechua runa simi	Basic PIE / PERU, NOT verbs/adjectives…	++---	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	5-20% PIE creole? Almost random, BUT look numbers!			
1	I 	ñuqa	an.üqha  𓏌𓎡𓍢 nuʳkwa	++	(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 𓍢 𓇋 , 𓏌𓎡𓍢 				
2	you (singular) 	qam	kyaⁿ 𓎡	++	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥				
3	he 	pay	pho 𓊪𓍢	++	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖				
4	we 	ñuqanchik (inclusive), ñuqayku (exclusive)	nou 𓈖𓏥	++	(𓈖𓏏) 𓈖𓏥, 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥				
5	you (plural) 	qamkuna	kyoun  𓎡.𓍿𓈖𓏤𓏤𓏤	++	(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤				
6	they 	paykuna	𓊪𓍢.𓋴𓈖𓏥 who.quan	!	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥				
7	this 	kay	ce < ta 𓏏𓄿	++	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖				
8	that 	chay (medial), haqay (distal)	ca < tay 𓏏𓅱	++	𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,				
9	here 	kaypi	𓂧 𓏮 𓈐 chere / ici.by		𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐				
10	there 	chaypi (medial), haqaypi (distal)	𓂧 𓏮 𓈐 chare		𓂧 𓏮 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐, 𓇋𓅓,				
11	who 	pi (interrogative)	pho 𓊪𓅱	++	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓋴, 𓏶				
