 No 	English 	Latin 	Outliers	My PIE	Portuguese 	Spanish 	Catalan 	French 	Italian 	Romanian 	Lengadocian Occitan 	Gascon Occitan 	Romansh	Ticinese Lombard	?	Neapolitan 	Venetian	Sicilian	Maceratese Italian	Galician	Asturian	Aragonese	Catalan
1 	I 	ego 		icho	eu 	yo 	jo 	je 	io 	eu 	ieu 	jo 	jau	a 	je 	eje 	mi 	iu 	io 	eu 	yo 	yo 	jo 
2 	you 	tū 		du	tu 	tú 	tu 	tu 	tu 	tu 	tu 	tu 	ti	ta 	tu 	to 	ti 	tu 	tu 	ti 	tu 	tu 	tu 
3 	he 	is, ille (that one) 		er, es	ele 	él 	ell 	il 	lui 	el m, ea f 	el 	eth 	el	al 	isso 	iddo 	lu, el 	iddu 	issu 	el 	él/elli 	ell 	ell 
4 	we 	nōs, (genitive pl : nostrī) 		nōs	nós 	nosotros 	nosaltres 	nous 	noi 	noi 	nosautres 	nosaus 	nus	a 	nuje 	nuje 	noaltri 	nuàutri 	noàddri/noàrdri noà/nuà 	nós 	nós/nosotros 	nusatros; nusaltros 	nosaltres 
5 	you 	vōs, (genitive pl : vestrī) 		thine	vós 	vosotros 	vosaltres 	vous 	voi 	voi 	vosautres 	vosaus 	vus	a 	vuje 	vuje 	voaltri 	vuàutri 	vuàddri/vuàrdri, voàddri/voàrdri, vuà 	vós 	vós/vosotros 	vusatros; vusaltros 	vosaltres 
6 	they 	iī m, eae f 		them	eles m, elas f 	ellos m, ellas f 	ells m, elles f 	ils m, elles f 	loro 	ei m, ele f 	eles m, elas f 	eths m, eras f 	els m, ellas f	i 	lloro 	lloro 	lori, i 	iddi 	issi, loro 	eles 	ellos 	ellos, ells 	ells, elles 
7 	this 	is, hic, iste m, ista f 		(q)is (ć)est (th)is	este m, esta f 	éste m, ésta f 	aquest, este m, aquesta, esta f 	ce/cet m, cette f 	questo m, questa f 	acesta adj, m, aceasta adj, f; acest pron, m, această pron, f 	aqueste, ~a 	aqueste, ~a 	quest m, questa f	chestu, chelchi 	chisto 	quisto 	sto qua 	chistu 	quìstu-stu (masculine)/ [[quésta-sta] (feminine) / quèsto-sto (neuter) 	este, iste 	esti 	iste, este 	aquest 
8 	that 	iste (near), ille (far), is, hic 			esse m, essa f (near), aquele m, aquela f (far) 	ése m, ésa f (near), aquél m, aquélla f (far) 	aquell, eixe m, aquella, eixa f 	ce/cet m, cette f 	quello m, quella f 	acela m, adj, aceea f, adj; acel m, pron, acea f, pron 	aquel, ~a 	aqueth, aquera 	quel m, quella f	chel, chel là 	chillo 	quiro 	sto la 	chiddu 	quìllu-llu(m.)/ [quélla-lla] (f.) /quèllo-llo (n.) (far from who's talking and far from who's listening) / quìssu-ssu)(m.)/ [quéssa-ssa] (f.) /quèsso-sso (n.) (next to who's talking and far from who's listening) 	ese, aquel 	esi, aquel/aquelli 	ixe 	aquell, aqueix/eixe 
9 	here 	hīc 		aquir qhere qwo	aqui 	aquí, acá 	aquí, ací 	ici 	qui, qua 	aici, (aci dial.) 	aicí, aquí 	ací 	qua	chi 	ccà 	quò 	qua 	ccà 	"ècco (""next to me"") "	aquí/eiquí 	equí 	aquí, así 	aquí, ací 
10 	there 	ibī, illic 			ali (near), aí (far), 	allí (far), ahí (near) 	allà, allí 	là 	là, ivi 	acolo 	ailà 	aquiu 	là	là 	lloco 	ddò 	là 	ddà, dduocu 	"èsso(""next to you"")/èllo(""far from me and from you"") "	alí, alá/aló 	ehí, ellí 	allí, allá 	allà 
11 	who 	quis 			quem 	quién sg, quiénes pl 	qui 	qui 	chi 	cine 	quin, qual 	qui 	tgi	chi 	chi 	chi 	chi 	cu 	chi 	quen 	quien 	quí 	qui 
12 	what 	quid 			qué 	qué 	que, què 	quoi 	che 	ce 	qué 	qué 	tge	cusa 	che 	cche 	cossa, coss' 	'nsòccu 	che 	que 	qué 	qué 	què 
13 	where 	ubī, unde (from where) 			onde 	dónde 	on 	où 	dove, ove 	unde 	ont 	on 	nua	indua 	addò 	ndò 	ndove 	unni 	do’, indo' 	onde,ú 	onde, aú/u 	a on/en do, an 	on 
14 	when 	quandō 			quando 	cuándo 	quan 	quand 	quando 	când 	quand 	quan 	cur	quand, quant 	quanno 	quanno 	cuando 	quànnu 	quànno 	cando 	cuando 	quan, quando 	quan 
15 	how 	quam, quōmodo 			como 	cómo 	com 	comment 	come 	cum 	consí 	com, ~a 	co	cuma 	cumme 	come 	come 	comu 	come, comme 	como 	como 	cómo 	com 
16 	not 	nōn 	na ... betg -,(mia) 		não 	no 	no 	ne pas 	non 	nu 	pas 	ne ... pas 	na ... betg	-, (mia) 	nun/no 	nen 	no 	no, noni 	no, nòne 	non 	non, nun 	no 	no 
