No. 	English 	Tajik	IE		Kurdish (Central) 	Romani 
1	I 	me	me	🗸🗸	ман 	আমি ami 
2	you (singular) 	tu	tu	🗸🗸	ту 	তুই, তুমি, আপনি tui, tumi, apni 
3	he 	voj	vohe  ≠vous 	~🗸? <<	вай 	সে she 
4	we 	ame	mir	~🗸	мо 	আমরা amra 
5	you (plural) 	tume	tu.um	🗸	шумо 	তোরা, তোমরা, আপনারা tora, tomra, apnara 
6	they 	von	On <> em	~🗸	онҳо 	তারা tara   their!
7	this 	kado	ceto	🗸	ин 	এ e 
8	that 	kodo	ceto	🗸	он 	ও o 
9	here 	kathe	ceth	🗸	инҷо 	এখান ekhan 
10	there 	kothe	ceth	🗸	онҷо 	ওখান okhan 
11	who 	kon	qvn	🗸	кӣ 	কে ke 
12	what 	so	;)	;)	чӣ 	কী ki 
13	where 	kaj	ka*	🗸	куҷо 	কোথায়, কৈ kothae, koi 
14	when 	kana	ka*	🗸	кай 	কখন/কবে kôkhon/kôbe 
15	how 	sar	car~	🗸	чӣ тавр 	কেমন/কেমনে kêmon/kêmne 
16	not 	na	na	🗸🗸	не 	না/নি/নেই na/ni/nei 
17	all 	sa	tousa? 𓎟𓎡𓏏	-	ҳама 	সব/সারা shôb/shara 
18	many 	but	polith?	<?	бисёр 	বহু/অনেক bohu/ônek 
19	some 	unyi	1i	🗸🗸	бархе 	কিছু kichu 
20	few 	cerra	cetera?	<?	андак 	অল্প ôlpo 
21	other 	kaver	Kother 𓎡𓏏 !?	</	дигар 	অন্য onno 
22	one 	jekh	jek	🗸🗸	як 	এক êk 
23	two 	duj	dui	🗸🗸	ду 	দুই dui 
24	three 	trin	tri	🗸🗸	се 	তিন tin 
25	four 	shtar	qtar	🗸	чаҳор 	চার car 
26	five 	panzh	panj	🗸🗸	панҷ 	পাঁচ pãc 
27	big 	baro	barg?	~?	бузург 	বড় bôṛo 
28	long 	lungo		🗸🗸	дароз 	লম্বা lômba 
29	wide 	bulyho			васеъ 	চওরা côora 
30	thick 	thulo		~	ғафс 	মোটা moṭa 
31	heavy 	pharo	baryo	🗸🗸	вазнин 	ভারী bhari 
32	small 	cino	picino	🗸?	хурд 	ছোট choṭo 
33	short 	skurto		🗸🗸	кӯтоҳ 	বেঠে beṭhe 
34	narrow 	tang	d’eng	🗸!	танг 	চিপা cipa 
35	thin 	sano		🗸🗸	нозук 	পাতলা patla 
36	woman 	zhulyi	joli;)	??	зан 	মহিলা mohila 
37	man (adult male) 	mursh	Mr.	🗸	мард 	পুরুষ purush 
38	man (human being) 	manush		🗸🗸	нафар 	মানুষ/লোক manush/lok 
39	child 	shavoro	chard→cavord	!	бача 	বাচ্চা bacca 
40	wife 	romnyi	nû!	!	зан 	বউ bou 
41	husband 	rom	™	!	шавҳар 	জামাই jamai 
42	mother 	dej		??	модар 	মা/আম্মা ma/amma 
43	father 	dad		🗸🗸	падар 	বাবা/আব্বা baba/abba 
44	animal 	pedo		;)	ҷонвар 	জন্তু jontu 
45	fish 	masho	mesh, mus@	🗸	моҳӣ 	মাছ mach 
46	bird 	chiriklyi	chirp, tyr	🗸	парранда 	পাখি pakhi 
47	dog 	zhukel	khuo+kelef	🗸	саг 	কুকুর kukur 
48	louse 	zhuv			шапиш 	উঁকুন ukun 
49	snake 	sap	serp.on	🗸🗸	мор 	সাপ shap 
50	worm 	kermo	! kwrüm!	🗸?	кирм 	কৃমি krimi 
51	tree 	kasht	kEschet		дарахт 	গাছ gach 
52	forest 	vesh		~?	ҷангал 	বন bôn 
53	stick 	kopal			чомоқ 	লাঠি laṭhi 
54	fruit 	frukto		🗸🗸	мева 	ফল phôl 
55	seed 	sumburo	samen+^!?	🗸	тухм 	বিচি bici 
56	leaf 	patrin	blatt	~?	барг 	পাতা pata 
57	root 	rikita	rookt	~	реша 	শিকর shikôr 
58	bark (of a tree) 	korca	kork™	🗸🗸	пӯсти дарахт 	ছাল chal 
59	flower 	luludyi	lilidy™	🗸🗸	гул 	ফুল phul 
60	grass 	char	chaors	!!	алаф 	গাস ghash 
61	rope 	shelo	Seil.o	🗸🗸	таноб 	দড়ী ḍori 
62	skin 	morchi			пӯст 	চামড়া camṛa 
63	meat 	mas	meth@	🗸🗸	гӯшт 	মাংস/গোশ্ত mangsho/goshto 
64	blood 	rat	rot	🗸🗸	хун 	রক্ত rôkto 
65	bone 	kokalo			устухон 	হাড়ী haṛi 
66	fat (noun) 	thulo			равған 	চর্বি corbi 
67	egg 	anro			тухм 	ডিম ḍim 
68	horn 	shing	𓄃		шох 	শিং shing 
69	tail 	pori	pony?		дум 	লেজ lej 
70	feather 	por		🗸	пар 	পর pôr 
71	hair 	bal		<~	мӯ 	চুল cul 
72	head 	shero		!	сар 	মাথা matha 
73	ear 	kan	kohrn@ural,turk		гӯш 	কান kān 
74	eye 	jakh	eyakhe ayge	🗸🗸	чашм 	চোখ cokh 
75	nose 	nakh		🗸🗸	[[]] 	নাক nak 
76	mouth 	muj		🗸🗸	даҳон 	মুখ mukh 
77	tooth 	dand	dent	🗸🗸	дандон 	দাঁত dãt 
78	tongue (organ) 	shib			забон 	জীভ/জিহবা jibh/jibba 
79	fingernail 	vundya			нохун 	নখ nôkh 
80	foot 	punro	bein	;)	по 	পা pa 
81	leg 	fujeri	fuß	;)	линг 	পা pa 
82	knee 	chang	gkañie	🗸	зону 	হাঁটু hãṭu 
83	hand 	vast		<<<	даст 	হাত hat 
84	wing 	phak	flugk	🗸	бол 	পাখা pakha 
85	belly 	per		~<	шикам 	পেট peṭ 
86	guts 	porr	^^		рӯда 	ভুড়ী bhuṛi 
87	neck 	korr	𓐍𓐍𓄈 кърга gurgel	🗸	гардан 	গলা gôla 
88	back 	dumo		<?	пушт 	পীঠ piṭh 
89	breast 	chuchi	tcitce	🗸	сина 	বুক buk 
90	heart 	jilo		<?	дил 	মন/হৃদয় 
91	liver 	puko			ҷигар 	কলজে kolje 
92	to drink 	pijel	El,al,lel == .en	pij.en	нӯшидан 	পান pana 
93	to eat 	xal		esx.en	хӯрдан 	খাওয়া khaoa 
94	to bite 	dindalel			газидан 	কামড়ানো kamṛano 
95	to suck 	chuchi pel		~	макидан 	চোষা cosha 
96	to spit 	shungardel		~	туф кардан 	ছ্যাপ/থুতু sêp/thutu 
97	to vomit 	shandel		;)	қай кардан 	বমি bomi 
98	to blow 	phurdel	Pust < !	<~	вазидан 	ফুঁ দেত্তয়া phũ dêoa 
99	to breathe 	sufla lel	≠suffocate!		нафас кашидан 	শ্বাস নেওয়া shash neoa 
100	to laugh 	assal	ass: Esel	!	хандидан 	হাসা hasha 
101	to see 	dikhel	diäykh.el		дидан 	দেখা dêkha 
102	to hear 	ashunel	sDn		шунидан 	শোনা shona 
103	to know 	zhanel	zhavan		донистан 	জানা jana 
104	to think 	gindil		~~	андешидан 	ভাবা bhaba 
105	to smell 	sungal		~~	бӯидан 	শোঁকা shonka 
106	to fear 	daral	≠ dare		тарсидан 	ভয় করা/ডরা bhôe kôra/dôra 
107	to sleep 	sovel		~	хобидан 	ঘুমা ghuma 
108	to live 	zhuvel		<<<	зистан 	বাঁচা bãca 
109	to die 	merel	mor[t]	🗸🗸	мурдан 	মরা môra 
110	to kill 	mudarel	murder	🗸🗸	куштан 	মারা/মেরে ফেলা mara/mere phêla 
111	to fight 	marel	mars!! qvarrel	🗸🗸	ҷангидан 	লড়া lôṛa 
112	to hunt 	mudarel	^^	🗸	шикор кардан 	সীকার করা/মৃগয়া করা shikar kôra/mrigoea kôra 
113	to hit 	chalavel			задан 	মারা mara 
114	to cut 	shinel	schneid.en	🗸	буридан 	কাটা kaṭa 
115	to split 	pharravel	para™	🗸	ҷудо кардан 	ভাগ bhag 
116	to stab 	pusavel	push	🗸	захм задан 	ছোরা মারা chora mara(v) 
117	to scratch 	xarundel		~	харошидан 	খামচানো khamcano (v) 
118	to dig 	hunavel	Hühner;)	🗸?	ҳафр задан 	খোঁড়া khõṛa 
119	to swim 	plemel			шино кардан 	সাঁতরানো shãtrano 
120	to fly 	ural		<<!	паридан 	ওড়া oṛa 
121	to walk 	phirel	vire faire!	🗸🗸 <!	роҳ рафтан 	হাঁটা hãta 
122	to come 	avel		<	омадан 	আসা asha 
123	to lie (as in a bed) 	pashlyol			хобидан/дароз кашидан 	শোয়া shoa 
124	to sit 	beshel			нишастан 	বসা bôsha 
125	to stand 	tordyol			истодан 	দাঁড়ানো dãṛano 
126	to turn (intransitive) 	boldel			гардидан 	ঘোরা ghora 
127	to fall 	perel	purzel per~fall	🗸	афтидан 	পড়া pôṛa 
128	to give 	del	dar don	🗸	додан 	দেত্তয়া dêoa 
129	to hold 	xutyilel		~	нигоҳ доштан 	ধরা dhôra 
130	to squeeze 	kikidel			фишурдан 	চেপ chep- 
131	to rub 	morel			молидан 	ঘষা ghosha 
132	to wash 	thovel			шустан 	ধোয়া dhoa 
133	to wipe 	khosel	koscher	<	пок кардан 	মোছা mocha 
134	to pull 	cirdel	Kordel!?	<	кашидан 	টানা ṭana 
135	to push 	pizdel	puzhd	🗸	фишор додан 	ঠেলা ṭhêla 
136	to throw 	shudel	shuttle?	🗸!?	андохтан 	ফেলা phêla 
137	to tie 	phandel			гиреҳ задан 	বাঁধা bãdha 
138	to sew 	suvel		🗸🗸	дӯхтан 	টাঁকা ṭanka 
139	to count 	ginavel		~<🗸	шумурдан 	গোনা gona 
140	to say 	phenel	Phon <> pheme	🗸🗸	гуфтан 	বলা bôla 
141	to sing 	gilyabel		<3	хондан 	গাওয়া gaoa 
142	to play 	khelel	cpel	~-	бозӣ кардан 	খেলা khêla 
143	to float 	urnel			истодан 	ভাসা bhasha 
144	to flow 	shordyol			шӯридан 	বহা bôha 
145	to freeze 	pahosajvel			ях шудан 	জমা jôma 
146	to swell 	shulyol		🗸	бод кардан 	ফাঁপা phãpa 
147	sun 	kham	Komet? 𓋉  𓆎𓏏𓊖	!!	офтоб 	সূর্য shurjo 
148	moon 	shon	shine@	~<🗸	моҳ 	চাঁদ cãd 
149	star 	cherhaj		~<🗸	ситора 	তারা tara 
150	water 	paji	phadjr	~<🗸	об 	পানি/জল pani/jôl 
151	rain 	brishind			борон 	বৃষ্টি brishti 
152	river 	len			дарё 	নদী nodi 
153	lake 	baro paji	big water		кӯл 	পুকুর pukur 
154	sea 	marja	Maria™	🗸🗸	баҳр 	সমুদ্র shomudro 
155	salt 	lon	@len		намак 	নুন/লবন nun/lôbon 
156	stone 	barr	Pure barren!!	🗸🗸	санг 	পাথর pathor 
157	sand 	kishaj			рег 	বালি bali 
158	dust 	praxo			чанг 	ধুলো dhulo 
159	earth 	phuv		<<?	замин 	মাটি mati 
160	cloud 	noro			абр 	মেঘ megh 
161	fog 	muglya			тира 	কুয়াশা kuasha 
162	sky 	cheri	Shary aShar!!	🗸<	осмон 	আকাশ akash 
163	wind 	balval		<<	шамол 	বাতাস batash 
164	snow 	balval			барф 	বরফ bôrof 
165	ice 	paho			ях 	বরফ bôrof 
166	smoke 	thuv			дуд 	ধুঁয়ো dhũo 
167	fire 	jag			оташ 	আগুন agun 
168	ash 	ushar		🗸🗸	хокистар 	ছাই chai 
169	to burn 	phabol	phyrborn	🗸<	сӯхтан 	পোরা/জলা pora/jôla (intr) পোরানো/জালানো porano/jalano (tr) 
170	road 	drom		🗸🗸	роҳ 	রাস্তা/পথ rasta/pôth 
171	mountain 	plaj	plateau??	???	кӯҳ 	পাহাড় pahaṛ 
172	red 	lolo		~-	сурх 	লাল lal 
173	green 	zeleno	Selen = moon!		сабз 	সবুজ shobuj 
174	yellow 	galbeno	gelb	🗸🗸	зард 	হলুদ holud 
175	white 	parno			сафед 	সাদা shada 
176	black 	kalo		🗸🗸	сиёҳ 	কালো kalo 
177	night 	ratyi			шаб 	রাত্র/রাত ratro/rat 
178	day 	dyes		🗸🗸	рӯз 	দিন din 
179	year 	bersh		<<	сол 	বছর bôchor 
180	warm 	tato	Hot / therm	🗸~-	гарм 	গরম gôrom 
181	cold 	shudro	schauder≠chaud	🗸~-	сард 	ঠাণ্ডা ṭhanḍa 
182	full 	pherdo		~	пур 	ভরা bhôra 
183	new 	nyevo		🗸🗸	нав 	নতুন notun 
184	old 	phurano	gheron.to	🗸🗸- ½  	кӯҳна 	পুরানো purano 
185	good 	lasho		<<<	хуб 	ভালো bhalo 
186	bad 	nasul		<<<	бад 	খারাপ kharap 
187	rotten 	kerno	carne	🗸<	пӯсида 	পচা pôca 
188	dirty 	melalo			чиркин 	ময়লা môela 
189	straight 	vorta			рост 	সোজা shoja 
190	round 	oblo		<<	гирд 	গোল gol 
191	sharp (as a knife) 	kucime	cutty?		тез 	চোক্ষা cokkha 
192	dull (as a knife) 	bikucime			кунд 	ভোঁতা bhōm̐ta 
193	smooth 	samtalo	S-m-t.al	🗸!	ҳамвор 	মসৃণ masr̥ṇa 
194	wet 	kindyilo	≠kindle!?		тар 	ভেজা bheja 
