No. 	English 	Romani rromani ćhib	Tajik	IE		Kurdish (Central) 	Romani(Gypsie) 
1	I 	me	me	me	🗸🗸	ман 	আমি ami 
2	you (singular) 	tu	tu	tu	🗸🗸	ту 	তুই, তুমি, আপনি tui, tumi, apni 
3	he 	ov (masculine), oj (feminine)	voj	vohe  ≠vous 	~🗸? <<	вай 	সে she 
4	we 	ʷamen	ame	mir	~🗸🗸!	мо 	আমরা amra 
5	you (plural) 	tumen	tume	tu.um	🗸🗸	шумо 	তোরা, তোমরা, আপনারা tora, tomra, apnara 
6	they 	on	von	On <> em	~🗸	онҳо 	তারা tara   their!
7	this 	kado	kado	ceto	🗸	ин 	এ e 
8	that 	kodo	kodo	ceto	🗸	он 	ও o 
9	here 	kathe	kathe	ceth	🗸	инҷо 	এখান ekhan 
10	there 	kothe	kothe	ceth	🗸	онҷо 	ওখান okhan 
11	who 	kon	kon	qvn	🗸	кӣ 	কে ke 
12	what 	so	so	;) qo	;)	чӣ 	কী ki 
13	where 	kaj	kaj	ka*	🗸	куҷо 	কোথায়, কৈ kothae, koi 
14	when 	kana	kana	ka*	🗸	кай 	কখন/কবে kôkhon/kôbe 
15	how 	sar	sar	car~	🗸	чӣ тавр 	কেমন/কেমনে kêmon/kêmne 
16	not 	na	na	na	🗸🗸	не 	না/নি/নেই na/ni/nei 
17	all 	sa	sa	tousa? 𓎟𓎡𓏏	-	ҳама 	সব/সারা shôb/shara 
18	many 	but	but	polith?	<?	бисёр 	বহু/অনেক bohu/ônek 
19	some 	unyi	unyi	1i	🗸🗸	бархе 	কিছু kichu 
20	few 	cerra	cerra	karg cetera?	<?	андак 	অল্প ôlpo 
21	other 	aver	kaver	over Kother 𓎡𓏏 !? anner	</	дигар 	অন্য onno 
22	one 	jekh	jekh	jek	🗸🗸	як 	এক êk 
23	two 	duj	duj	dui	🗸🗸	ду 	দুই dui 
24	three 	trin	trin	tri	🗸🗸	се 	তিন tin 
25	four 	śtar	shtar	qtar	🗸	чаҳор 	চার car 
26	five 	panʒ	panzh	panj	🗸🗸	панҷ 	পাঁচ pãc 
