No. 	English 	Romanian/română	Other PIE	Very PIE!				
1	I 	eu	I, yo	🗸				
2	you  	tu	tu	🗸				
3	he 	el	el, il	🗸				
4	we 	noi	nous	🗸				
5	you  	voi	vous	🗸				
6	they 	ei	eux	🗸				
7	this 	acesta						
8	that 	acela						
9	here 	aici	ici	🗸				
10	there 	acolo	otco					
11	who 	cine	quin	🗸				
12	what 	ce	que	🗸				
13	where 	unde	ante, donde!	🗸				
14	when 	când	quand	🗸				
15	how 	cum	como	🗸				
16	not 	nu	no 	🗸				
17	all 	tot	tout	🗸				
18	many 	mulți		🗸				
19	some 	niște			neheden			
20	few 	puțin	Peut-un	🗸	;)			
21	other 	alt	alther	🗸				
22	one 	unu	un, one	🗸				
23	two 	doi	duo, zwei	🗸				
24	three 	trei	drei	🗸				
25	four 	patru	qvatro	🗸	!			
26	five 	cinci	cinq	🗸				
27	big 	mare	much, more	🗸				
28	long 	lung	long	🗸				
29	wide 	larg	large	🗸				
30	thick 	gros	groß	🗸				
31	heavy 	greu	^^	!?				
32	small 	mic	micro	🗸				
33	short 	scurt	skurz	🗸				
34	narrow 	strâmt						
35	thin 	subțire, slab						
36	woman 	femeie, muiere	femine, muer	🗸	SPAN			
37	man (adult male) 	bărbat	barbar, vir, wir	🗸	!			
38	man (human being) 	om	homme	🗸				
39	child 	copil	Fil, Cphilad > child	🗸	!!			
40	wife 	soție						
41	husband 	soț						
42	mother 	mamă		🗸				
43	father 	tată	dady	🗸				
44	animal 	animal		🗸				
45	fish 	pește	pesh	🗸	pest!			
46	bird 	pasăre	busard, pa.tyr@Sem	!				
47	dog 	câine	chien	🗸	<			
48	louse 	păduche						
49	snake 	șarpe	serpent	🗸				
50	worm 	vierme	worm	🗸				
51	tree 	arbore, copac	boreal! Arboretum	🗸	<			
52	forest 	pădure	pasture?		<<			
53	stick 	băț	bat	🗸				
54	fruit 	fruct		🗸				
55	seed 	sămânță	germen	🗸?	<<<<<			
56	leaf 	frunză	Pflanze <>					
57	root 	rădăcină	radischen	🗸	< ;)			
58	bark (of a tree) 	scoarță	scar, kar!	🗸	-> Charta!			
59	flower 	floare		🗸	oa=ova!			
60	grass 	iarbă	hierba	🗸				
61	rope 	sfoară, frânghie, coardă	cordula	🗸				
62	skin 	piele		🗸				
63	meat 	carne		🗸				
64	blood 	sânge		🗸				
65	bone 	os		🗸				
66	fat (noun) 	grăsime	Gross ;) groß	🗸				
67	egg 	ou	oeuve, eiyg	🗸				
68	horn 	corn		🗸				
69	tail 	coadă	cordata	🗸	coat!!	<		
70	feather 	pană, fulg	flug, 	🗸	<<			
71	hair 	păr	phair, fur vs shair!	🗸	ps!			
72	head 	cap	cephal Kopf	🗸				
73	ear 	ureche		🗸	!!!			
74	eye 	ochi	ogy	🗸				
75	nose 	nas		🗸				
76	mouth 	gură	𓂋 gueule	!!!!	<<<<<			
77	tooth 	dinte	dent	🗸				
78	tongue (organ) 	limbă	lingua	!				
79	fingernail 	unghie	unguents	<!				
80	foot 	laba piciorului	@lab=leg	<!				
81	leg 	picior	<pod	<!				
82	knee 	genunchi	~~	<!				
83	hand 	mână		🗸				
84	wing 	aripă			<<			
85	belly 	burtă, vintre, foale, pântece						
86	guts 	măruntaie						
87	neck 	gât						
88	back 	spate			<<			
89	breast 	piept						
90	heart 	inimă			<> animal			
91	liver 	ficat, mai						
92	to drink 	a bea	boi[re]	🗸				
93	to eat 	a mânca	mange[r]	🗸				
94	to bite 	a mușca	mouth[er]	🗸				
95	to suck 	a suge	suck[ier]	🗸				
96	to spit 	a scuipa		~				
97	to vomit 	a borî, a vomita, a vărsa		🗸				
98	to blow 	a sufla						
99	to breathe 	a răsufla, a respira		🗸				
100	to laugh 	a râde	ridicule	🗸	… <?			
101	to see 	a vedea	video, wisehen	🗸				
102	to hear 	a auzi		~	<<			
103	to know 	a ști		<<				
104	to think 	a cugeta, a se gândi			;)			
105	to smell 	a mirosi						
106	to fear 	a se teme	tremble@lat	🗸				
107	to sleep 	a dormi	dormi[re]	🗸				
108	to live 	a trăi		<??				
109	to die 	a muri		🗸				
110	to kill 	a ucide, a omorî	sui.cide	🗸				
111	to fight 	a lupta						
112	to hunt 	a vâna	HUN/Uralic	<<				
