№ 	English 	Arabic 	Romanized Arabic 	Root	Aryan	🗸	Maltese 	Hebrew 	Romanized Hebrew 	Egyptian r(ꜣ) n(j) kmt	Syriac 	Romanized Syriac 	Romanized Akkadian 	Ge'ez 	Romanized Ge'ez 	Maltese 		Romanized Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali				
1	I 	أنا‎ 	ʾána 	Ante-ai	AI, anei!	🗸	jiena, jien 	אני‎, אנכי‎ 	ʾani, ʾânóxi 	jnk	ܐܢܐ‎ 	ʾenā 	anāku 	አነ 	ʾana 	jiena, jien 		anok 	nəšš 	níi 	ana, na 	ani				
2	you 	أنت‎ ,أنت‎ 	ʾanta m, ʾanti f 	AnTe-he	TA	🗸	inti, int 	אתה‎, את‎ 	ʾattâ m, ʾat f 	OE: ṯwt (m.), ṯmt (f.) 	ܐܢܬ‎ m, ܐܢܬܝ‎ f 	ʾat m, ʾat(ti) f 	atta m, atti f 	አንተ, አንቲ 	ʾanta m, ʾanti f 	inti, int 		ntok m, nto f 	šəkk, šəmm 	kái, kée 	si 	adi				
3	he 	هو‎ 	húwa 	whowe	(s)he who! Su!	🗸	huwa, hu 	הוא 	hu 	OE: swt (m.), stt (f.) 	ܗܘ‎ 	hu 	šū 	ውእቱ 	wəʾətu 	huwa, hu 		ntof m, ntos f 	nətta m, nəttaŧ f 	shíi m, ítá f 	isa 	isa m, iyaf				
4	we 	نحن‎ 	náħnu 	Ante-nou	nous	🗸	aħna 	אנחנו 	ʾanaħnu 	jnn	ܚܢܢ‎, ܐܢܚܢܢ‎ 	ħnan, (ʾ)naħnan 	nīnu 	ንሕነ 	nəħna 	aħna 		anon 	nəššin 	múu 	nu 	inna (incl.), aanna (excl.)				
5	you 	أنتم‎ m, أنتن‎ f, أنتما‎ m/f dual 	ʾántum m, ʾantunna f, ʾantumā m/f dual 	Ante-tun	thine	🗸	intom 	אתם, אתן 	ʾattem m, ʾatten f 	ntṯn	ܐܢܬܘܢ‎ m, ܐܢܬܝܢ‎ f 	ʾattōn m, ʾattēn f 	attunu m, attina f 	አንትሙ, አንትን 	ʾantəmu m, ʾantən f 	intom 		ntōtn 	kənniw, kənnint 	kúu 	isin 	idin				
6	they 	هم‎ m, هن‎f, هما‎ m/f dual 	hum m, húnna f, humā m/f dual 	'hem	them!	🗸	huma 	הם‎, הן‎ 	hém m, hén f 	ntsn	ܗܢܘܢ‎ m, ܗܢܝܢ‎ f 	hennōn m, hennēn f 	šunu m, šina f 	እሙንቱ, እማንቱ 	ʾəmmuntu m, ʾəmmāntu f 	huma 		ntou 	nihni, nihənti 	súu 	isaan 	iya				
7	this 	هذا‎ m, هذﻩ‎ f 	hāðā m, hāðihi f 	thadan	this that dieser da	🗸	dan m, din f 	הזה‎ ,זה ,זו, זאת 	ze m, zó, zóθ f 	OE: pj, pw, pn (m. det.), tj, tw, tn (f. det.), nw, nn (pron.) 	ܗܢܐ‎ m, ܗܕܐ‎ f 	hānā m, hāðē f 	annû 	ዝ-, ዝንቱ, ዛ/ዛቲ 	zə-, zəntu m, zā/zāti f 	dan m, din f 	den	Err:509	#NAME?	wánnàn 	kana 	kan m, tan m				
8	that 	ذلك‎ m, ﺫﺍﻙ‎ m, تلك‎ f, تيك‎ 	ðālika m, ðāka m, tílka f, tika f 	daica	dieser	~	dak m, dik f 	ההוא‎, ההיא‎ 	hahu m, hahi f 	OE: pf (m. det.), tf (f. det.), nf (pron.) 	ܗܘ‎ m, ܗܝ‎ f 	hāw m, hāy f 	šū, ullû 	ዝክቱ 	zəktu 	dak m, dik f 	dac das	Err:509	Err:509	wáncàn 	san 	kaas m, taas f				
9	here 	هنا‎ 	hunā 		!		hemm 	הנה‎ ,פה 	pó, hinné 	ꜥn, ꜥꜣ	ܗܪܟܐ‎ 	harkā 	annânu 	ዘየ 	zaya 	hemm 	hin jener			nan 		halkan				
10	there 	هناك‎, هنالك‎ 	hunāka, hunālika 			½ 	hawn 	שם 	šâm 	ꜥf	ܬܡܢ‎ 	tammān 		ህየ 	həyya 	hawn 	hierna			can 		halkaas				
11	who 	من‎ 	man 	𓅓	~man ma.un		min 	מי 	mi 	mj	ܡܢ‎ 	man 	mannu 	መኑ 	mannu 	min 				wanda 	eeññu 					
12	what 	ما‎, ماذا‎ 	mā, māðā 	𓅓 mwhat	what matter 	~!	xi 	מה 	ma 	mj, jḫ, jšst	ܡܐ‎, ܡܢ‎, ܡܢܐ‎, ܡܘܢ‎ 	mā, mān, mānā, mōn 	mīnu 	ምንት 	mənt 	xi 	qui ment--			me 	maal 	maxaa				
13	where 	أين‎ 	ʾáyna 	In-near	in, an, near	~	fejn 	איפה, אנה 	ʾéfo (where is), ânâ (where to) 	ṯnj	ܐܝܟܐ‎ 	ʾaykā 		አይቴ 	ʾayte 	fejn 	whei* àr, in, to !			inaa 						
14	when 	متى‎ 	matā 	ma time	what matter time	~	meta 	מתי 	mâθay 	zy nw	ܐܡܬܝ‎ 	ʾemmaθ(i) 		ሚጊዜ 	mi-gize 	meta 	ma.taim			yaushe 		markee				
15	how 	كيف‎ 	káyfa 	qhwi	How / wie		kif 	איך‎ 	éx 	mj mj, mj jḫ	ܐܝܟܢ‎, ܐܝܟܢܐ‎ 	ʾaykan, ʾaykannā 	ana mīni, ammīni 	እፎ 	ʾəffo 	kif 	quev qhow ++ qwie		yaya 							
16	not 	ما‎, لا‎, لم‎ 	mā (past), lā (present), lam (perfect) 	lama mnila	mo~lo ~ nulla	🗸 ~	ma 	לא, אל 	ló, al 	OE: nj 	ܠܐ‎ 	lā 	ul, lā 	ኢ 	ʾi 	ma 	mo			ba 	ii'ii 	ma				
17	all 	كل‎ 	kull 	kalle	all	🗸	kollu m, kollha f/pl 	כל 	kól 	nb	ܟܠ‎ 	kol 	kalû 	ኲል 	kʷəll 	kollu m, kollha f/pl 	kall		marra 	dúkà 	hundaa 	kulli				
18	many 	كثير‎ 	kaθīr 		sehr	~	ħafna 	הרבה‎ 	harbé 	ꜥšꜣ	ܣܓܝ‎ 	saggi 	mādu 	ብዙሕ 	bəzuħ 	ħafna 		naše 		yaya 		badan				
19	some 	بعض‎, كم‎ 	baʿḍ, kam 	quame	Some ++	🗸		כמה‎ 	kammâ 	nhj	ܟܡܐ‎ 	kmā 		ስፍን 	səfn 		səfvn~some			want 	gar(i) 	qaar				
20	few 	قليل‎ 	qalīl 	culi	! / …?	🗸	ftit 	מעט‎ 	m'ʿaṭ 	nhj	ܒܨܝܪܐ‎ 	bṣīrā 		ኅዳጥ 	ḫədāṭ 	ftit 	ftit~few									
21	other 	آخر‎, أخرى‎, أخر‎ 	āxar m, ʾúxrā f, ʾúxar pl 	otxar	other	🗸	ieħor m, oħra f, oħrajn pl 	אחר‎, אחרת‎, אחרים‎, אחרות‎ 	ʾaħér m, ʾaħeret f, ʾaħérim m pl, ʾaħéróθ f pl 	ky	ܐܚܪܢܐ‎ m, ܐܚܪܬܐ‎ f 	(ʾa)ħrenā m, (ʾa)ħretā f 	šanû 	ካልእ 	kāləʾ 	ieħor m, oħra f, oħrajn pl 	-			wasu 	biraa 	kale				
22	one 	واحد‎, واحدة‎ 	wāħid m, wáħda f 	wone, herst		🗸	wieħed m, waħda f 	אחד‎, אחת‎ 	ʾeħâd m, ʾeħâθ f 	wꜥ	ܚܕ‎ m, ܚܕܐ‎ f 	ħað m, ħðā f 	ištēn m, ištēt f 	አሀዱ 	ʾaħadu 	wieħed m, waħda f 	wone/ eherst	ouai 	ižžən, ištən 	ɗáyá 	tokko 	hal				
23	two 	اثنان‎, اثنين‎, اثنتان‎, اثنتين‎ 	Tnīn, ʾiθnān, ʾiθnáyn m, ʾiθnatān, ʾiθnatáyn f 	twin! Secnon nin!	econ@turk	🗸	tnejn 	שנים‎, שתים‎ 	š'nayim m, š'tayim f 	snwj	ܬܪܝܢ‎ m, ܬܪܬܝܢ‎ f 	trén m, tartén f 	šinā m, šittā f 	ክልኤቱ 	kəlʾetu 	tnejn 	twin, sin!@EG!	ᵊsnau 	ŧnayən (< Ar.) 	bíyú 	lama 	laba	22 = tnīn w ʻšrīn (lit. two and twenty			
24	three 	ثلاثة‎, ثلاث‎ 	θalāθa m, θalāθ f 	θrāθ	third	🗸🗸	tlieta 	שלשה‎, שלש‎ 	š'lóšâ m, šâlóš f 	ḫmtw	ܬܠܬܐ‎ m, ܬܠܬ‎ f 	tlāθā m, tlāθ f 	šalāš m, šalāšat f 	ሠለስቱ 	śalastu 	tlieta 	tres	šomt 	ŧřaŧa (< Ar.) 	úkù 	sadii 	saddex				
25	four 	أربعة‎, اربع‎ 	ʾárbaʿa m, ʾárbaʿ f 	urbis, furt afur ᵊftou	fourbta!	🗸🗸	erbgħa 	ארבעה‎, ארבע‎ 	ʾarbâʿâ m, ʾarbaʿ f 	jfdw	ܐܪܒܥܐ‎ m, ܐܪܒܥ‎ f 	ʾarbʿā m, ʾarbaʿ f 	erbe m, erbet f 	አርበዕቱ 	ʾarbaʿtu 	erbgħa 	fourba!	ᵊftou 	āƀʕa (< Ar.) 	húɗú 	afur 	afar				
26	five 	خمسة‎, خمس‎ 	xámsa m, xams f 	phemtha	!!	🗸🗸	ħamsa 	חמשה‎, חמש‎ 	ħamiššâ m, ħâméš f 	djw	ܚܡܫܐ‎ m, ܚܡܫ‎ f 	ħamšā m, ħammeš f 	xamiš m, xamšat f 	ኀመስቱ 	ḫamastu 	ħamsa 	phemtha	ᵊtiou 	xəmsa (< Ar.) 	bìyár̃ 	šan 	shan				
27	big 	كبير‎ 	Kabīr  <> kaθīr 	ka’ar / birg	!	🗸	kbir 	גדול‎ 	gâðól 	ꜥꜣ	ܪܒܐ‎, ܟܒܝܪܐ‎ 	rabbā, kabbīrā 	rabûm 	ዐቢይ 	ʿabiyy 	kbir 	gai’ir gebirg gebail	noc 	aməqqr’an 	bàbbá 		wayn				
28	long 	طويل‎ 	ṭawīl 		tall	🗸🗸	twil 	אָרֹךְ‎ 	âróx 	ꜣw	ܐܪܝܟܐ‎ 	ʾarrīxā 		ነዋኅ 	nawwāḫ 	twil 	tall	šoi 	aziyrā 	mài tsáwóo 		dheer				
29	wide 	رحب‎, واسع‎ 	raħb, wāsiʿ 	waiðe	wide, rahab?	🗸🗸	wiesa' 	רחב‎ 	râħâv 	wsḫ	ܪܘܝܚܐ‎, ܦܬܝܐ‎ 	rwīxā, paθyā 		ርሑብ 	rəħub 	wiesa' 	waiðe				bal'aa, booccoo 	ballaadhan				
30	thick 	سميك‎ 	samīk 	thmik~thick		🗸	oħxon 	עב‎ 	ʿâv 	wmt	ܥܒܝܛܐ‎ 	ʿvīṭā 		ገዙፍ 	gazuf 	oħxon 						balaadhan				
31	heavy 	ثقيل‎ 	θaqīl 	tequila;)	tacho?		tqil 	כבד‎ 	kâvéð 	dns	ܢܛܝܠܐ‎, ܝܩܘܪܐ‎ 	nṭīlā, yaqqurā 	kabtu 	ከቡድ 	kabud 	tqil 		horš 	đqəř (< Ar.) 	mài náuyíi 		culus				
32	small 	صغير‎ 	ṣağīr 	ṣağīr! 	<<	🗸	żgħir 	קטן‎ 	qâṭân 	nḏs	ܙܥܘܪܐ‎ 	zʿōrā 	ṭexru 	ንኡስ 	nəʾus 	żgħir 				k'arami 		yar				
33	short 	قصير‎ 	qaṣīr 	qaṣīr 	<<	🗸	qasir 	קצר‎ 	qâṣâr 	ḥwꜥ	ܟܪܝܐ‎ 	karyā 	karû 	ኅጹር 	ḫəṣur 	qasir 				guntu 		gaaban				
34	narrow 	ضيق‎ 	ḍáyyiq 	dar@Turk	<> dürr	🗸	dejjaq 	צר‎ 	ṣâr 	gꜣw, ḥns	ܥܝܩܐ‎ 	ʿīqā 	qatnu 	ጸቢብ 	ṣabib 	dejjaq 				siriri 		ciriiri				
35	thin 	رقيق‎ 	raqīq 	reck?			rqiq 	דק‎ 	daq 	pꜣq	ܪܩܝܩܐ‎, ܛܠܝܚܐ‎ 	raqqīqā, ṭlīħā 	qatnu 	ቀጢን/ደቂቅ 	qaṭin/daqiq 	rqiq 						dhuuban				
36	woman 	امرأة‎ 	ʾimráʾa 	(w)himaran! Matra?	Ische	~<?	mara 	אשה‎ 	ʾiššâ 	zt, ḥmt	ܐܢܬܬܐ‎ 	ʾattəθā 	sinništu 	ብእሲት 	bəʾəsit 	mara 		te-shime (hiome) 	ŧamɣā’ŧ, ŧamət’t’uŧ 	màcè 		dumar				
37	man	رجل‎ 	rájul 	𓂋 𓍿 𓀀 𓁐 𓏥	Raul Rojas Recke	🗸™!!		איש‎ 			ܓܒܪܐ‎ 	p-hoout 	ʾiš 		rmṯ	gavrā 		zikaru 	ብእሲ 	bəʾəsi 	raġel 	p-hoout 	āyaz 	námíjì 		rag
38	human	انسان‎ 	ʾinsān 	andamn	insane@turk! ;_	™	p-rōme 	אדם‎, אנוש‎ 	ʾâðâm, ʾənōš 	ḥmt	ܐܢܫܐ‎ 	ʾənāšā 	awīlu 	ሰብእ/ሰብኣዊ 	sabəʾ/sabʾāwi 	bniedem 		P-rōme !! roman@copt	ƀnađəm (< Ar.) 	mùtûm 	nama 	nin				
39	child 	ولد‎ 	walad 	Wild chwilad lad	child, Töffel, …Balt?	+?	tifel 	ילד‎ 	yeleð 	hj	ܝܠܘܕܐ‎ 	yalluðā 	ṣexru, māru 	ሕፃን/ወልድ, ወለት 	ħəḍān/wald (m.), walatt (f.) 	tifel 		p-šēre 	aħənžia, řƀəz’z’ 	ɗáa, 'yáa 		cunug				
40	wife 	زوجة‎ 	záwja 	Zofe ~ wajfaz	!	~?	mara 	אשה‎ 	ʾiššâ 	mwt	ܐܢܬܬܐ‎ 	ʾattθā 	aššatu 	ብእሲት 	bəʾəsit 	mara 		te-shime (hiome) 	ŧamɣā’ŧ 	màatáa 		xaas				
41	husband 	بعل‎ 	baʿl 	Bal™ bull, fu!	fool?	™	żewġ 	בעל‎ 	baʿal 	jt	ܒܥܠܐ‎ 	baʿlā 	mutu 	ምት/በዓል 	mət/baʿāl 	żewġ 		p-hai, p-hoout 	āyaz 	míjìi 		nin				
42	mother 	أم‎ 	ʾumm 	mamme	mama	🗸	omm 	אם‎ 	ʾém 	ꜥwt (four-legged animals)	ܐܡܐ‎ 	ʾemmā 	ummu 	እም 	ʾəmm 	omm 		t-maau 	yəmma (< Ar.?) 	úwáa 		hooyo				
43	father 	أب‎ 	ʾab 	papa		🗸	missier 	אב‎ 	ʿâv 	rm	ܐܒܐ‎ 	ʾavā 	abu 	አብ 	ʾab 	missier 		p-eiōt (eiote) 	ƀaƀa (< Ar.?) 	ùbáa 		aabbe				
44	animal 	حيوان‎ 	ħayawān 	! huryvan™	 хайван (Pers.)	<<<	annimal 	חיה‎ 	ħayyâ 	ꜣpd	ܚܝܘܬܐ‎ 	ħayyuθā 		አርዌ 	ʾarwe 	annimal 		p-tᵊvnē (tᵊvnooue) 	lħayawan (< Ar.) 	dábbàa (< Ar.?) 		bahal				
45	fish 	سمكة‎ 	sámaka 	ṯzm!		?	ħuta 	דג‎ 	dâğ 	ṯzm	ܢܘܢܐ‎ 	nūnā 	nūnu 	ዓሣ 	ʿāśā 	ħuta 		p-tᵊvt 	asřəm 	kíifíi 	qurt'ummii 	kalluun, mallaay				
46	bird 	طير‎, عصفور‎ 	ṭayr, ʿaṣfūr 	tchir(p) Ghas-fur	Goosefur!! Tier@Taur	™ <<	għasfur 	צפור‎, עוף‎ 	ṣippór, ʿóf 	ktt	ܛܝܪܐ‎, ܨܦܪܐ‎ 	ṭayrā, ṣefrā 	iṣṣūru 	ዖፍ 	ʿof 	għasfur 		p-halēt (halate) 	ažđ’iđ’ 	tsúntsúu 	c'irrii 	shimbir				
47	dog 	كلب‎ 	kalb 		Kläff	🗸	kelb 	כלב‎ 	kelev 	ḥfꜣw (m.), ḥfꜣt (f.)	ܟܠܒܐ‎ 	kalbā 	kalbu 	ከልብ 	kalb 	kelb 		pe-(o)uhor (ouhoor) 	ayđi, aqzin, ahəggā 	kàrée 	saree 	ey				
48	louse 	قملة‎ 	qámla 	krumm.laus	<> camel?	🗸?		כנה‎ 	kinnâ 	fnṯ	ܩܠܡܐ‎ 	qalmā 	uplu 	ቍማል 	qʷəmāl 				ŧiššəšŧ (head), infā (body) 	kwàlkwátàa (head), kwàr̃kwátàa (body) 	c'inii, injiraan, injijii 	injir				
49	snake 	حنش‎ 	ħanaš 	hnathas	snake/natter	~🗸	serp 	נחש‎ 	nâħâš 	nht, šn	ܚܘܝܐ‎ 	ħewyā 	ṣēru 	አርዌ ምድር/ተመን 	ʾarwe mədr/taman 	serp 		t-hof (hvoui) 	fiɣā’, ŧařəfsa 	mácìijíi 	mar'ataa, bofa, šaawwisa 	mas				
50	worm 	دودة‎ 	dūda 	𓎛𓎛!?			dudu 	תולעת‎ 	tólaʿat 		ܬܘܠܥܐ‎ 	tawlʿā 		ዕፄ 	ʿəḍe 	dudu 		p-fᵊnt 	ađan n tmuaŧ 	tsúutsàa 		dixiri				
51	tree 	شجرة‎ 	šájara 	Theieree,caygpra	tree, cypres, Esche	🗸 ½ 	siġra 	עץ‎ 	ʿéṣ 	ḫt	ܐܝܠܢܐ‎ 	ʾilânā 	iṣu 	ዕጽ 	ʿəṣ 	siġra 		p-šēn 	ssəžžāŧ (< Ar.) 	ítàacée 	muka 	geed				
52	forest 	غابة‎ 	ğāba 	garba?	Arba ~ ʿāvā 	🗸 ½ 		יער‎ 	yaʿar 	dqr, jšdt	ܥܒܐ‎ 	ʿāvā 		ዖም 	ʿom 				řɣaƀəŧ (< Ar.) 	dáajìi 	baqqoo, daggala 	deegaan				
53	stick 	عصا‎ 	ʿaṣā 	qAst.am	Ast / Machetl	🗸 ½ 		מקל‎ 	maqqél 	prt	ܩܝܣܐ‎ 	qaysā 		ቀስተም/መቅርዕ 	qastam/maqrəʿ 					Sanada 		qori				
54	fruit 	فاكهة‎ 	fākiha 	Phgu-HR-ta	fruit! Feige! Pear	🗸🗸~	frott 	פרי‎ 	p'ri 	gꜣbt	ܦܐܪܐ‎ 	pérā 		ፍሬ 	fəré 	frott 		pe-(o)utah 	řxuđ’āŧ (< Ar.) 	’yár̃ ítàacée 	ija 	miro				
55	seed 	زرعة‎ 	zarʿa 	zarta	Saat	🗸 ½ 	żerriegħa 	זרע‎ 	zeraʿ 	wꜣb, mnyt	ܙܪܥܐ‎ 	zarʿā 	zēru 	ዘርአ/ብዝር 	zarʾ/bəzr 	żerriegħa 		evra, croc 	řħəbb (< Ar.) 	írìi (< Kanuri?) 	garii, saññii 					
56	leaf 	ورقة‎ 	wáraqa 	Werk!? Uruk?	Blatt-Werk	🗸½? 	werqa 	עלה‎ 	ʿâle 	qqtj	ܛܪܦܐ‎ 	ṭarpā 		ቈጽል 	qʷaṣl 	werqa 		cōve 	ŧifāšŧ 	gányée 	baala 	baal				
57	root 	جذر‎ 	jaðr 	Cherche ≠ sar	Jaðr ~~ root	🗸½? 	għerq 	שרש‎ 	šóreš 	ḥrrt, wnb	ܫܪܫܐ‎ 	šeršā 	šuršu 	ሥርው 	śərw 	għerq 		noune 	az’wā 	sâiwáa, jíijíyàa 		xidid				
58	bark 	قلف‎ 	qilf 	qoxra 	kara, kluft?--	~🗸	qoxra 	קלפה‎ 	q'lippâ 	ꜥnb	ܩܠܦܬܐ‎ 	qlāftā 		ቅርፍት 	qərəft 	qoxra 						qolof				
59	flower 	زهرة‎ 	záhra 	fhjrra	flower	~🗸	fjur 	פרח‎ 	perah 	nwḥ	ܗܒܒܐ‎ 	habbāvā 		ጽጌ 	ṣəgé 	fjur 		pe-hrēre 	ŧanəwwašŧ 	fùrée 	daraaraa 	ubax				
60	grass 	حشيش‎ 	ħašīš 	grhaschisch	grass	🗸🗸~	ħaxix 	דשא‎ 	dešeʾ 	jnm	ܓܠܐ‎ 	gillā 	dīšu 	ሣዕር 	śāʿər 	ħaxix 		p-sim 	arrƀiʕ (< Ar.) 	cìyáawàa 	marga 	caws				
61	rope 	حبل‎ 	ħabl 	𓎛!!	hroble	~🗸	ħabel 	חבל‎ 	ħevel 	jwf	ܚܒܠܐ‎ 	ħavlā 	eblu 	ሐብል 	ħabl 	ħabel 		nouh 	iǧǧi, ŧamriaŧ, asɣun 	ígíyàa 		xarig				
62	skin 	جلد‎ 	jild 		Gilde? Yellow?	<<	ġilda 	עור‎ 	ʿór 	znf	ܓܠܕܐ‎ 	geldā 	gildu 	ማእስ 	māʾs 	ġilda 		p-šaar 	ŧiřməšŧ 	fáatàa 	gogaa, ittillee 	jir				
63	meat 	لحم‎ 	laħm 	™	Lamm	™	laħam 	בשר‎ 	bâsâr 	qs	ܒܣܪܐ‎ 	besrā 		ሥጋ 	śəgā 	laħam 		p-af 	açsum 	náamàa 	foon 	hilib, so'				
64	blood 	دم‎ 	dam 	[red]™	™ <> Darm	~🗸	demm 	דם‎ 	dâm 	mrḥt	ܕܡܐ‎ 	dmā 	dāmu 	ደም 	dam 	demm 		pe-snof 	iđammən 	jíníi 	d'iiga 	dhiig				
65	bone 	عظم‎ 	ʿaẓm 	osteom		~🗸	għadma 	עצם‎ 	ʿeṣem 	swḥt	ܓܪܡܐ‎ 	garmā 	eṣemtu 	አፅም 	ʿaḍm 	għadma 		p-kas (kaas) 	iɣəss 	ƙàshíi 	lafee 	laf				
66	fat 	دهن‎ 	duhn 	Dahnā > šumnā	dsahne!	~🗸🗸		חלב‎ 	ħélev 	ꜥb, ḥnwt, db	ܕܗܢܐ‎, ܫܘܡܢܐ‎ 	dahnā, šumnā 	šamnu 	መሥብሕ 	maśbəħ 				ŧađunt 	máiƙòo 	moora 	baruur				
67	egg 	بيضة‎ 	báyḍa 	beyyde	<<	~🗸	bajda 	ביצה‎ 	béṣâ 	ḫbzt, sd	ܒܝܥܬܐ‎ 	béʿθâ 		አንቆቅሆ 	anqoqəho 	bajda 		t-soouhe 	ŧaməǧǧač 	ƙwái 	killee, bup'p'aa 	ukun, beed				
68	horn 	قرن‎ 	qurn 			🗸🗸	qarn 	קרן‎ 	qeren 	šwt	ܩܪܢܐ‎ 	qarnā 	qarnu 	ቀርን 	qarn 	qarn 		tap 	išš 	ƙàhóo 	gaafa 	gees				
69	tail 	ذنب‎ 	ðánab 				denb 	זנב‎ 	zânâv 	šnj	ܕܘܢܒܐ‎ 	dunbā 	zibbatu 	ዘባን 	zabān 	denb 		sat 	ŧanəwwāŧ (< Ar.?) 	wútsíyàa 	eegee 	dabo				
70	feather 	ريشة‎ 	rīsha 	<> šaʿr = shair	@res	<<	rixa 	נוצה‎ 	nóṣâ 	tp, later ḏꜣḏꜣ	ܐܒܪܐ‎ 	ʾevrā 		ጸጒር 	ṣagʷr 	rixa 			afā 	gáashìi 		baal				
71	hair 	شعر‎ 	šaʿr 	shaar	Scher <> Haar ++	🗸🗸	xagħar 	שער‎ 	séʿâr 	msḏr	ܣܥܪܐ‎ 	saʿrā 	šārtu 	ጸጕር 	ṣagʷr 	xagħar 		p-fō 	z’ət’t’u, ašəwwaf 	gáashìi 		timo				
72	head 	رأس‎ 	raʾs 		<> ration	~🗸	ras 	ראש‎ 	róš 	jrt	ܪܝܫܐ‎ 	réšā 	rēšu 	ርእስ 	rəʾəs 	ras 		t-ape (apēue), jō 	aqəyyua 	kâi 	mataa 	madax				
73	ear 	أذن‎ 	ʾúðun 	SDm <> hear!	Widna <> wissen!?	<<<	widna 	אזן‎ 	ʾózen 	fnḏ	ܐܕܢܐ‎ 	ʾeðnā 	uznu 	እዝን 	ʾəzn 	widna 		p-maaje 	aməz’z’uɣ, aməžžun 	kûnnée 	gurra 	dheg				
74	eye 	عين‎ 	ʿayn 	mvoygayn!	™	🗸🗸	għajn 	עין‎ 	ʿayin 	r(ꜣ)	ܥܝܢܐ‎ 	ʿaynā 	īnu 	ዐይን 	ʿayn 	għajn 		p-val, eiat 	ŧit’t’ 	ídòo 	ija 	indho				
75	nose 	انف‎ 	ʾanf 	anofhe	nose schniepf nieser	~🗸	mnieħer 	אף‎ 	af 	jbḥ, nḥḏt	ܢܚܝܪܐ‎ 	nḥīrā 	appu 	አንፍ 	anf 	mnieħer 		šai, šant 	ŧinzā 	háncìi 	fuññaan 	san				
