		Kush @ Afro-Asiatic !??	NOT PIE! but some known loans	
1 	I 	aniga 	an ego	
2 	you (singular) 	adiga 	a dug, djug	
3 	he 	asaga 	a su / she	
4 	we 	anaga 	a nougs	
5 	you (plural) 	idinka 	a Dein.que	
6 	they 	ayaga 	≠ einige	
7 	this 	-kan 	-con den	
8 	that 	-kaas 	-quas -quod	
9 	here 	inta 	ante, inda	
10 	there 	xaggaas 		
11 	who 	yaa kee 	ja qui?	
12 	what 	maxaa 	ma.qua	
13 	where 	xaggee 		
14 	when 	markee 	ma.que	
15 	how 	see 	shei? shenme?	
16 	not 	ma- 	mei-	√
17 	all 	dan 	tout.un -	-
18 	many 	badan 	pota <> poly	?
19 	some 	xoogaa 		
20 	few 	wax yer 	weniger	
21 	other 	kale 	𓎟~𓎡𓏏	
22 	one 	kow hal 	ekwon	
23 	two 	labo 	la.bi2	
24 	three 	saddex 	san-deux 3>2	
25 	four 	afar 	a'four	
26 	five 	shan 	quin'	
27 	big 	weyn 	weit vane	
28 	long 	dheer 	dar 大 da'er ~ дилги dilgi 	
29 	wide 	balaar 	bold-	
30 	thick 	qardan jinaad qanweyn 		
31 	heavy 	culeys 		
32 	small 	yar 	guar குறு kuru	
33 	short 	gaaban 	♡	
34 	narrow 	ciriiri 	<> kiri : small	
35 	thin 	caato 	cut	
36 	woman 	naag 	naü	
37 	man (adult male) 	nin 	! nán 男	
38 	man (human being) 	beni adam 	√	OK
39 	child 	cunug 	𓋴𓈖𓐍𓈖𓀔 genes	
40 	wife 	xaas 	kiss;) Schatz	
41 	husband 	say 	saïd	
42 	mother 	hooyo 	oyi aya @ Turk 母  はは haha ≠ нана úwáa  𐌰𐌹𐌸𐌴𐌹	
43 	father 	aabo aabe 	abe	
44 	animal 	xoolo 	<> tail	
45 	fish 	malay 	𓈗𓃡!™	
46 	bird 	shimbir 	singbird ♡	
47 	dog 	ay 	"ခွေး 	hkwei > ay < ала ɑlɑ < 𒌨 ur	 "	
48 	louse 	cinjir 	cringe <~	
49 	snake 	mas 	𒈲 MUŠ < могой mogoi < marsh	
50 	worm 	dirxi dhase 		
51 	tree 	geed 	𓋴𓆭 GIŠ	
52 	forest 	duur 	trees	
53 	stick 	ul 	Keule	
54 	fruit 	miro furuut 	𓂋 fruit	
55 	seed 	miro 	𓂋	
56 	leaf 	caleen 	geleafen	
57 	root 	sal xidid 		
