Family		Fur	Central Sudanic	Saharan	Eastern Sudanic	Eastern Sudanic	Eastern Sudanic	Eastern Sudanic	Berta	Kunama
Language		Fur	p-Lendu-Ngiti	p-Kanuri	p-SE Surmic	Nara	p-Tama	p-S Nilotic	p-Berta	p-Kunama
I	iko moi we	ka	*mā	*wu	*an-ɛ	ag	*wa	*a-ni ₁	*àlì	*a-ba
you (singular)	sie, ni	ʓi	*ɲī	*ní	*in-e	iŋa	*i ₁	*i-ɲ ₁	*ŋgo	*e-na
we	iko moi we	k-i	*mǎ	*y₁-andi	*a-g- ₁	a-gg-a ₁	*wa-(y)i	*ɛ-ɕa ₁	*=/a/ŋ/a/	*á-; *kì-
what	qua	ka	*=ɗū	*à=bí	*oŋ	nda (←ende=ha)	*num	*ne ₁	*naN	*ay
who	qui	ki	*=ɗī; *íē	*ndú	*nɪnɛ ₁	na(-n) ₁	*na ₁	*ŋo ~ *ŋʌ ₁	*nda	*no
not	a¬pas no	a... ba	*ì=nz-	*bâ; *ni	*ŋa ₃; *-oŋ	ka ₄; ma ₂	*-to	*ma ₂	—	*-m-; *-n-
one	X	tok	*aɗɪ ~ *aɗ̣ɪ	*tilo	*ɗo(-)ne ₁	doko	*ku- ~ *ka- ₃	*a=kɪ ₃	*ɗuɠu-	*él-
two	X	aw	*ārʸɔ̄	*(ì)ndí	*raman ₂	ari(-ga) ₁	*wari ₁	*ʌ=ʀi-ɛŋ ₁	*kolaŋ	*baːr-
