 № 	English 	Chuvash 	Aryan		Turkmen 	Yakut 	Tuvan 	Khakas 	Standard Altai 	Tatar 	Bashkir 	Karachay-Balkar 	Kazakh 	Kyrgyz 	Uzbek 	Uyghur 	Turkmen 	Azerbaijani 	Turkish 	Crimean Tatar 	Karakhanid
1	I 	эпĕ 	Mein 🗸	🗸🗸	men 	мин 	мен 	мин 	мен 	мин 	мин 	мен 	мен 	мен 	men 	مەن‎ (men) 	men 	mən 	ben 	men 	مَنْ‎ (men)
2	you (singular) 	эсĕ 	Sie’ni 🗸 Thy🗸 Seine Hoheit 🗸	🗸	sen 	эн 	сен 	син 	сен 	син 	һин 	сен 	сен, сіз (polite) 	сен, сиз (polite) 	sen 	سەن‎ (sen) 	sen 	sən 	sen 	sen 	سَنْ‎ (sen)
3	he 	вăл 	wer, er, el, kehe! 🗸	🗸	ol 	кини 	ол 	ол 	ол 	ул 	ул 	ол 	ол 	ал 	u 	ئۇ‎ (u) 	ol 	o 	o 	o 	اُلْ‎ (ol)
4	we 	эпир 	we’s, wir пир 🗸	🗸	biz 	биһиги 	бис 	пiс 	бис 	без 	беҙ 	биз 	бiз 	биз 	biz 	بىز‎ (biz) 	biz 	biz 	biz 	biz 	بِزْ‎ (biz)
5	you (plural) 	эсир 	cyour thy, Sies		siz 	эһиги 	силер 	сiрер 	слер 	сез 	һеҙ 	сиз 	сендер, сiздер (polite) 	силер, сиздер (polite) 	siz, sizlar, senlar 	سىز‎ (siz), سىلەر‎ (siler), سىزلەر‎ (sizler), سەنلەر‎ (senler), siz 	siz 	siz 	siz 	سِزْ‎ (siz)	
6	they 	вĕсем 	al’leur	½	olar 	кинилэр 	олар 	олар 	олор 	алар 	улар 	ала 	олар 	алар 	ular 	ئۇلار‎ (ular) 	olar 	onlar 	onlar 	olar 	اُلارْ‎ (olar)
7	this 	ку 	ce, py! 🗸	🗸	bu 	бу 	бо 	пу 	бу 	бу 	был 	бу 	бұл 	бу, бул 	bu 	بۇ‎ (bu), ماۋۇ‎ (mawu) 	bu 	bu 	bu 	bu 	بُو‎ (bū)
8	that 	лешĕ, çавă, вăл 	ce, al << şol !	🗸	şu, şol 	ол; сол (the very that) 	ол 	ол 	ол 	теге, шул 	теге 	ол 	сол 	тиги, ошол 	shu, o'sha 	ئۇ‎ (u), ئاۋۇ‎ (awu), شۇ‎ (shu) 	şu, şol 	o 	şu; о 	şu; о 	اُلْ‎ (ol)
9	here 	кунта 	ce da		şu taýda, onda, bäri 	манна 	мында, бо черде 	мында 	мында 	монда, биредә, бу җирдә 	бында 	былайда, мында 	мұнда 	бул жерде, мында 	bu yerda, bu yoqda, bu yonda 	بۇندا‎ (bunda), بۇ يەردە‎ (bu yerde), مايەردە‎ (mayerde), مانا‎ (mana) 	şu taýda, onda, bäri 	burada 	burada, bura, burası 	mında 	مُنْدا‎ (mundā)
10	there 	унта, çавăнта, лере 	at… au hereda		ol ýerde, o taýda 	онно 	ында 	анда 	анда 	тегендә, анда, шул җирдә 	тегендә 	алайда, анда 	онда, анда 	тиги жакта, тиги жерде, анда 	u yerda, u yoqda, u yonda 	ئۇندا‎ (unda), ئۇ يەردە‎ (u yerde) 	ol ýerde, o taýda 	orada 	orada, ora, orası 	anda 	اَنْدا‎ (andā)
11	who 	кам 	Quem! 🗸	🗸	kim 	ким 	кым 	кем 	кем 	кем 	кем 	ким 	кiм 	ким 	kim 	كىم‎ (kim) 	kim 	kim 	kim 	kim 	كِمْ‎ (kim)
12	what 	мĕн 	nam: nämlich	½	näme 	туох 	чүү (Khalkha) 	ниме 	неме, не 	нәрсә, ни 	нимә 	не 	не 	эмне 	nima, na 	نېمە‎ (nëme) 	näme 	nə 	ne 	ne 	نا‎ (nē), ناما‎ (nemē), ناكُو‎ (negǖ), قَيُو‎ (qayū)
13	where 	ăçта 	que.here! Near.da	🗸	nirede 	ханна 	кайда 	хайда 	кайда 	кайда 	ҡайҙа 	къайда 	қайда 	кайда, кана 	qayerda, qayda 	نەدە‎ (nede), قەيەردە‎ (qeyerde), قەيەر‎ (qeyer) 	nirede 	harada 	nerede, hani 	qayda 	قَنْدا‎ (qandā), قَيُودا‎ (qayūdā), قَنٖى‎ (qanï̄)
14	when 	хăçан 	que.han ~ quand!	🗸🗸	haçan 	хаһан 	кажан 	хаӌан 	качан 	кайчан 	ҡасан 	къачан 	қашан 	качан 	qachon 	قاچان‎ (qachan), قانچىدە‎ (qanchide), نەچچىدە‎ (nechchide), haçan 	haçan 	ne zaman; kaç; kaçta (what time, hour) 	qaçan 	قَجانْ‎ (qačan)	
15	how 	мĕнле 	que.men ~ comme!		necə, nətər 	хайдах 	кандыг 	хайди 	кандый 	ничек 	нисек 	къалай 	қалай, нешік 	кандай, нечик 	qalay, qanday, nechik 	قانداق‎ (qandaq), nähili, niçik; häýsy (which) 	necə, nətər 	nasıl 	nasıl 	نَتَكْ‎ (neteg)	
