 № 	English 	Turkmen 	Aryan		Kazakh 	Chuvash 	Yakut 	Tuvan 	Khakas 	Standard Altai 	Tatar 	Bashkir 	Karachay-Balkar 	Kazakh 	Kyrgyz 	Uzbek 	Uyghur 		Turkmen 	Azerbaijani 	Turkish 	Crimean Tatar 	Karakhanid
1	I 	men 	Mein 🗸	🗸🗸	мен 	эпĕ 	мин 	мен 	мин 	мен 	мин 	мин 	мен 	мен 	мен 	men 	مەن‎ (men) 		men 	mən 	ben 	men 	مَنْ‎ (men)
2	you (singular) 	sen 	Sie’ni 🗸 Thy🗸 Seine Hoheit 🗸	🗸	сен, сіз (polite) 	эсĕ 	эн 	сен 	син 	сен 	син 	һин 	сен 	сен, сіз (polite) 	сен, сиз (polite) 	sen 	سەن‎ (sen) 		sen 	sən 	sen 	sen 	سَنْ‎ (sen)
3	he 	ol 	wer, er, el, kehe! 🗸	🗸	ол 	вăл 	кини 	ол 	ол 	ол 	ул 	ул 	ол 	ол 	ал 	u 	ئۇ‎ (u) 		ol 	o 	o 	o 	اُلْ‎ (ol)
4	we 	biz 	we’s, wir пир 🗸	🗸	бiз 	эпир 	биһиги 	бис 	пiс 	бис 	без 	беҙ 	биз 	бiз 	биз 	biz 	بىز‎ (biz) 		biz 	biz 	biz 	biz 	بِزْ‎ (biz)
5	you (plural) 	siz 	Sies	🗸	сендер, сiздер (polite) 	эсир 	эһиги 	силер 	сiрер 	слер 	сез 	һеҙ 	сиз 	сендер, сiздер (polite) 	силер, сиздер (polite) 	siz, sizlar, senlar 	سىز‎ (siz), سىلەر‎ (siler), سىزلەر‎ (sizler), سەنلەر‎ (senler), siz 		siz 	siz 	siz 	سِزْ‎ (siz)	
6	they 	olar 	’leur	🗸 ½ 	олар 	вĕсем 	кинилэр 	олар 	олар 	олор 	алар 	улар 	ала 	олар 	алар 	ular 	ئۇلار‎ (ular) 		olar 	onlar 	onlar 	olar 	اُلارْ‎ (olar)
7	this 	bu 	ce, py! 🗸	🗸	бұл 	ку 	бу 	бо 	пу 	бу 	бу 	был 	бу 	бұл 	бу, бул 	bu 	بۇ‎ (bu), ماۋۇ‎ (mawu) 		bu 	bu 	bu 	bu 	بُو‎ (bū)
8	that 	şu, şol 	ce, al << şol !	🗸	сол 	лешĕ, çавă, вăл 	ол; сол (the very that) 	ол 	ол 	ол 	теге, шул 	теге 	ол 	сол 	тиги, ошол 	shu, o'sha 	ئۇ‎ (u), ئاۋۇ‎ (awu), شۇ‎ (shu) 		şu, şol 	o 	şu; о 	şu; о 	اُلْ‎ (ol)
9	here 	şu taýda, onda, bäri 	ce da, in da, bhere	🗸	мұнда 	кунта 	манна 	мында, бо черде 	мында 	мында 	монда, биредә, бу җирдә 	бында 	былайда, мында 	мұнда 	бул жерде, мында 	bu yerda, bu yoqda, bu yonda 	بۇندا‎ (bunda), بۇ يەردە‎ (bu yerde), مايەردە‎ (mayerde), مانا‎ (mana) 		şu taýda, onda, bäri 	burada 	burada, bura, burası 	mında 	مُنْدا‎ (mundā)
