 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
1	I 	నేను (nēnu) 	mein		நான் (nāṉ), அடியேன் (aṭiyēṉ) (servile; archaic; from foot+I) 	ഞാൻ (ñān), അടിയൻ (aṭiyan) (servile; archaic; from foot+I) 	ನಾನು (nānu) 	ای‎ (/iː/)			
2	you (singular) 	నువ్వు (nuvvu), నీవు (nīvu) 	ni		நீ (/niː/), நீர் (/niːr/) தாங்கள் (/t̪aːŋkaɭ/) (polite, formal; from self+plural) 	നീ (/n̪iː/), താൻ (/t̪aːn/) (polite, familiar; from self), താങ്കൾ (/t̪aːŋkaɭ/) (polite, formal; from self+plural), അങ്ങ് (/aŋŋɨ̆/) (honorific; archaic; from there) നമ്മൾ (/n̪ammaɭ/) (honorific; from inclusive we) 	ನೀನು (/niːnu/) 	نی‎ (/niː/)			
3	he 	అతడు (ataḍu), అతను (atanu), వాడు (vāḍu), వారు (vāru) 	vaha		அவன் (avaṉ)(distal), இவன் (/iʋan/) (proximal), அந்த ஆள் (/antha aːɭ/) (distal), இந்த ஆள் (/intha aːɭ/) (proximal), 	അവൻ (/aʋan/) (distal), ഇവൻ (/iʋan/) (proximal), അയാൾ (/ajaːɭ/) (distal), ഇയാൾ (/ijaːɭ/) (proximal), അങ്ങേര് (/aŋŋeːɾɨ̆/) (distal; colloquial), ഇങ്ങേര് (/iŋŋeːɾɨ̆/) (proximal; colloquial) 	ಅವನು (avanu) 	او‎ (ō)			
4	we 	మనము (manamu) (inclusive), మేము (mēmu) (exclusive) 	man		நாம் (nām)(inclusive), நாங்கள் (nāṅkaḷ)(exclusive) 	നമ്മൾ (/n̪ammaɭ/) (inclusive), ഞങ്ങൾ (/ɲaŋŋaɭ/) (exclusive), നാം (/n̪aːm/) 	ನಾವು (nāvu) 	نن‎ (nan)			
5	you (plural) 	మీరు (/miːru/) (plural/honorific) తమరు (/tamaru/) (plural/honorific) நீங்கள் (nīṅkaḷ) 	tam		നിങ്ങൾ (/n̪iŋŋaɭ/) 	ನೀವು (neevu) 	نُم‎ (num)				
6	they 	వాళ్ళు (vāḷḷu) (personal, plural), అవి (avi) 	valui		அவர்கள் (avarkaḷ) 	അവർ (/aʋar/) (distal), ഇവർ (/iʋar/) (proximal), അവന്മാർ (/aʋanmaːr/) (distal; masc.), ഇവന്മാർ (/iʋanmaːr/) (proximal; masc.), അവളുമ്മാർ (/aʋaɭummaːr/) (distal; fem.), ഇവളുമ്മാർ (/iʋaɭummaːr/) (proximal; fem.), അവറ്റകൾ (/aʋarrakaɭ/) (distal), ഇവറ്റകൾ (/iʋarrakaɭ/) (proximal) 	ಅವರು (avaru)				
7	this 	ఇది (idi) 	dit		இது (itu) 	ഈ (/iː/), ഇ- (/i-/), ഇത് (/it̪ɨ̆/) (thing/fact) 	ಇದು (idu)				
8	that 	అది (adi) 	dat		அது (/at̪ɨ̆/) 	ആ (/aː/), അ- (/a-/), അത് (/at̪ɨ̆/) (thing/fact) 	ಅದು (adu)				
9	here 	ఇక్కడ (ikkaḍa), ఇచ్చట (iccaṭa), ఈడ (īḍa) 	ici.da		இங்கே (iṅkē),இவ்விடம் (/Ivvidam/) 	ഇവിടെ (/iʋiʈe/), ഇങ്ങ് (/iŋŋɨ̆/) 	ಇಲ್ಲಿ (illi), ಇದರಲ್ಲಿ (idaralli)				
