No. 	English 	Tocharian B kuśiññe		
1	I 	ñäś	nous!	
2	you (singular) 	tuwe	tu	
3	he 	su	su	
4	we 	wes	wes	
5	you (plural) 	yes	yous	
6	they 	cey	they 	
7	this 	se	ce	
8	that 	su, samp	ceu	
9	here 	tane	da	
10	there 	tane, omp	da	
11	who 	kᵤse	kwhos	
12	what 	kᵤse	kwhos	
13	where 	ente	ante!	
14	when 	ente	ante!	
15	how 	mäkte	<<	
16	not 	mā	mo	
17	all 	poñc	pant’s	
18	many 	māka	mucha!	
19	some 	ṣemi	Semi : halb!	
20	few 	totka	??	
21	other 	allek	allos	
22	one 	ṣe	as aise	
23	two 	wi	`wei	
24	three 	trey	trey	
25	four 	śtwer	qtwer	
26	five 	piś	pẽs	
27	big 	orotstse	??	
28	long 	pärkare	para?	
29	wide 	aurtstse		
30	thick 	-		
31	heavy 	kramartse		
32	small 	lykaśke, totka		
33	short 	-		
34	narrow 	-		
35	thin 	-		
36	woman 	klyiye, śana		
37	man (adult male) 	eṅkwe		
38	man (human being) 	śaumo		
39	child 	śamaśke		
40	wife 	śana		
41	husband 	petso		
42	mother 	mācer	✓	
43	father 	pācer	✓	
44	animal 	luwo	Löwe!	
45	fish 	laks	Lachs!	
46	bird 	salamo luwo	--	
47	dog 	ku	khuon[d]	
48	louse 	pärśeriñ pl (?)		
49	snake 	arṣāklo, auk	<<	
50	worm 	yel	vyer	
51	tree 	stām	Stamm ++	
52	forest 	wartto, karāś	~~ <<	
53	stick 	śakātai (oblique)	~+	
54	fruit 	oko	<<	
55	seed 	sārm, śäktālye	Samen, sekte!	
56	leaf 	pilta	Blatt ++	
57	root 	witsako	Wurtzelko	
58	bark (of a tree) 	enmetre (?)	??	
59	flower 	pyāpyo	<3	
60	grass 	atiyai (oblique)		
61	rope 	-		
62	skin 	ewe, yetse		
63	meat 	misa	meath	
64	blood 	yasar		
65	bone 	āy, āsta pl	osteo	
66	fat (noun) 	ṣalype	salbe!?	
67	egg 	-		
68	horn 	krorīyai (oblique)		
69	tail 	pako*	<> packen!	
70	feather 	paruwa pl	~+	
71	hair 	matsi	Matte ++	
72	head 	āśce	Maske?? <<<	
73	ear 	klautso	<<	
74	eye 	ek	eyk	
75	nose 	meli	??	
76	mouth 	koyṃ	口 kǒu kau! 	
77	tooth 	keme	Kieme!	
78	tongue (organ) 	kantwo	??	
79	fingernail 	-		
80	foot 	paiyye	~+	
81	leg 	ckāckai (oblique)	<<	
82	knee 	keni (dual)	++	
83	hand 	ṣar	Cheir ++	
84	wing 	-		
85	belly 	kātso	Guts @ katze!	
86	guts 	kātso	Guts @ katze!	
87	neck 	kor*		
88	back 	sark	Sarg > arc !!!	
89	breast 	päścane (dual)	~-	
90	heart 	arañce	orange:)	
91	liver 	wästarye		
92	to drink 	yokäṃ	… käṃ ṣäṃ chen thuen tär	
93	to eat 	śuwaṃ	𓃹 !! <<	
94	to bite 	-		
95	to suck 	-		
96	to spit 	pitke (noun)	~-	
97	to vomit 	aṅkaiṃ	?	
98	to blow 	pinaṣṣnäṃ	win’den	
99	to breathe 	anāṣṣäṃ, satāṣṣäṃ	^	
100	to laugh 	ker-	La gher!!	
101	to see 	lkāṣṣäṃ	Eye-seen ++	
102	to hear 	klyauṣäṃ	Clause?? <<	
103	to know 	aiśtär, kärsanaṃ	𓇼𓇼!! <<	
104	to think 	pälskanaṃ	?	
105	to smell 	warṣṣäṃ	?	
106	to fear 	prāskaṃ		
107	to sleep 	kläntsaṃ		
108	to live 	śaiṃ	Sein! 𓃹	
109	to die 	sruketär	<<	
110	to kill 	kauṣäṃ	causa;) cease+	
111	to fight 	witāre (third-person plural preterite)	~+	
112	to hunt 	śerītsi (infinitive)	Cherche? <<	
113	to hit 	karnäṣṣäṃ	?	
114	to cut 	karsnaṃ, latkanaṃ	--	
115	to split 	kautanaṃ	cut .en.em	
116	to stab 	tsopäṃ	tsop~stab +;)	
117	to scratch 	-		
118	to dig 	rapanaṃ	Raupe?? <<	
119	to swim 	nāṣṣäṃ	nass++	
120	to fly 	pluṣäṃ	Plus ^^	
121	to walk 	yaṃ	yrm	
122	to come 	känmaṣṣäṃ	Konmen!!! <	
123	to lie (as in a bed) 	lyaśäṃ	lye.some/thun	
124	to sit 	ṣamäṃ, āṣṣäṃ		
125	to stand 	kaltär		
