Nº 	English 	Tupinambá  “lingua franca” → ñeengatú creole!	PIE <> Portuguese 	Guarani	ñeengatú (easy creole variant)	Tupinikĩ most divergent	Paraguayan jopará mixes Guarani and Spanish		caipira crole	!= Tapyŷa / Jê languages
1	I 	ixé, xe 	ich	che						
2	you 	endé, nde 	and.DU	nde						
3	he 	a'e, i 	he	ha'e, i						
4	we 	îandé (+ 2nd person); oré (− 2nd person) 	noun	ñande (+ 2nd person); ore (− 2nd person)						
5	you 	pe'ẽ, pe 		peẽ, pe						
6	they 	a'e, i 		ha'ekuéra, hikúai (post-verbal)						
7	this 	 	ce	ko						
8	that 	 	!	pe						
9	here 	ikê, kê 	ici	ko'ápe						
10	there 	bõ,abõ 	apo, over (there)	upépe						
11	who 	abape 	ma.who	mávapa						
12	what 	mba'epe 	ma.wha	mba'épa						
13	where 	umá 	ma.mo	mamópa						
14	when 	saê 	~~quan – 	araka'épa						
15	how 	pupê 	wie	mba'éichapa						
16	not 	inti, ti 	anti! Not	ani .../ nd....i /nd...iri						
17	all 	paûá 	pan	pa						
18	many 	tiba, etá 	Eta ~ exa – 	eta (h-, r-)heta,reta / -ita						
19	some 	 	(s)ambi	mbovy						
20	few 	 	am.few	mbovy						
21	other 	ambué 	ambi!	ambue						
22	one 	oîepé 	Oi (𓇋!?)	peteĩ						
23	two 	mokõi 	Nº kõi~2 ике iki 	mokõi						
24	three 	mosapyr 	Nº sapyr~3 !	mbohapy						
25	four 	irundyk 	𓊖 !?	irundy						
26	five 	xepó ambó 	ponj	po						
27	big 	asu 	Guasu ~ gross	tuicha, guasu						
28	long 	puku 	big!	puku						
29	wide 	 	pe.de ^^	pe						
30	thick 	anama 	𓊖 kyra ~ gross	kyra						
31	heavy 	poxýi 	bary	pohýi						
32	small 	mirim,mirĩ 	micro	michĩ						
33	short 	akitã 	a’kitã cut cute short	mbyky						
34	narrow 	mbé 		po'i						
35	thin 	tapi 		pererĩ						
36	woman 	kuñã 	queen!!	kuña						
37	man (adult male) 	abá 	aba! 𓇋	kuimba'e						
38	man (human being) 	abá 		tekove						
39	child 	kunumĩ (obs:kurumin in Nheengatu, uirá 	kurumin chir.men mita~mes	mitã'i						
40	wife 	t-embir-eko 		tembireko (h-r)						
41	husband 	mena 	man	ména						
42	mother 	sy 	sie	sy						
43	father 	tuba 	batu	túva,túa, ru						
44	animal 	soo 	zoo	mymba, tymba						
45	fish 	pirá 	pisc piroge	pira						
46	bird 	guirá, gra 	gula!	guyra						
47	dog 	îaguara 	Jaguar > 狗 gǒu	jagua						
48	louse 	mukirãna 								
49	snake 	mbóia, boi 	Boa > 𓆑	mbói						
50	worm 	miñoka 		taso						
51	tree 	ibirá 	arba	yvyra						
52	forest 	kaá 	;)	ka'aguy						
53	stick 	 	Poker ;)	pokoka						
54	fruit 	ibá 	yva[root] <> apó(-t) 	yva						
55	seed 	si 	si[d]	ta'ỹi						
56	leaf 	 	Tongue – 	togue						
57	root 	apó (-t) 	<> fruit, bark	tapo						
58	bark 	ibapé 	Pappe ;) … !!!!?							
59	flower 	potira, mbotyra 	potira~botanic blossom	yvoty						
60	grass 	kaapim, kapi 	ka'a	ka'a, ñana						
61	rope 	 	sã[il]	sã						
62	skin 	pira 	пир’’ pīŕ bőr piele peal pel phê pí 皮 <> bark	pire						
63	meat 	 	< zoo	so'o						
64	blood 	ugûy (-t) 		tuguy						
65	bone 	kanga 	~süňk …	kangue						
66	fat (n.) 	kaba, karaku 	Karaku <> gross	ñandy						
67	egg 	 		tupi'a						
68	horn 	 	角 jue-poker	jepoka						
69	tail 	 	Tuguáil ~ tail	tuguái						
70	feather 	aba 	𓇋 ^^ tail	tague						
71	hair 	aba 	𓇋	áva						
72	head 	a, akanga 	akap	akã						
73	ear 	ñambi 		nambi						
74	eye 	essá (-t) 		tesa (t-,h-,r-) tesa, hesa, resa						
75	nose 	tin 	-- 	tĩ						
76	mouth 	îuru 	𓂋 ore oral	juru						
77	tooth 	ãia (-t), tanhia 	tãi[-t] tanhia (tooth/dent/zahn)	tãi						
78	tongue 	 		kũ						
79	fingernail 	 		pyapẽ						
80	foot 	pi 	ped 𓃀	py						
81	leg 	etimã 	腿 thúi thight	tetyma, hetyma, retyma						
82	knee 	 								
83	hand 	pó 	Pfote /= рука	po						
84	wing 	pepó 	𓇋𓇋	pepo						
85	belly 	 								
86	guts 	 		py'akue						
87	neck 	aîura 		ajúra						
88	back 	 		ape						
89	breast 	kama 		káma						
90	heart 	ñiã, piá, pya 	--	ñe'ã						
91	liver 	 		py'akue						
92	drink 	i-u 	eau	-'u						
93	eat 	u 	carne खाना khānā	karu, -'u						
94	bite 	su'u 		su'u						
95	suck 	 		pyte						
96	spit 	 		ndyvu						
97	vomit 	 		guele'e						
98	blow 	 		peju						
99	breathe 	 		pytuhẽ						
100	laugh 	puká (intr.) 		puka (a)						
101	see 	epîak (s-) (trans.) 		echa (h-) (a)						
102	hear 	endub (s-) (trans.) 		endu (h-) (a)						
103	know 	kuab (trans.) 	Know >> kuaa	kuaa (ai)						
104	think 	 	Menta >	mo'ã						
105	smell 	 		hetũ						
106	fear 	sykyîé (intr.) 		kyhyje (a)						
107	sleep 	ker (intr.) 	𓇥 𓂋 𓁀 !	ke (a)						
108	live 	ikobé / ekobé (t-) (intr.) 	<<	kove (ai)						
109	die 	manõ / e'õ (t-) (intr.) 	murn	mano (a)						
110	kill 	îuká (trans.) 	<> jaguar	juka (a)						
111	fight 	momaran 		ñorairõ (a)						
112	hunt 	 								
113	hit 	 		japete						
114	cut 	 	Kytỹ !!	kytỹ						
115	split 	boboka 								
116	stab 	 	^^ cut	kutu (ai)						
117	scratch 	 	s’karãi kratz	karãi						
118	dig 	 		jo'o						
119	swim 	'ytab (intr.) 	yu.ta @ water	yta (a)						
120	fly (v.) 	bebé (intr.) 	𓇋𓇋 > vevely	veve (a)						
121	walk 	gûatá (intr.) 	GO 가다 gada गत gatá	guata (a)						
122	come 	îur / ur (t-) (intr.) 	IR	ju (a)						
123	lie 	moúba 		ty						
124	sit 	gûapyk (intr.) 		guapy (a)						
125	stand 	'am 		pu'ã						
126	turn 	baka 	𓂋	pyryrỹi						
127	fall 	'ar 		-'a						
128	give 	me'eng (trans.) 	🖑man*	me'ẽ (a)						
129	hold 	 		reko						
130	squeeze 	 		jopy						
131	rub 	 		kyty						
132	wash 	 	yu*	johéi						
133	wipe 	 		ky'a'o						
134	pull 	 		nohẽ						
135	push 	 	🖑man*	muaña						
136	throw 	 	~…	ty						
137	tie 	 	[k]not	ñapytĩ						
138	sew 	 		mbovyvy						
139	count 	papar (trans.) 		papa (ai)						
140	say 	'e 	>	-e						
141	sing 	nhe'engar (intr.) 		purahéi (a)						
142	play 	 		ñembosarái						
143	float 	 	𓇋𓇋 > vevely	vevýi						
