Nr 	English 	Hungarian 	Best Uralic	Eurasian	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	North Sami 	Kildin Sami 	Tundra Nenets
1	I 	én 	én, mie, mina	An-I  me	minä mä 	mie 	mina ma 	мон 	мон 	ме 	am 	mun 	мунн (munn) 	mənʲə
2	you (singular) 	te 	te, sie	thee, thine, Sie!	sinä sä 	sie 	sina sa 	тон 	тон 	тэ 	naŋ 	don 	то̄нн (tōnn) 	pidərə
3	he 	ő 	han	him, se, ta	hän (he/she) se (it) 	hiän 	tema ta 	сон 	сон 	сійö 	taw 	son 	со̄нн (sōnn) 	pida
4	we 	mi 	mi	mir	me 	myö 	meie me 	минь 	минь 	ми 	mēn (dual) mān (plural) 	moai (dual) mii (plural) 	мыйй (mɨjj) 	mənʲaq
5	you (plural) 	ti 	ti	thee	te 	työ 	teie te 	тынь 	тинь 	ти 	nēn (dual) nān (plural) 	doai (dual) dii (plural) 	тыйй (tɨjj) 	pidəraq
6	they 	ők 	hyo	(t)hey	he (of people) ne 	hyö 	nemad nad 	сынь 	синь 	найö 	tēn (dual) tān (plural) 	soai (dual) sii (plural) 	сыйй (sɨjj) 	pidoh
7	this 	e, ez 	ti,ez, tämä 	(th)is, dem	tämä 	tämä 	see 	те 	тя 	тайö 	ti tiji 	dát 	тадт (tadt) 	tʲukuə
8	that 	az, ama 		(th)is, dem	tuo 	tuo 	too 	се 	ся 	сійӧ 	ta taji 	diet (close to listener) duot (far from both) 	тудт (tudt) 	
9	here 	itt 	itt, tässä 	at, this	tässä 	tässä 	siin 	тесэ 	тяса 	тані 	 	dáppe, dás 	тесьт (tʹesʹt) 	tʲukoxəna
10	there 	ott 	siellä 	There ~ siere, celles	siellä 	siellä 	seal 	тосо 	тоса 	сэні 	tot 	dieppe, doppe, duoppe 	тамьпе (tamʹpʹe) 	
11	who 	ki (interrog.) aki (relative) 	ki	qui	kuka ken 	ken 	kes 	кие 	кие 	коді 	χōŋχa χotjut 	gii 	ке̄ (kʹē), (plural) кегк (kʹegk) 	xiiba
12	what 	mi (interrog.) ami (relative) 	mi	ma?	mikä mitä 	midä 	mis 	мезе 	мезе 	мый 	manər 	mii 	мегк (mʹegk) 	ŋəmke
13	where 	hol (interrog.) ahol (relative) 		!	missä (kussa) 	missä 	kus 	косо 	коса 	кöні 	χot 	gos 	касьт (kasʹt) 	xuna
14	when 	mikor (interrog.) amikor (relative) 	kun	quan	milloin kun 	konza kun 	kunas millal 	зярдо 	мъзярда 	кор 	χuń 	goas go 	куэссь (kuessʹ) 	
15	how 	hogy(an) (interrog.) ahogy(an) (relative) 	hogy, kuin	howy, que*	miten kuinka 	milleh kuin 	kuidas 	кода 	кода 	кыдзи 	 	mot, movt, mo man 	ко̄ххт (kōxxt) 	
16	not 	nem 	nem, ei, a, at	non, nei, a¬, anti-	ei 	ei 	ei mitte 	а аволь эзь арась 	аф изь эз оз абу 	at 	ii 	э- (e-) 		
17	all 	mind összes 		?	kaikki 	kaikki 	kõik 	весе 	сембе 	быд 	pussən 	buot, buohkat, visot 	пугк (pugk) 	maləh
18	many 	sok 	monet	many	monet paljon 	äijät monet 	palju mitu 	ламо 	лама 	уна 	sāw 	máŋga 	е̄ннэ (jēnne) 	ŋoka
19	some 	néhány 		~many?	jotkut 	kuda-ket 	mõni mõned 	зярыя 	мъзярошка 	неуна 	 	muhtumat 	мугка-ве̄рьт (mugka-vʹērʹt) 	
20	few 	Kevés <> kʿičʿ 	vähäine 	fewn? faint	muutama 	vähäine 	mõni vähe 	аламо 	кржа 	этша 	 	 	ва̄нас (vānas) 	
21	other 	más 	más 	mas (more)	muu 	toine muu 	teine muu 	лия 	иля 	мöд 	tōwa mōt(an) 	eará 	мудта (mudta) 	
22	one 	egy 	egy 	Ek = onc / einz	yksi 	yksi 	üks 	вейке 	фкя 	öти 	akʷa 	okta 	э̄ххт (ēxxt) 	
23	two 	kettő 	kettő 	second	kaksi 	kaksi kakši 	kaks 	кавто 	кафта 	кык 	kitiɣ 	guokte 	кӯһт (kūht) 	sʲdʲa
24	three 	három 		?	kolme 	kolme 	kolm 	колмо 	колма 	куим 	χūrəm 	golbma 	ко̄ллм (kōllm) 	nʲaxər
25	four 	négy 	ńila 	!	neljä 	nellä 	neli 	ниле 	ниле 	нёль 	ńila 	njeallje 	не̄лльй (njēllʹj) 	tʲetə
26	five 	öt 	viizi, вете 	vinz, peta, penta	viisi 	viizi 	viis 	вете 	вете 	вит 	at 	vihtta 	выдт (vɨdt) 	səməlʲaŋkə
27	big 	nagy 	suur 	sar! Sure?	suuri iso 	suuri šuuri 	suur 	покш 	оцю 	ыджыд 	janiɣ 	stuoris 	шӯрр (šūrr) 	
28	long 	hosszú 	χosa 	groß?	pitkä 	pitkä 	pikk 	кувака 	кувака 	кузь 	χosa 	guhkki 	кукесь (kukʹesʹ) 	
29	wide 	széles 	levie 	<> levitate?	leveä laaja 	levie 	lai 	келей 	кели 	паськыд 	 	viiddis 	ко̄ммьтэсь (kōmmʹtesʹ) 	
30	thick 	vastag	vastag, paksu	vast, packed?	paksu sankea sankka 	pakšu sangie 	paks 	эчке 	эчке туста 	кыз 	 	gassat suohkat 	кэ̄сс (kēss) 	
31	heavy 	nehéz 	painai	pende=weigh, ?	painava raskas 	jygie painai 	raske 	стака 	стака 	сьöкыд 	 	lossat 	ло̄ссесь (lōssʹesʹ) 	
32	small 	kis kicsi 	pikku 	pico 	pieni pikku 	pieni pikkaraine väčykkäine 	väike 	вишкине 	ёмла 	дзолыд 	māń 	smávis, uhcci, unni 	удць (udcʹ) 	
33	short 	rövid 	lyhyt 	lütt	lyhyt 	lyhyt 	lühike 	нурькине 	нюрьхкяня 	дзеныд 	 	oanehaš 	оаньхесь (oanjxʹesʹ) 	
34	narrow 	keskeny 	keskeny 	quetsch? Cut, capped	kaita ahdas kapea 	kaida ahtas 	kitsas ahas 	теине 	тяйня 	 	 	 	ке̄нҍцесь (kʹēnʹcʹesʹ) 	
35	thin 	vékony 		*tvnhokun ~ тьнъкъ (tĭnŭkŭ) 	ohut hoikka 	hoikkaine lätty 	õhuke peenike 	човине 	шуваня 	 	ošša 	asehaš 	се̄ӈькесь (sʹēŋʹkʹesʹ) 	
