Nr 	English 	Eurasian 	Best Uralic	Best Turk		Hungarian = corrupted PIE/Turk	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	Tundra Nenets	North Sami 	Kildin Sami 	Turk connection	Best Turk	Aryan		Turkmen 
1	I 	An-I  me mine	én, mie, mina	ben men -me -am	+++	ᵇén 	minä mä 	mie 	mina ma 	мон 	мон 	ме 	am 	mənʲə	mun 	мунн (munn) 	mina	ben men -me -am	man Mein ✓️ Ich bin, me, am	✓️✓️	men 
2	you (singular) 	Te, tu, thee, thine, Sie, Seine (Hoheit)!	te, sie	sen 	+++	te 	sinä sä 	sie 	sina sa 	тон 	тон 	тэ 	naŋ 	pidərə	don 	то̄нн (tōnn) 	sinä	sen 	Sie seien ✓️ Thy✓️ Seine Hoheit ✓️	✓️✓️	sen 
3	he 	Őr, hő, him, se, ta, han@Swede	Ő, han	ol 	+++	ő 	hän (he/she) se (it) 	hiän 	tema ta 	сон 	сон 	сійö 	taw 	pida	son 	со̄нн (sōnn) 	ő on 	ol 	er, el ✓️ < welcher wer 	✓️✓️	ol 
4	we 	mir, mwe, man!	mi	biz , бiз, пир 	++	mi 	me 	myö 	meie me 	минь 	минь 	ми 	mēn (dual) mān (plural) 	mənʲaq	moai (dual) mii (plural) 	мыйй (mɨjj) 	mek •miz	biz , бiз, пир 	µbij, we’s, wir, man!  	~	biz 
5	you (plural) 	thee	ti	siz 	+++	ti 	te 	työ 	teie te 	тынь 	тинь 	ти 	nēn (dual) nān (plural) 	pidəraq	doai (dual) dii (plural) 	тыйй (tɨjj) 	tek •tiz	siz 	Sies	✓️	siz 
6	they 	(t)hey, siej, on …	hyo	olar 	-	ők 	he (of people) ne 	hyö 	nemad nad 	сынь 	синь 	найö 	tēn (dual) tān (plural) 	pidoh	soai (dual) sii (plural) 	сыйй (sɨjj) 	ők ^^	olar 	’leur (French) -lar (Hungarian plural)	✓️ ½ 	olar 
7	this 	the 'is, dem, ec, ce	ti,ez, tämä 	ку 	++	e, ez 	tämä 	tämä 	see 	те 	тя 	тайö 	ti tiji 	tʲukuə	dát 	тадт (tadt) 	ez	ку 	ce, py, 𓊪𓏲	✓️✓️!	bu 
8	that 	that, the ce 'is, dem da de um 1	tudt, tuo се 	şu, şol 	++	az, ama 	tuo 	tuo 	too 	се 	ся 	сійӧ 	ta taji 		diet (close to listener) duot (far from both) 	тудт (tudt) 	ce	şu, şol 	ce, el < şol solch <> such	✓️✓️!	şu, şol 
9	here 	at, this, donde	itt, tässä 	taýda	+-	itt 	tässä 	tässä 	siin 	тесэ 	тяса 	тані 	 	tʲukoxəna	dáppe, dás 	тесьт (tʹesʹt) 	тесьт[a]	taýda	ce da, in da, bhere, mana (at hand)	✓️✓️!	şu taýda, onda, bäri 
10	there 	There ~ siere, celles tota <> DA!	siellä 	o taýda, ol ýerde, 	+-	Ott ~ tot	siellä 	siellä 	seal 	тосо 	тоса 	сэні 	tot 		dieppe, doppe, duoppe 	тамьпе (tamʹpʹe) 	ott, тосо 	o taýda, ol ýerde, 	al here.da, au thereda	✓️✓️!	ol ýerde, o taýda 
11	who 	quiᵐ	ki	kim 	+++	ki (interrog.) aki (relative) 	kuka ken 	ken 	kes 	кие 	кие 	коді 	χōŋχa χotjut 	xiiba	gii 	ке̄ (kʹē), (plural) кегк (kʹegk) 	ki, ken 	kim 	Quem! ✓️	✓️✓️!	kim 
12	what 	马? ma? mit~what	mi, mit	näme 	X	mi (interrog.) ami (relative) 	mikä mitä 	midä 	mis 	мезе 	мезе 	мый 	manər 	ŋəmke	mii 	мегк (mʹegk) 	[na]mi	näme 	nam: nämlich → NA 哪/那么  MA מה 𓅓	!	näme 
13	where 	que.da quest?  where>whol 	касьт	қайда 	+ 	hol (interrog.) ahol (relative) 	missä (kussa) 	missä 	kus 	косо 	коса 	кöні 	χot 	xuna	gos 	касьт (kasʹt) 	касьт (kasʹt) 	қайда 	que.da ≈ косо que.here! Nar.at Near.da	✓️✓️!	nirede 
14	when 	quanza 马 khour  	konza kun	кайчан qaçan  	+++	mikor (interrog.) amikor (relative) 	milloin kun 	konza kun 	kunas millal 	зярдо 	мъзярда 	кор 	χuń 		goas go 	куэссь (kuessʹ) 	куэссь (kuessʹ) 	кайчан qaçan  	que.han ~ quand!	✓️✓️!	haçan 
