 № 	English 	Best	PIE	Otomian 	Trique 	Mixtec 	Zapotec 	Mazahua 	Totonac 	Popoluca 	Huave 	Chontal
		MUCH	VARIATION!									
1 	I 	nuga̲, 'ùnj 	𓈖𓀁 an.ego an.ij	nuga̲ 	'ùnj 	*yuʔu 	na (informal), ri (formal) 	naa 	nheda, nhaa 		ik 	uts 	xiok 	iyáh
2 	you (singular) 	nu'i, dì' 	𓈖ni, Du	nu'i 	sò', dì' (intimate) 		ro'o (informal), ni'in (formal) 	lii 	lhe' (informal), le'e (formal) 		', -na 	mich 	iok 	imáh
3 	he 	ra	𓈖an.he, er	nu'ä, nä'ä 	so' 		ra, yɨ 	laa1be2 	lebe 			je' 	ñu 	jiquiya
4 	we 	nugawi 	𓈖𓏲𓏪 we	nugawi 	ní' (incl.), núj (excl.) 		yo'o, ri; nde'e 	laa1nu2 (incl.), laa1du2 (excl.) 	nheto' 			ïjtsat 	kunar, kunajts (incl.); xinan (excl.) 	iyángc'
5 	you (plural) 	soj, ndo 	𓈖𓏏𓏪 Sie, an.Du	nu'iwi 	soj 		ndo 	laa1tu2 	le’en, le’eque 			míchat 	inan 	imángc'
6 	they 		𓈖.𓊪𓍢 on	nu’u 	nii 		nda 	laa1ca1be2 	le’equebe 				ñuaf 	jiniya
7 	this 		𓇑𓇑	nuna 	nihánj 	*weyè 	yo'o, xa'a 	ri’3 			u 		ki 	jitaha
8 	that 		𓇑a	nu'ä 	dan, yo' 	*yuku à 	yukan 	ca2 			a 	yajtï’n 		jicuhua
9 	here 		𓇑wo	nuwa 	nihánj 		yo'o, xa'a 	che1rí’2 			u 	yam 	ñinga 	faha
10 	there 		𓇑𓊪𓍢	nu'bu̲ 	yo', ti'yaj (distal) 		kaa 	che1ri1ca’3 			aná 	jem, yajm 	tikej 	jiłuhwa, jipuhwa
11 	who 	me níí	𓅓 𓂟 , 𓅓 𓂝 መኑ  mannu	togo 	me síí, me níí (fem.) 		navi, unku 	tu2 	nhoo 		ti 		jang 	nay, ne
12 	what 	me 	ma -''-	temu 	me 		nda, ndavi, unku 	gu1ná’2 	bii 		tu 		kuñ 	de
13 	where 	me rej, tonj 	ma -''-	ho'bu̲ 	me rej, tonj 		nuu 	ni, ra, gu1ná’2 	gaaxha 		nikú 		ke(j) 	be
14 	when 	me aman, me orá 	ma -''-	hä'mu̲ 	me aman, me orá 	*awà 	nama, na, nuu 	pad1xí3, ora 			ikxnicu 		ngaty (past), ngoy (future) 	dej hora
15 	how 			hanja('ä) 	dàj 	*ndese 	nasaa 	xi1 caasi2 			latayá 		keñ 	de ts'ihíc'
