№	English	Akkadian (many spellings!)	IPA Sound 	Akkadian SEM-PIE		Akkadian 	Egyptian many variants		𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections
1	I (1sg)	anāku	/aˈnaː.ku/	an.ego / 俺 on.Ich 𐎀𐎐		𒀀𒈾𒆪 (anāku) 	(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 𓍢 𓇋 , 𓏌𓎡𓍢 		𒂷𒂊, 𒂊	ĝae, ĝe, nge26, men2, 3	unk: ego, mein
2	you (2sg)	atta (masculine), atti (feminine)	/ˈat.ta/, /ˈat.ti/	a.Ti		𒀜𒋫 m (atta), 𒀜𒋾 f (atti) 	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥		𒍝	za	ca, thy, thou 𓎡 Tasse
3	he, she, it (3sg)	šū (masculine), šī (feminine)	/ʃuː/, /ʃiː/	su, she, sie		𒋗𒌑 (šū) 	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖		𒅔 𒉌	in, ni	hin, on, neutral, 𒈗𒀀𒉌𒅕 lugal-anir his king 𓆑 natter
4	we (1pl)	nīnu	/ˈniː.nu/	nous		𒉌𒉡 (nīnu) 	(𓈖𓏏) 𓈖𓏥, 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥			menden	man
5	you (2pl)	attunu (masculine), attina (feminine)	/ˈat.tu.nu/, /ˈat.ti.na/	a.Deine		attunu m, attina f 	(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤			menzen, zaemenzen, zaenzen	𒍝門
6	they (3pl)	šunu (masculine), šina (feminine)	/ˈʃu.nu/, /ˈʃi.na/	a.Seine / them		𒋗𒉡 m (šunu), 𒅆𒈾 f (šina) 	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥		𒂊𒉈𒉈	e-ne-ne	em’, on <> 𒅔𒉌
7	this	annûm (masculine), annītum (feminine)	/anˈnuːm/, /anˈniː.tum/	NO		annû 	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖		𒉈	ne	na, 𓇑𓇑𓈖, 𓈖𓄿
8	that	šū (masculine), šī (feminine), ullûm (masculine), ullītum (feminine)	/ʃuː/, /ʃiː/, /ulˈluːm/, /ulˈliː.tum/	ce		šū, ullû 	𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,		𒊑	re	
9	here	annânum, annīkiam	/anˈnaː.num/, /anˈniː.ki.am/	an.quam		annânu 	𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐		𒄖𒂊?	gu'e	
10	there	ullīkiam	/ulˈliː.ki.am/	apiya 		"a-pi-ya  there/then, akannaka, 𒆠𒌓𒁀	ki-ud-ba "	𓂧 𓏮 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐, 𓇋𓅓,	𓂝 𓄿 𓇋𓇋?	𒀀𒁀	gure, a-ba	Latin ibi over
11	who	mannum	/ˈman.num/	"መኑ  mannu “who” 𒌋𒌋𒉡 	man-nu "		mannu 	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓋴, 𓏶	𓅓 𓂟, 𓅓 𓂝	𒀀𒁀	a-ba, aba	awho?
12	what	mīnum, minûm	/ˈmiː.num/, /miˈnuːm/	ምንት mənt “what”  ምን min  𒂗𒉆 #minû 		mīnu 	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓐍 𓏮, 𓋴, 𓏶, 𓏏𓊪𓏮 𓆵 𓀁		𒀀𒈾	a-na 	ante…  what in… <> this
13	where	ali, ayyānum, ayyīkiam, êš	/ˈa.li/, /ajˈjaː.num/, /ajˈjiː.ki.am/, /eːʃ/	al-ou?		ali 	𓏏𓈖𓏮𓌙𓅯 𓈐, 𓏏𓈖𓏌𓅱𓌙𓅯		𒀀, 𒆠, 𒈨, 𒈠, 𒈨𒑰𒀀	a, ki, me, ma , me'a	"𒀀 wo, à, que? 𓂠 ma… ≈ 𓂟  𓅓 𓂟 , 𓅓 𓂝 መኑ  mannu “who” 𒌋𒌋𒉡 	man-nu 	who?   ምንት mənt “what”  ምን min  𒂗𒉆 #minû "
14	when	mati, matīma	/ˈma.ti/, /maˈtiː.ma/	𓅓 time?		ayyānu, mati 	𓐍𓆑𓏏, 𓐍𓏏𓆑, 𓐍𓆑, 𓅯𓅯, 𓅓		𒀀, 𒌓, 𒈨𒈾𒀀𒀭	a, ud, me-na-am₃ menam	qũd, quando, at what day, 𓅓☽☽?
15	how	kī	/kiː/	que?		ana mīni, ammīni 	𓅱,𓅱𓏮,𓏇𓇋𓅓𓂝	𓅱,𓅱𓏮,𓏇𓇋𓅓𓂝!?	𒀀𒉈𒁶	a-na-gim, ta-gin	𒁶 gim comme <> 𓏇𓇋𓅓𓂝  ?   𓅱 ana 
16	not	ul, lā	/ul/, /laː/	nulla		𒉡 𒌌 𒆷 nu, ula, lā	𓂜, 𓂜𓈖,𓂜𓏏, 𓅱𓂜, 𓂜𓇋𓇋 2. 𓄤𓊪𓅱, 𓅱, 𓅓, 𓅓𓂝, 𓅓𓂟, 𓇋𓂋𓆑, 𓅱𓂜, 3. 𓂜𓇋𓇋		𒉌 > 𒉡 , 𒈾	nu, natta 	eg. natta kuwappiki
17	all	kalûm	/kaˈluːm/	kall qwhole		kalû 	𓎟  2. 𓂋 𓋴 𓋴  3.  𓇿 𓇿 𓈅 𓈅 𓏏𓍃 𓀀 𓏥 𓁐, 𓏏 𓏏 𓏝 , 𓇾 𓅓 𓅱𓀀 𓏥 𓁐, 𓇾 𓍃 𓅓 𓏥 4.  𓅓 𓃀 𓅱𓌡 𓏤	𓎟	𒄷𒋛, 𒌅 du₂	u₅, u5, dù	all~u, tout, todos huʳs 𓂋 𓋴 𓋴  her összes
18	many	mādum (masculine), māttum (feminine)	/ˈmaː.dum/, /ˈmaːt.tum/	mudjo much		mādu 	𓅨 𓂋, 𓁨 𓈖 2. 𓂝 𓈙 𓄿 𓆈, 𓆈 𓄿 𓏏𓀀 𓏥, 𓉻 𓏏𓏯 𓈙 𓏥		𒐈 eš₅ 𒄿𒄑	eš, lú, i'iz 	exo-shar, all <> 𓂝 𓈙 𓄿 𓆈  𒐺 EŠ16
19	some	ayyumma (masculine), ayyītumma (feminine)	/ajˈjum.ma/, /aj.jiːˈtum.ma/	jumma ≈ some ∑		ayyumma	𓈖 𓉔 𓅪 𓈒 𓏥, 𓈖 𓎡 𓏏 𓏴 𓏛		𒇽	lú	allo, man ≠ alle many  𓈖 𓉔 𓅪 𓈒 𓏥 NI/lú nonnuli
20	few	wīṣum, maṭûm	/ˈwiː.sˤum/, /maˈtˤuːm/	some ≠ much		ēṣuᵐ 	𓂝 𓈖 𓂧 𓏏 𓅪 ander- 1™				
21	other	šanûm (masculine), šanītum (feminine)	/ʃaˈnuːm/, /ʃaˈniː.tum/	zwein someu ≈		šanû  	𓎡 𓏏, 𓎡 𓏮		"𒁄𒀀𒉘	"	bal-a-re balare	<> poly
22	one	ištēn (masculine), išteat (feminine)	/iʃˈteːn/, /iʃˈteat/	ersten	✓	ištēn m, ištēt f 	𓏤, 𓌡 , 𓏏 𓅱		𒀸 ,𒑰 , 𒅎	aš, diš, did 	eins, enas, dies 𓏏 𓅱
23	two	šinā (masculine), šittā (feminine)	/ˈʃi.naː/, /ˈʃit.taː/	zwin, zweite	✓	šinā m, šittā f 	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮		𒈫  𒌋𒌋	mina	mene, minute 𓈖 𓏌 𓏲 𓏮 ?  门 門 mén Menge ☾☾  𐀗𐀗
24	three	šalāšat (masculine), šalāš (feminine)	/ʃaˈlaː.ʃat/, /ʃaˈlaːʃ/	third	✓	šalāš m, šalāšat f 	𓐍 𓂸 𓏏		𒐈 eš₅ 𒉾!	eš5,6,16,21 peš	mis / ečir™
