№	English	Kabyle						PIE	best
1	I (1sg)	nekk	nečč	neč	nəšš	nkk	nkki	an.icke ego ngwo	nekk nkk
2	you (2sg)	kečč, kemm	cekk, cemm	cek, cekinţin, cem, cemminţin	šəkk*, šəmm*	kgg*, kmm*	kyyi, kmmi	kyou	kyyi, kmmi
3	he, she, it (3sg)	netta	netta, nettat	neţa, neţan	nətta*, nəttat*	ntta*, nttat*	ntta, nttat	ante.ta	ntta
4	we (1pl)	nekni, nekkenti	neččni, neččenti	necnin	nəššin	nukkni	nkkʷni, nkkʷnti	nous	nəššin
5	you (2pl)	kunwi, kunnemti	kenwi, kennemti	kennim, kennimţ	kənniw*, kənnint*	kunni*, kninti*	kʷnni, kʷnninti	kyou.ni	
6	they (3pl)	nutni, nutenti	nehni, nehenti	nahnin, nahninţ	nihni*, nihənti*	nihni*, nihnti*	nttni, nttnti	ante.they	
7	this	a, ta	way, tai	wa	a	wad*, tad*, ayad*	ɣad, ad	ta~the	
8	that	wihin, tihin	win, tin	win	in, ənni	wan*, tan*, ayin*	ɣan, an	tihin~the den jene	wan*, tan*, ayin*
9	here	d	day	awra, ḍa	đa	dad	ɣid	đa da	
10	there	n	din	ḍin	đin	din	ɣin	đin danne	
11	who	anwa	wi	manay	wi	may	ma(n)	wi wer who	
12	what	acu	mata	maţa	min	may	mi(t)	mwhat	
13	where	anda	mani	anda	mani	mani	mani	√manque 𓂜	
14	when	melmi	melmi	melmi	məřmi	milmi, mantur	manago		
15	how	amek	mammek	mamex	yaya	mimk	manik, mamnk		
16	not	ur...ara	ur	u...eš	wā	ur	or	𓂜 nor…nor	
17	all	aku	akkʷel, yal	elkul	marra	qaḥ, kul	akkʷ, kollo	kollo kwhole	kollo
18	many	aṭas	labas, aṭas	ayţa	aṭṭas	bzzaf, ggidi	kada, mnnaw	many  𓏠	mnnaw
19	some	kra	qra	cra	ša	ša	yan mnnaw	?	
20	few	drus, cwiya	drus	ḍrus	đrus	imik, šwiy	imik		
21	other	niḍen	nniḍen, iḍen	enniden	nnəɣni	yaḍn, yaḍnin	wayyaḍ, tayyaḍ	nächsten next ante 𓂜	
22	one	yiwen	yeǧ, wiṭ	iǧ	ižžən*, ištən*	yun, yut*	yan	yi, ein, one	yiwen
23	two	sin	sen	sen	ŧnayən	sin, snat*	sin	twin, zweien	ŧnayən
24	three	kraḍ	kraḍ	telata	ŧřaŧa	kraḍ	kraḍ	third	ŧřaŧa < kraḍ!
