No. ,English ,Cantonese ??/??? ,Jyutping transcription,Mandarin,PIE,Simplified,Pinyin ,PIE
1,I ,? ,ngo5,wo,ego,"?, ?, ?, ? ","W? , yú, y?, ?n",yo  je wo wir ich anI
2,you (singular) ,? ,nei5,ni,,"? ,?,?,?, ?","n?, er, taí, j?n","Ni(2), Herr, Thy, you.an"
3,he ,? ,keoi5,ta,che,"?, ? ","t?, y?","Ta, the, he"
4,we ,?? ,ngo5 dei6,,we two,??,w?men ,wir+?
5,you (plural) ,?? ,nei5 dei6,,an DU,??,n?men ,
6,they ,?? ,keoi5 dei6,,they tout,?? t?men ,t?men ,them+?
7,this ,? ,ni1,na,nah next,? zhèi ,zhè ,ce
8,that ,? ,go2,,ce,? nèi ,nà ,nahr ? ? ?
9,here ,?? ,ni1 dou6,nali,n* da,?? zhèr ,zhèli ,zhere
10,there ,?? ,go2 dou6,,ce da,?? nàr ,nàli ,nahr
11,who ,?? ,bin1 go3,shei,whon que,? shuí ,shéi ,swhoi
12,what ,? ,mat1,,mwhat!,?? n?ge ,shénme ,
13,where ,?? ,bin1 dou6,,whn da,?? n?r ,n?li ,nahr
14,when ,?? ,gei2 si4,,que zeit,????,Shénm? shíhòu ,“?” zeihourt
15,how ,"??, ?? ","jyu4 ho4, dim2 joeng2",,ru how?,?? z?nme ,rúhé ,
16,not ,"??, ? ","m4 hai6, mou5",,mno,"?,    ?","Bù,  bié, nan",bes- ?nan:schwer
17,all ,"??, ? ","cyun4 bou6, dou1",,"callyn, tout",?? zh?ng ,quánbù ,
18,many ,? ,do1,,,?,du? ,2 too < ?
19,some ,? ,di1,,Die … ;),?? j?ge ,y?xi? ,einige
20,few ,? ,siu2,,,?,sh?o ,short
21,other ,?? ,kei4 taa1,?  ? ? ? ? ? ?,Kother!,?? biéde ,qít? ,2nd Bother qother
22,one ,? ,jat1,,,?,y? ,eyin
23,two ,? ,ji6,,,? li?ng ,èr ,And.er? Du+du=ni-er
24,three ,? ,saam1,,,?,s?n ,? 3 zone some?
25,four ,? ,sei3,,,?,sì ,Cir <> arba
26,five ,? ,ng5,,,?,w? ,phu’ full
27,big ,? ,daai6,,,?,dà ,dar™
28,long ,? ,coeng4,,,?,cháng ,stang
29,wide ,? ,fut3,,,?,ku?n ,gvuang?
30,thick ,? ,hau5,,,?,hòu ,*?o?s huges
31,heavy ,? ,cung5,,,?,zhòng ,center dong
32,small ,? ,sai3,,,?,xi?o ,xmall
33,short ,? ,dyun2,,,?,du?n ,¬duran tvan?
34,narrow ,? ,zaak3,,,?,zh?i ,Zhaik > Eck?
