No.		NE:Caspian	Chechen	some PIE	NW:Pontic	IPA	not very PIE	Georgian	IPA	Kartvelian ~ PIE	Armenian ∈ PIE	IPA	PIE	
1	EYE	бӏаьрг	bʡærɡ	Blick bulb here у u͡ʊ <> R/n !	ала	ɑlɑ	oille	თვალი	tʰvɑli	the voille < voire <> ma.eyre	աչք	ɑçʰkʰ	auçk	✓
2	EAR	лерг	lerɡ	Lauscher х <> g?	алымҳа	ɑlɨmħɑ	ohrima	ყური	qˀuri	ge.Ohr geHöhr корит	ականջ	ɑkɑɲd͡ʒ	*ագկանջ •agkanǰ Oschen	ok?
3	NOSE	мара	mərə	'part' 	аҧынҵа	ɑpʰ ɨnčʼɑ	apu.schnautze	ცხვირი	čʰxviri		քիթ	kʰitʰ	кӏыт-ы́р ḳɨt-ɨ́r خشم‎ ḵešim xēšm ka.sm na.sm	<<+
4	MOUTH	бага	bəɡə	Bug barki PU<>bore	аҧышə	ɑpʰ ɨʂə	apu.öse	პირი	pˀiri	pe.ri bu.ri li’po el'pu	բերան	bɛɾan	bu.ran burnà@Lith phárunx  barki Fresse	<++
5	TOOTH	церг	čerɡ	čean	ахаҧыц	ɑχɑpʰ ɨčʰ	1. spitz 2. <>	კბილი	kˀbili	𓄑@𓄒 Kiefer	ատամ	atam	a'ŧan zahn	✓
6	TONGUE	мотт	motː	mot	абз	ɑb z[ung]	a bz 𓆑 z.ung	ენა	ɛnɑ	"𓈖𓄓 𓋴 𓄻	ˢunge <> ˢechs(6) "	լեզու	lɛzu	(g)lissan le.zung 𓈖𓄓𓋴𓄻	+++
7	LIP	балда	bəldə	be.lda le.pu bǎrna	ақьышə	ɑkʰʲiʂə	a kiss	ბაგე	bɑɡɛ	le bɑɡɛ, Lippe 'bag'	շրթունք	ʃəɾtʰuŋkʰ	Spreitzung 𐡔𐡐𐡕𐡉𐡍‎ šptyn 𓋴𓊪𓏏𓂏 sparte	+++
8	CHEEK	бесни	besnɪ	Wange	аӡамҩа	ɑd͡zɑmɥɑ	a gamba (jaw)	ლოყა	lɔqˀɑ	Loch?	այտ	ɑjt	аӡамҩа	
9	FACE	юьхь	jyʜ		аҿы	ɑʈʈ͡ʂʼɨ	a cheek	სახე	sɑxɛ	Sax! cheek?	դեմք	dɛmkʰ	denk دیم‎ dīm Dummkopf;) 𐬛𐬀𐬉𐬨𐬀𐬥‎ daēman 面 > demon ('face')	<++
10	FOREHEAD	хьаж	ʜəʒ	headj	алахь	ɑlɑχʲ	a lax?	შუბლი	ʃubli	Kopf cephal super  ob 𓁶𓂉𓅿𓁷	ճակատ	çɑkɑt	cheek ճակատ čakat 𓄂𓏏𓏤 	++++
11	HAIR	мас	məs	mesh,ma.shair<>𓄟𓂓𓄛	ахəыц	ɑχəɨčʰ	a xhair.z	თმა	tʰmɑ	therma 𓄛 Tolle.ma 𐍄𐌰𐌲𐌻 tagl τρίχα trícha.ma	մազ	mɑz	mesh 𓄟	++
12	MOUSTACHE	мекх	meq	мекх- mus-tagl	аҧаҵа	ɑpʰ ɑč ʼɑ	apu.	ულვაში	ulvɑʃi		բեղ	bɛʁ	Bart	++
13	BEARD	маж	məʒ	moustache	ажакьа	ɑʐɑkʼʲe	a tchech? sax?	წვერი	čˀvɛri	𓐍𓃀 𓊃𓅱𓏏𓁸   c̣veri™ chopsar	մորուք	mɔɾukʰ	𓃶🐐𒈧 mjekër@Alban zamãkur@Hit श्मश्रु śmáśru	<++ <<
