№ 	ENGLISH	NE:Caspian	Chechen	some PIE	NW:Pontic	IPA	not very PIE	Georgian	IPA	Kartvelian ~ PIE	Armenian ∈ PIE	IPA	PIE	cognate less PIE than ‘Kartvelian’ !		IPA pronunciation
1	I	cо	co	ego icho	са	sɑ	cо, ego	მე	mɛ	me	ես	jɛs		jɛs ~ je,isch	+++	jɛs
2	YOU	шу	ʃu͡ʊ	ʃyou	шәара	ʃʲʷørɑ	sir	თქვენ	tʰkʰvɛn	𓏏𓎡 => 𓍿𓈖 	դուք	dukʰ		Du	+++	du
3	HE OR SHE OR IT	и	ɪ	he	иара	i ɑrɑ	her	ის	is	his	նա	na		jener nächster 那 nage [[𓆑]]	~	nɑ
4	WE	тхо	txo	--	ҳара	ħ ɑrɑ	wir	ჩვენ	çvɛn	x.wen	մենք	mɛnkʰ		man! 我们  𓅱𓎡? 𓏌𓎡𓍢  	++	mɛŋkʰ
5	YOU	шу	ʃu͡ʊ	su, thy	шәара	ʃʲʷørɑ	sir	თქვენ	tʰkʰvɛn	𓏏𓎡 => 𓍿𓈖 	դուք	dukʰ		Dus	++	dukʰ
6	THEY	уьш	yʃ		дара	d ɑrɑ	der	ისინი	isini	them	նրանք	nəɾɑŋkʰ		'jenerens’  on.leuren	~-	nəˈɾɑŋkʰ
7	THIS	и	ɪ	a	ари	ɑri		ეს	ɛs	'is	սա	sɑ		es 'is < tis	+	ɑjs
8	THAT	и	ɪ	a	Абни	ɑb ni		ეგ	ɛɡ	'ec	դա	da		ein, am@pers	++	ɑjn
9	HERE	кхузахь	qu͡ʊzəʜ	qvo.ze	ара	ɑrɑ	here	აქ	ɑkʰ	"𓇑 | 𓉻 𓂝 𓈐	aci  屮chè"	այստեղ	ajstɛɣ		this.there ++	++	ɑjsˈtɛʁ
10	THERE	цигахь	čɪɡəʜ	therg	уа	uɑ	wo, yonder	იქ	ikʰ		այնտեղ	ajntɛɣ		this.there ++	++	ɑjnˈtɛʁ
11	WHO	мила	mɪlə	mi	дарбан	dɑ rbɑn	--	ვინ	vin	whon	ով	ʋɔv		who 𓆑 < 𓊪𓅱 <  𓊪𓅮𓄿	++	ɔv
12	WHAT	хӏун	hu͡ʊn	quon				რა	rɑ	ra???	ինչ	inçʰ		quin?		int͡ʃʰ
13	WHERE	мичaхь	mɪçaʜ	mi	иабыкуу	iɑb ɨkʼuu		სად	sɑd	site?	ուր	uɾ		ur~where(ter)~orteł	++	vɔɾˈtɛʁ, uɾ
14	WHEN													year/orbit? --		jɛɾpʰ
15	HOW	муха	mu͡ʊ̄xə	mi	-шҕа	ʂʁɑ		როგორ	rɔɡɔr	ra??? gar	ինչպես	inçʰpɛs		quin.phes  𐍈𐌰𐌽 𐍈𐌴 		int͡ʃʰˈpɛs
16	NOT	ца	čə	ni.ke ikke@ FIN	-м	m	mei  𓅓𓂜	არ	ɑr	a¬  ul¬ 𒌌 ulla owl 𓅓 ohn  	չէ	çʰɛ		bes-@slavic as¬	++	vɔt͡ʃʰ, t͡ʃʰ
17	ALL	дерриг	derːɪɡ	der>cer>cal	зегьы	zɛɡʲi		ყველაფერი	qˀvɛlɑpʰ ɛri	𓎟 ++++	ամեն ինչ	ɑmɛn inçʰ	дерриг	Baller << poly ყველაფერი (q̇velaperi) bary	<~	bɔˈlɔɾ
18	MANY													scharT	ok?	ʃɑt
19	SOME													?  peuvres	ok?	vɔˈɾɔʃ
20	FEW													𓅱! @Altaic klitze:klein cute	++	kʰit͡ʃʰ
21	OTHER	кхин	qɪn	ky	даҽа	dɑ ʈ͡ʂʰɑ	d'other < dos 2	სხვა	sxvɑ	asxva other	այլ	ɑjl		alter, autris?	++	ɑjl, uˈɾiʃ
22	ONE TIME	цхьаъ	čʜəʔ	erste	акы	ɑkʼɨ	ek	ერთი	ɛrtʰi	1 erst	մեկ	mɛk		µ.ek <> mich	+	mɛk
