№ 	English 	Caspian	IPA	PIE	
1	I 	cо	co	egi i.go icho	
2	you	шу	ʃu͡ʊ	syou	
3	he 	 			
4	we 	тхо	txo	--	
5	you	шу	ʃu͡ʊ	syou	
6	they 	уьш	yʃ		
7	this 	и	ɪ	a	
8	that 	и	ɪ		
9	here 	кхузахь	qu͡ʊzəʜ	qvo.ze	
10	there 	цигахь	t͡sɪɡəʜ	therg	
11	who 	мила	mɪlə	mi	
12	what 	хӏун	hu͡ʊn	quon	
13	where 	мичaхь	mɪt͡ʃaʜ	mi	
14	when 				
15	how 	муха	mu͡ʊ̄xə	mi	
16	not 	ца	t͡sə		
17	all 	дерриг	derːɪɡ	der>cer>cal	
18	many 				
19	some 				
20	few 				
21	other 	кхин	qɪn	ky 𓎡 𓏮	
22	one 	цхьаъ	t͡sʜəʔ	erste	
23	two 	шиъ	ʃɪʔ	tsei	
24	three 	кхоъ	qoʔ	qoree / qroi	
25	four 	диъ	dɪʔ	ditra / tetra	
26	five 	пхиъ	pxɪʔ	pjenj	
	six	ялх	jəlx	selx	
	seven	ворхӏ	vor̥	---	
	eight	бархӏ	bər̥	ba!	
	nine	исс	ɪsː		
	ten	итт, йтта	ɪtː	nt/tn/tē	
	11	цхьайтта	t͡sʜəɪ̆tːə	tzeh.erst	
	12	шийтта	ʃɪɪ̆tːə	zweite	
	hundred	бӏе	bʡe	bǎi:百	
	thousand	эзар	ezər	ashur	
27	big 	доккха	doqːə	darg	
28	long 	еха	exə	exa 𓆈 extra	
29	wide 	шуьйра	ʃyɪ̆rə	<	
30	thick 	стомма	stomːə	stämmig	
31	heavy 	деза	dezə	δασύς dense	
32	small 	кегий	keɡɪɪ̆	kück	
33	short 	доца	dōt͡sə	?	
34	narrow 	готта	ɡotːə		
35	thin 	дуткъа	du͡ʊtqʼə		
36	woman 	зуда	zu͡ʊdə	<	
37	man	майра	məɪ̆rə	mortal	
38	man	майра	məɪ̆rə	mortal	
39	child	бер	ber	puer	
40	wife 	зуда	zu͡ʊdə	zote = WOMAN 	
41	husband 	майра	məɪ̆rə	marie	
42	mother 	нана	nə̄nə	nun	
43	father 	да	də	dad	
44	animal 	дийнат	dɪɪ̆nət	deer.nat	
45	fish 	чӏара	t͡ʃʼərə	Tier!	
46	bird 	олхазар	olxəzər	el.txier <<	
47	dog 	жӏаьла	ʒʡælə	kläff -	
48	louse 	меза	mezə		
49	snake 	лаьхьа	læʜə	Lange	
50	worm 	нӏаьна	nʡænə	nuun@	
51	tree 	дитт	dɪtː	dendrit	
52	forest 	хьун	ʜu͡ʊn	Hein	
53	stick	ӏаса	ʡəsə		
54	fruit 				
55	seed 	чlу	t͡ʃlu͡ʊ	tseed	
56	leaf 	гӏа	ɣə	^	
57	root 	орам	ōrəm		
58	bark	кевстиг	kevstɪɡ		
59	flower 	зезаг	zezəɡ	Susan <+	
60	grass 	буц	bu͡ʊt͡s		
61	rope 				
62	skin	чкъор	t͡ʃqʼor	DER! carne	
63	meat	жижиг	ʒɪʒɪɡ	bashish	
64	blood 	цӏий	t͡sʼɪɪ̆	xue	
65	bone 	даьӏахк	dæʡəxk		
66	fat	мохь	moʜ		
67	egg 	xӏoa	xʡoa		
68	horn 	маӏа	məʡə	--	
69	tail 	цӏога	t͡sʼoɡə		
70	feather	пелаг	peləɡ	++ Flug	
71	hair 	мас	məs	mesh,ma.shair	
72	head 	корта	kortə	<> core	
73	ear 	лерг	lerɡ	Lauscher х <> g?	
74	eye 	бӏаьрг	bʡærɡ	Blick bulb here у u͡ʊ <> R/n !	
75	nose 	мара	mərə	VERY NON-IE!!!	
76	mouth 	бага	bəɡə	Bug PU	
77	tooth	церг	t͡serɡ	t͡sean	
78	tongue 	мотт	motː	mot	
79	fingernail 	мӏара	mʡərə		
80	foot 	ког	koɡ	---	
81	leg 	ког	koɡ	--	
82	knee 	гола	ɡōlə	<< angle	
83	hand 	куьг	kyɡ	kadj ---	
84	wing 	тӏам	tʼəm	@tier	
85	belly 	кийра	kiːrə	core	
86	guts 				
87	neck 	ворта	vortə	vortex --	
88	back 	букъ	bu͡ʊqʼ	bu͡ʊqʼ back	
89	breast 	зударийн накха	zu͡ʊdərɪɪ̆n nə̄qə	zitze nahr?	
90	heart 	дог	doɡ	;)	
91	liver 	доӏах	doʡəx		
92	drink 	мала	mələ		
93	eat 	кхалла	qəlːə		
94	bite 	катoха	kətoxə		
95	suck 				
96	spit 				
97	vomit 				
98	blow	хьекха	ʜēqə		
99	breathe 	садеӏа	sədēʡə		
100	laugh 	дела	delə		
101	see 	ган	ɡən	sehn	
102	hear 	хаза	xəzə		
103	know	хаа	xəə	kaa	
104	think 	ойла ян	oɪ̆lə jən		
105	smell	хьожа яха	ʜoʒə jə̄xə		
106	fear 	кхера	qērə		
107	sleep 	наб	nəb	nap	
108	live 				
109	die 	дала	dələ		
110	kill 	ден	den	tue.ten	
111	fight 	къийсам	qʼɪɪ̆səm		
112	hunt	талла	təlːə	jagt | tagl -- wtf	
113	hit 	етта	etːə		
114	cut 	ларга	lərɡə		
115	split 				
116	stab				
117	scratch				
118	dig 	ахка	əxkə		
119	swim 	некадан	nekədən		
120	fly 	моза	mozə	MOSQUITO	
121	walk 	лелар	lelər	le.legr	
122	come 	кхача	qət͡ʃə		
123	lie	ӏилла	ʡɪlːə	hin lii	
124	sit 	хиъна ӏан	xɪʔnə ʡən	xin ezen	
125	stand 	латта	lətːə	latte;)	
126	turn	хьовзо	ʜɔ͡ʊzo		
127	fall	охьакхета	oʜəqetə		
128	give 	яла	jələ		
129	hold	латто	lətːō		
130	squeeze 				
131	rub 	хьекхо	ʜeqo		
132	wash 	йила	jɪlə		
133	wipe 	дӏадайа	dʡədəjə		
134	pull 	озо	ozo		
135	push 	татта	tətːə		
136	throw 	кхосса	qosːə		
137	tie 	дӏадехка	dʡədexkə		
138	sew 	тега	teɡə		
139	count 	терахь	terəʜ	tell	
140	say 	ала	ələ		
141	sing 	лакха	ləqə	lark	
142	play 	ловза	lɔ͡ʊzə	leisure	
143	float 				
144	flow 	эха	exə		
145	freeze 	гӏоро	ɣoro	kor	
146	swell 				
147	sun 	малх	məlx	<<--	
148	moon 	бутт	bu͡ʊtː	--	
149	star 	седа	sēdə	sēdər	
150	water 	хи	xɪ	x	
151	rain 	догӏа	doɣə	--	
152	river 	хи	xɪ	x <> shui	
153	lake 	ӏам	ʡəm	maim	
154	sea	xӏорд	xʡord	<<	
155	salt 	туьха	tyxə	txal	
156	stone 				
157	sand 	гӏум	ɣu͡ʊm	gsamt	
158	dust 	чан	t͡ʃən	<>	
159	earth	латта	lətːə	µata латта Land	
160	cloud 	марха	mərxə	--	
161	fog 	дохк	doxk	dust	
162	sky 	стигал	stɪɡəl	steig?	
163	wind	мох	mox	--	
164	snow 	ло	lo	long	
165	ice 	ша	ʃə	~	
166	smoke 	кӏур	kʼu͡ʊr	@kur	
167	fire 	цӏе	t͡sʼe	thyssen 	
168	ash 	чим	t͡ʃɪm		
169	burn	даго	dəɡo		
170	road 	урам	u͡ʊrəm	ur	
171	mountain 	лам	ləm	??	
172	red 	цӏен	t͡sʼēn	--?	
173	green 	баьццара	bæt͡sːərə	--?	
174	yellow 	можа	mōʒə	--?	
175	white 	кӏайн	kʼəjn	Kain vs Alba	
176	black 	ӏаьржа	ʡærʒə	ʡærʒə schwärze	
177	night 	буьйса	byːsə	?	
178	day	де	de	day	
179	year 	шо	ʃo	sun	
180	warm	довха	dɔ͡ʊxə	Dusche	
181	cold	шийла	ʃɪɪ̆lə	chill	
182	full 	дуьзна	dyznə		
183	new 	керла	kerlə	<	
184	old 	къена	qʼenə	<<	
185	good 	дика	dɪkə	d-g / good	
186	bad 	вон	von	vain, ba.on	
187	rotten				
188	dirty 	боьха	bø̄xə		
189	straight 				
190	round 	горга	ɡorɡə	circ! gyroge	
191	sharp	ира	ɪrə		
192	dull				
193	smooth 	шера	ʃērə		
194	wet 	тӏеда	tʼēdə	-- twet	
195	dry	eкъа	eqʼə		
196	right	аьтту	ætːu͡ʊ		
197	near 	гергара	ɡerɡərə	circa	
198	far 	гена	ɡenə	gone	
199	right	аьтту	ætːu͡ʊ		
200	left	аьрру	ærːu͡ʊ̄		
201	at 				
202	in 				
203	with				
204	and 	a	a	a.	
205	if 				
206	because 				
207	name 	цӏе	t͡sʼe	at@turk	
