№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
1,I ,"我, 余, 予, 俺 ","Wǒ , yú, yǔ, ǎn",yo  je wo wir ich anI,一yī  ,我 ,我,personal pronoun ,uɔ˨˩˦ ,我,,,,,,,,,,,,,,,
2,you(singular) ,"你 ,侬,尔,台, 钧","nǐ, er, taí, jūn","Ni(2), Herr, Thy, you.an",informal,ニni,你 ,personal pronoun ,ni˨˩˦ ,你 ,nín ,nin˧˥ ,polite ,您 ,您,,,,,,,,,,
3,"She, he ","他, 伊 ","tā, yī","Ta, the, he",三 than 四 she ,他 ,他,personal pronoun ,tʰa˥˥ ,,,,,,,,,,,,,,,,
4,we ,我们,wǒmen ,wir+𓈖,五 wu,我們 ,我们,personal pronoun ,uɔ˨˩mən ,,,,,,,,,,,,,,,,
5,you(plural) ,你们,nǐmen ,,informal ,你們 ,你们,personal pronoun ,ni˨˩mən ,nín ,nin˧˥ ,polite ,您 ,您,,,,,,,,,,,
6,they ,他们 tāmen ,tāmen ,them+𓈖,human,他們 ,他们 tāmen ,personal pronoun ,tʰa˥˥mən ,tʰa˥˥mən ,female human ,她們 ,她们 tāmen ,tʰa˥˥mən ,non-human ,它們 ,它们,,,,,,,,
7,this ,这 zhèi ,zhè ,ce,++,這 ,这 zhèi ,demonstrative pronoun ,tʂɤ˥˩ ,tʂei˥˩ ,,這 ,这 zhège ,tʂɤ˥˩kə ,,這個 ,这个 zhèige ,tʂei˥˩kə ,,這個 ,这个,,,,
8,that ,那 nèi ,nà ,nahr 𓈖 𓆑 𓄿, nämlich,那 ,那 nèi ,demonstrative pronoun ,na˥˩ ,nei˥˩ ,,那 ,那 nàge ,na˥˩kə ,,那個 ,那个 nèige ,nei˥˩kə ,,那個 ,那个,,,,
9,here ,这里 zhèr ,zhèli ,zhere,,這裡 ,这里 zhèr ,demonstrative pronoun ,tʂɤ˥˩li ,tʂaɻ˥˩ ,Beijing accent ,這兒 ,这儿,,,,,,,,,,,,
10,there ,那里 nàr ,nàli ,nahr, nämlich,那裡 ,那里 nàr ,demonstrative pronoun ,na˥˩li ,naɻ˥˩ ,Beijing accent ,那兒 ,那儿,,,,,,,,,,,,
11,who ,谁 shuí ,shéi ,swhoi,,誰 ,谁 shuí ,interrogative ,ʂei˧˥ ,ʂuei˧˥ ,,誰 ,谁,,,,,,,,,,,,
12,what ,什么 nǎge ,shénme ,,如何 zěnme,甚麼 ,什么 nǎge ,interrogative ,ʂən˧˥mə ,na˨˩kə ,which ,哪個 ,哪个,,,,,,,,,,,,
13,where ,哪里 nǎr ,nǎli ,nahr, nämlich,哪裡 ,哪里 nǎr ,interrogative ,na˧˥li ,naɻ˨˩˦ ,Beijing accent ,哪兒 ,哪儿,,,,,,,,,,,,
14,when ,什么时候,shénmēshíhòu ,“?” zeihourt,what time,甚麼時候 ,什么时候,interrogative ,ʂən˧˥mə˥˥ʂʐ˧˥xou˥˩ ,,,,,,,,,,,,,,,,
15,how ,如何 zěnme ,rúhé ,,shénme ,如何 ,如何 zěnme ,interrogative ,ʐu˧˥xɤ˧˥ ,tsən˨˩mə ,informal ,怎麼 ,怎么 zěnyàng ,tsən˨˩iaŋ˥˩ ,in what way ,怎樣 ,怎样,,,,,,,,
16,not ,"不,    难","Bù,  bié, nan",bes- √nan:schwer,part b@russian,不 ,不 bié ,,pu˥˩ ,piɛ˧˥ ,do not (imperative) ,別 ,别 méi ,mei˧˥ ,does not have/did not ,沒 ,没,,,,,,,,
17,all ,全部 zhěng ,quánbù ,,所有 dōu :tout,全部 ,全部 zhěng ,quantifier ,tɕʰyɛn˧˥pu˥˩ ,tʂɤŋ˨˩˦ ,ex. all day ,整 ,整 suǒyǒu ,suɔ˧˥iou˨˩˦ ,ex. all cars ,所有 ,所有 dōu ,tou˥˥ ,ex. they all see it. ,都 ,都 yígòng ,ji˧˥kʊŋ˥˩ ,ex. how many in all? ,一共 ,一共
18,many ,多,duō ,2 too < 大,+-,多 ,多,quantifier ,tuɔ˥˥ ,,,,,,,,,,,,,,,,
19,some ,一些 jǐge ,yīxiē ,einige,+~~!?,一些 ,一些 jǐge ,quantifier ,ji˥˥ɕiɛ˥˥ ,tɕi˨˩kə ,,幾個 ,几个,,,,,,,,,,,,
20,few ,少,shǎo ,short,++,少 ,少,quantifier ,ʂɑu˨˩˦ ,,,,,,,,,,,,,,,,
21,other ,其他 biéde ,qítā ,2nd Bother qother,+<,其他 ,其他 biéde ,quantifier ,tɕʰi˧˥tʰa˥˥ ,piɛ˧˥tə ,,別的 ,别的,,,,,,,,,,,,
22,one ,一,yī ,eyin,++,一 ,一,cardinal number ,ji˥˥ ,,,,,,,,,,,,,,,,
23,two ,二 liǎng ,èr ,And.er? Du+du=ni-er,ニni,二 ,二 liǎng ,cardinal number ,ɑɻ˥˩ ,liɑŋ˨˩˦ ,,兩 ,两,,,,,,,,,,,,
24,three ,三,sān ,山 3 zone some?,,三 ,三,cardinal number ,san˥˥ ,,,,,,,,,,,,,,,,
25,four ,四,sì ,Cir <> arba,,四 ,四,cardinal number ,sɨ˥˩ ,,,,,,,,,,,,,,,,
26,five ,五,wǔ ,phu’ full,+,五 ,五,cardinal number ,wu˨˩˦ ,,,,,,,,,,,,,,,,
27,big ,大,dà ,dar™,™,大 ,大,adjective ,ta˥˩ ,,,,,,,,,,,,,,,,
28,long ,长,cháng ,stang,-,長 ,长,adjective ,tʂʰɑŋ˧˥ ,,,,,,,,,,,,,,,,
29,wide ,宽,kuān ,gvuang?,~-,寬 ,宽,adjective ,kʰuan˥˥ ,,,,,,,,,,,,,,,,
30,thick ,厚,hòu ,*ɡoːs huges,+--,厚 ,厚,adjective ,xou˥˩ ,,,,,,,,,,,,,,,,
31,heavy ,重,zhòng ,center dong,<,重 ,重,adjective ,tʂʊŋ˥˩ ,,,,,,,,,,,,,,,,
32,small ,小,xiǎo ,xmall,,小 ,小,adjective ,ɕiɑu˨˩˦ ,,,,,,,,,,,,,,,,
33,short ,短,duǎn ,¬duran tvan?,,短 ,短,adjective ,tuan˨˩˦ ,,,,,,,,,,,,,,,,
34,narrow ,窄,zhǎi ,Zhaik > Eck?,-,窄 ,窄,adjective ,tʂai˨˩˦ ,,,,,,,,,,,,,,,,
35,thin ,薄,báo ,poor,!,薄 ,薄,adjective ,pɑu˧˥ ,,,,,,,,,,,,,,,,
36,woman ,女人,nǚrén ,Anne,~+,女人 ,女人,noun ,ny˨˩ʐən˧˥ ,,,,,,,,,,,,,,,,
37,man(adult male) ,男人,nánrén ,man,++,男人 ,男人,noun ,nan˧˥ʐən˧˥ ,,,,,,,,,,,,,,,,
38,man(human being) ,人,rén ,Mauren (mouths!),+-,人 ,人,noun ,ʐən˧˥ ,,,,,,,,,,,,,,,,
39,child(a youth) ,孩子 értóng ,háizi ,,+~,孩子 ,孩子 értóng ,noun ,xai˧˥tsɨ ,ɑɻ˧˥tʰʊŋ˧˥ ,,兒童 ,儿童 xiǎohái ,ɕiɑu˨˩xai˧˥ ,,小孩 ,小孩,,,,,,,,
40,wife ,妻子 lǎopó ,qīzi ,,,妻子 ,妻子 lǎopó ,noun ,tɕʰi˥˥tsɨ ,lɑu˨˩pʰwɔ˧˥ ,informal ,老婆 ,老婆,,,,,,,,,,,,
