1	EYE	eye [[anatomy]]	Auge [[Anatomie]]	глаз [[анатомия]]	1248	EYE
2	EAR	ear [[anatomy]]	Ohr [[Anatomie]]	ухо [[анатомия]]	1247	EAR
3	NOSE	nose [[anatomy]]	Nase [[Anatomie]]	нос [[анатомия]]	1221	NOSE
4	MOUTH	mouth [[anatomy]]	Mund [[Anatomie]]	рот [[анатомия]]	674	MOUTH
5	TOOTH	tooth [EX:human incisor]	Zahn [BSP:menschlicher Schneidezahn]	зуб [НАПР:человека]	1380	TOOTH
6	TONGUE	tongue [[anatomy]]	Zunge [[Anatomie]]	язык [орган в полости рта]	1205	TONGUE
7	LIP	lip [[anatomy]]	Lippe [[Anatomie]]	губа [[анатомия]]	478	LIP
8	CHEEK	cheek [[anatomy]]	Wange [[Anatomie]]	щека [[анатомия]]	1730	CHEEK
9	FACE	face [of a human]	Gesicht [des Menschen]	лицо [человека]	1560	FACE
10	FOREHEAD	forehead [of a human]	Stirn [des Menschen]	лоб [человека]	123	FOREHEAD
11	HAIR	hair [of human head]	Haar [Kopfhaar des Menschen]	волос [на голове человека]	1040	HAIR
12	MOUSTACHE	moustache [of a man]	Schnurrbart [eines Mannes]	усы [мужчины]	1165	MOUSTACHE
13	BEARD	beard [generic]	Bart [allgemein]	борода [волосяной покров нижней части лица]	678	BEARD
14	CHIN	chin [[anatomy]]	Kinn [[Anatomie]]	подбородок [[анатомия]]	1510	CHIN
15	JAW	jaw [[anatomy]]	Kiefer[Anatomie] [[Anatomie]]	челюсть [[анатомия]]	798	JAW
16	THROAT	throat [from inside]	Kehle [Hals von innen]	горло [НАПР:полоскать горло]	1346	THROAT
17	NECK	neck [from outside]	Hals [Hals von außen	rundum]	1333	NECK
18	NAPE (OF NECK)	nape [back side of neck]	Genick [hinter Teil des Halses]	затылок [задняя часть головы]	1347	NAPE_(OF_NECK)
19	HEAD	head [EX:of a human]	Kopf [BSP:des Menschen]	голова [НАПР:человека]	1256	HEAD
20	BACK	back [of a human]	Rücken [des Menschen]	спина [человека]	1291	BACK
21	BELLY	belly [of a human]	Bauch [des Menschen]	живот [человека]	1251	BELLY
22	NAVEL	navel [[anatomy]]	Nabel [[Anatomie]]	пупок [[анатомия]]	1838	NAVEL
23	BREAST	bosom [female breast]	Busen [weibliche Brust]	грудь [женская грудь]	1402	BREAST
