No. 	English 		Elamite 	PIE,  SIGNS needed!  wrong: p?  PREDICTIONS: zí:cir?  šá+b?  ka=>c!		Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Elamite 	Elamite OK?	Brahui	Baluchi/Shind/Persian!!
1 	I 		u, hu	I ú yh icho wo     NOT DRAVIDIAN!	ok?	"(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 	𓍢 𓇋 , 𓏌𓎡𓍢 "	u, hu	✓	    ای/iː/	I, kan- egon 𓏌𓎡𓍢 
2 	you (singular) 		ni, nu	nǐ 你  an.tu, an.ku   আপনি  apni   •seine nämliche Sie<>they=ap	ok?	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥	ni, nu	✓	نی/niː/	nǐ 你
3 	he 		e	he	ok?	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖	e	✓	اوō	he, ho
4 	we 		ni-ka	nous •ni-ca	ok?	(𓈖𓏏) 𓈖𓏥 ನಾವು nāvu , 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥 మనము manamu	ni-ka	✓✓ nāṅkaḷ	nan	nous
5 	you (plural) 					(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤				
6 	they 		ap	"ambi <> em’  , bí @ Yeniseian  вни (vny) 	вони (vony) @ Slavic  ពួកគេ puək αυτοί < apthey"	--?	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥	ap	✓/2 aʋar		MOST words borrowed from 
7 	this 		hu, hi	hic	++	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖	hu, hi	✓ iː dhi	daː 	die (da)
8 	that 		ak-ka	hoc-que	++	𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,	ak-ka	✓ adga ~ adu	eː ~ heː (1) / oː	
9 	here 		a-ha, i-ma	𓉻 𓂝 𓈐	+++	𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐	a-ḫa, i-ma	✓ akhar ~ ikːaɽa		
