Nº 	English 	Etruscan 𐌑~com~𐌔𐌌 𐌐𐌅~qv/p	gloss h->ḫ	PIE		Hittite 𒉈𒅆𒇷 (nesili)	Luwian	w<>r n<>l ar<>ol	Lydian	Lycian 
1	I 	𐌌𐌉 	mi, iko	me, ego, icke	✓	ūk	(a)mu	ich		
2	you 	𐌅𐌍 ?  (pluralis majestatis?)	un, te	ƒn~thine, te	✓½?	zīk	tī	δichu, tī		
3	he 	𐌀𐌍 	an, ei, eis	on, eux, his, su	✓~	-as	-as, apās	his, ers𓂋! 		
4	we 	𐌌𐌉𐌓 	mir, sisi	mwir	✓ _	wēs	-	we 		
5	you (plural) 	𐌅𐌍 ? 	-	ƒn~thine sen <>		sumēs	-	∑ zusammen sen~Sein…		
6	they 	𐌄𐌉𐌍 	ein	on, 'em, 𓋴𓈖𓏥 (old o/𐌄/s)	!	-e	-ata, apinzi	'em		
7	this 	𐌂𐌀, 𐌕𐌀 	ca, ta, cal, ita, is		✓	kās	zās	quod		
8	that 	𐌂𐌀, 𐌕𐌀 	ca, ta, chi, chiane, te		✓	apās	apās	whos		
9	here 	𐌈𐌅𐌉 	thui, eko, hich, ic	there? ici	✓	kā	zāwi(n)	kheare		
10	there 	- 	eko, iue	ici	✓	apiya	-	--		
11	who 	- 	ki, ke, chiane	qui	✓	kuis	kuis	who.is		
12	what 	- 	ki, chiane	que	✓	kuit	kuī	whatr		
13	where 	- 	ca	qwo	✓	kuwapi	kuwar(i) (?)	--		
14	when 	- 	ke	quan'	✓	kuwapi	kuwati	quando (err)		
15	how 	𐌉𐌂, 𐌉𐌗, 𐌍𐌀𐌂, 𐌉𐌗𐌍𐌀𐌂 	ic, ich, nac, ichnac, ut	vque?	~	māhhan	-	manner		
16	not 	𐌄𐌉𐌍 	un… nai, ne, neip, ni	ain’ δεν	✓	𒈾𒀜𒋫 (natta)	nāwa	not, nada		
17	all 	𐌇𐌄𐌅𐌀 	heva	her, every LTR	<<++?	hūmantes	pūnatinzi, tanimminzi	human! Common		
18	many 	- 	-			mēkkies	-	much manche		
19	some 	- 	cei, ci, kuelk, pes	quelques!	✓	kuiesqa	-	--		
20	few 	- 	peo, po, poci	peu	✓	tēpawes	-	te.phew tantinet 		
21	other 		alis	allos	✓	damais	-	?  cetera 𓎡𓏏  /  𓎡𓇋𓇋𓂧𓆓		
22	one 	𐌈𐌅  {special orthography?}	thu 	solo? 𐌅𐌈 proto first erst~orbs	ﬀ?	*ās	-	eins		
23	two 	𐌆𐌀𐌋 	zal	zwei𐌋 zahl	✓	dān	-	duo		
24	three 	𐌂𐌉 	ci	three	✓	tēries	tarris	threeth		
25	four 	𐌑𐌀 ≠ 𔖻 mi  	śa, huth	sar~qar, vhurth µƒour	~	meyawes	māwinzi	ƒ		
26	five 	𐌌𐌀𐌗   	mach	Much, manch ;) µfive?	𔑁	-	-			
27	big 	- 	-			𒊩𒇷𒅖 (sallis)	urazzas	swell, (g)riese		
28	long 	- 	-			dalukis	ārrāyis	Dar-longis riesig		
29	wide 	- 	-			𒁄𒄭𒅖 (palḫis)	-	broardh, platt		
30	thick 	- 	-			-	-			
31	heavy 	- 	-			suwār.us, 𒈾𒀝𒆠𒅖 (nakkis)	suwārus, 𒆪𒉿𒀭𒍪𒍑 (kuwanzus)	schwer!		
32	small 	- 	minimo	mini	✓	kappis	-	pecunia		
33	short 	- 	-			manninkuwanz	mannakunas	manner.kurz!		
34	narrow 	- 	-			hatkus	-			
35	thin 	- 	-			maklanz	-			
36	woman 	𐌐𐌅𐌉𐌀 ? 	puia	fille	✓	*kuwanz	𒉿𒈾𒀜𒋾𒅖 (wanattis), 𒉿𒉿𒈾𒀸 (wānas)	queen, banat!		
37	man (adult male) 	- 	emenies	adaman	✓ <<+	𒁉𒌍𒈾𒀸 (pesnas) (gen. sg.)	𒍣𒋾𒅖 (zītis)	persona		
38	man (human being) 	- 	mech	Mensch	✓	antuhsas	𒍣𒋾𒅖 (zītis)	(m)andros		
39	child 	𐌇𐌅𐌔 	hus, hushur, hushiur	?? <<		hāssas	nimuwizas	Hasen!		
40	wife 	𐌐𐌅𐌉𐌀 	puia	𐌐𐌅𐌉𐌀 ~ wivea	✓	*kuwanz	-	queen		
41	husband 	- 	-			𒁉𒌍𒈾𒀸 (pesnas) (gen. sg.)	𒍣𒋾𒅖 (zītis)	persona		
42	mother 	𐌀𐌕𐌉 	ati	äiti 𐌰𐌹𐌸𐌴𐌹 Eide! Mutti 	✓	𒀭𒈾𒀸 (annas)	𒀀𒀭𒉌𒅖 (ānnis)	Ammen		
