Id	English (gloss)	Georgian language	PIE		IPA	
1	I (personal pronoun)	მე (me)	me		/mɛ/	
2	you (singular)	შენ (šen)	sein		/ʃɛn/	
3	he	ის (is)	his		/is/	
4	we	ჩვენ (čven)			/tʃvɛn/	
5	you (plural)	თქვენ (tkven)			/tʰkʰvɛn/	
6	they	ისინი (isini)	seini		/isini/	
7	this	ეს (es)	ce, ‘es		/ɛs/	
8	that	ის (is)	ci, ‘is		/is/	
9	here	აქ (ak)	aci		/ɑkʰ/	
10	there	იქ (ik)	ici		/ikʰ/	
11	who (interrogative)	ვინ (vin)	whon		/vin/	
12	what (interrogative)	რა (ra)	à?		/rɑ/	
13	where (interrogative, no movement)	სად (sad)	quod		/sɑd/	
14	when (interrogative)	როდის (rodis )	wro des		/rɔdis/	
15	how	როგორ (rogor )			/rɔɡɔr/	
16	not	არ (ar)	Nar > null  ar~la		/ɑr/	
17	all	ყველაფერი (q̇velaperi)	cvalle para?		/qʼvɛlɑpʰɛri/	
18	many	ბევრი (bevri)			/bɛvri/	
19	some	რამდენიმე (ramdenime)			/rɑmdɛnimɛ/	
20	few	ცოტა (coṭa)	Cute = little		/tsɔtʼɑ/	
21	other	სხვა (sxva)			/sxvɑ/	
22	one	ერთი (erti)	ferstyi		/ɛrtʰi/	
23	two	ორი (ori)	(to)er		/ɔri/	
24	three	სამი (sami)	san		/sɑmi/	
25	four	ოთხი (otxi)	si		/ɔtʰxi/	
26	five	ხუთი (xuti)	pxunti	+-	/xutʰi/	
27	big	დიდი (didi)	taida	++	/didi/	
28	long	გრძელი (grʒeli)	großelich!	+++	/ɡrdzɛli/	
29	wide	ფართო, განიერი (parto, ganieri)	part	~	/pʰɑrtʰɔ/, /ɡɑniɛri/	
30	thick	სქელი (skeli)			/skʰɛli/	
31	heavy	მძიმე (mʒime)			/mdzimɛ/	
32	small	პატარა (ṗaṭara)	petit		/pʼɑtʼɑrɑ/	
33	short	მოკლე (moḳle)			/mɔkʼlɛ/	
34	narrow	ვიწრო (vic̣ro)	mvicro?		/vitsʼrɔ/	
35	thin	თხელი (txeli)			/tʰxɛli/	
36	woman	ქალი (kali)	Kall girl		/kʰɑli/	
37	man (adult male)	კაცი (ḳaci)			/kʼɑtsi/	
38	man (human being)	ადამიანი (adamiani)			/ɑdɑmiɑni/	
39	child	ბავშვი (bavšvi)			/bɑvʃvi/	
40	wife	ცოლი (coli)	^^		/tsɔli/	
41	husband	ქმარი (kmari)	mari		/kʰmɑri/	
42	mother	დედა (deda)		;)	/dɛdɑ/	
43	father	მამა (mama)		;)	/mɑmɑ/	
44	animal	ცხოველი (cxoveli)			/tsxɔvɛli/	
45	fish	თევზი (tevzi)			/tʰɛvzi/	
46	bird	ჩიტი (čiṭi)	tweety@	+<	/tʃitʼi/	
47	dog	ძაღლი (ʒaɣli)	jackal	++	/dzɑɣli/	
48	louse	ტილი (ṭili)			/tʼili/	
49	snake	გველი (gveli)	𓋴 𓍋 𓃀 𓏏 𓆙  GVL<KUR	++-	/ɡvɛli/	kar@Mayan Kača,kígyó@SLAVIC,Ural ýylan@Turk
50	worm	ჭია (č̣ia)	Serpent kria 𓆓 𓂧 𓆑 𓏏 𓆙  𓆑	+	/tʃʼiɑ/	
51	tree	ხე (xe)	ke		/xɛ/	
52	forest	ტყე (ṭq̇e)	trees		/tʼqʼɛ/	
53	stick	ჯოხი (ǯoxi)			/dʒɔxi/	
54	fruit	ხილი (xili)	chilli, xil,xir,kir,guor,qi(ball)	+<	/xili/	
55	seed	თესლი (tesli)			/tʰɛsli/	
56	leaf	ფოთოლი (potoli)			/pʰɔtʰɔli/	
57	root	ფესვი (pesvi)			/pʰɛsvi/	
58	bark (of a tree)	ქერქი (kerki)	kark=bark	+++	/kʰɛrkʰi/	
59	flower	ყვავილი (q̇vavili)	lily?		/qʼvɑvili/	
60	grass	ბალახი (balaxi)		<	/bɑlɑxi/	
61	rope	თოკი (toḳi)	tech	+++<	/tʰɔkʼi/	
62	skin	კანი (ḳani)	carne, khrom	++	/kʼɑni/	
63	meat	ხორცი (xorci)	gorki@Kor		/xɔrtsi/	
64	blood	სისხლი (sisxli)	xue	<<	/sisxli/	
65	bone	ძვალი (ʒvali)			/dzvɑli/	
66	fat (noun)	ქონი, ცხიმი (koni, cximi)			/kʰɔni/, /tsximi/	
67	egg	კვერცხი (ḳvercxi)			/kʼvɛrtsxi/	
68	horn	რქა (rka)	rkorn		/rkʰɑ/	
69	tail	კუდი (ḳudi)	cute	<	/kʼudi/	
70	feather	ფრთა (prta)		+++	/pʰrtʰɑ/	
71	hair	თმა (tma)	tü.ma <> Matte, Tollem	++?	/tʰmɑ/	かみ kami
72	head	თავი (tavi)	top	+++	/tʰɑvi/	
73	ear	ყური (q̇uri)	qhear	+++	/qʼuri/	
74	eye	თვალი (tvali)	tāwīs@luwian		/tʰvɑli/	
75	nose	ცხვირი (cxviri)	^^ q’nosva	- / ++	/tsxviri/	
76	mouth	პირი (ṗiri)	li’pore 𓊪𓂋	+!<	/pʼiri/	
77	tooth	კბილი (ḳbili)			/kʼbili/	
78	tongue (organ)	ენა (ena)	unge		/ɛnɑ/	
79	fingernail	ფრჩხილი (prčxili)			/pʰrtʃxili/	
80	foot	ტერფი (ṭerpi)	tier.ped	+++	/tʼɛrpʰi/	
81	leg	ფეხი (pexi)	pe*	+++	/pʰɛxi/	
82	knee	მუხლი (muxli)	𓌳 𓄿 𓊨 𓏏 𓂾	!<<<	/muxli/	
83	hand	ხელი (xeli)	kelle?	--	/xɛli/	
84	wing	ფრთა (prta)		+++	/pʰrtʰɑ/	
85	belly	მუცელი (muceli)	𓏇		/mutsɛli/	
86	guts	ნაწლავი (nac̣lavi)	内nèi inner 	++	/nɑtsʼlɑvi/	
87	neck	კისერი (ḳiseri)			/kʼisɛri/	
88	back	ზურგი (zurgi)	≠gurgel		/zurɡi/	
89	breast	მკერდი (mḳerdi)			/mkʼɛrdi/	
90	heart	გული (guli)	guli<coeur	+-	/ɡuli/	
91	liver	ღვიძლი (ɣviʒli)	vita	+?	/ɣvidzli/	
92	to drink	სმა (sma)	ĕçме kumwa 𓋴𓅨𓂋	+	/smɑ/	
93	to eat	ჭამა (č̣ama)	khamm carne	+-?	/tʃʼɑmɑ/	
94	to bite	კბენა (ḳbena)			/kʼbɛnɑ/	
95	to suck	წოვა (c̣ova)	saug	~	/tsʼɔvɑ/	
96	to spit	ფურთხვა (purtxva)	𓊪 𓊃 𓎼 𓄑 𓀁		/pʰurtʰxvɑ/	
