Id	English (gloss)	Georgian language x=kh!	EG	PIE		IPA	Gothic 	Turkmen 	Aryan
1	I (personal pronoun)	მე (me)	𓅱 𓀼	me < mon <> we/wo(man)	+++	/mɛ/	𐌹𐌺 (ik) 	men 	man Mein 🗸 Ich bin, me, am
2	you (singular)	შენ (šen)	𓏏𓈖 	tən/sen sie(n)	++	/ʃɛn/	𐌸𐌿 (þu(n/s)) 	sen 	Sie seien 🗸 Thy🗸 Seine Hoheit 🗸
3	he	ის (is)	𓋴 	his/su	+++	/is/	𐌹𐍃 (is) 	ol 	er, el 🗸 < welcher wer 
4	we	ჩვენ (čven)	水𓈖𓏤𓏤𓏤	egwon ʃ’wenu   Ich.we.nous ;)	++	/tʃvɛn/	𐍅𐌴𐌹𐍃 (weis) (plural)	biz 	we’s, wir  
5	you (plural)	თქვენ (tkven)	𓎡𓈖𓏤𓏤𓏤 	tcyoun 	++++	/tʰkʰvɛn/	𐌾𐌿𐍃 (jus) (plural)	siz 	Sies
6	they	ისინი (isini)	𓋴𓈖𓏤𓏤𓏤	sein a’them 	+++	/isini/	𐌴𐌹𐍃 (eis) / 𐌹𐌾𐌰 (ija) / 𐌹𐌾𐍉𐍃 (ijōs) 	olar 	’leur (French) -lar (Hungarian plural)
7	this	ეს (es)	𓋴  |  𓇑𓇑	‘es 𓏏𓄿 ce	+++	/ɛs/	𐍃𐌰 (sa) / 𐌸𐌰𐍄𐌰 (þata) / 𐍃𐍉 (sō) 	bu 	𓃀𓍢 / 𓊪𓏲  ɑpʰ @Caucasian  𓃀 𐌸𐌰𐍄𐌰 þata !
8	that	ის (is)	𓋴 	‘is  ci	+++	/is/	𐍃𐌰 (sa) / 𐌸𐌰𐍄𐌰 (þata) / 𐍃𐍉 (sō) 	şu, şol 	ce, el < şol solch <> such
9	here	აქ (ak)	𓇑 | 𓉻 𓂝 𓈐	aci  屮chè		/ɑkʰ/	𐌷𐌴𐍂 (hēr) 	şu taýda, onda, bäri 	ce da, in da, bhere, mana (at hand)
10	there	იქ (ik)	𓇑 | 𓉻 𓂝 𓈐	ici		/ikʰ/	𐌸𐌰𐍂 (þar) 	ol ýerde, o taýda 	al here.da, au thereda
11	who (interrogative)	ვინ (vin)	𓊪 𓈖	whon	++	/vin/	𐍈𐌰𐍃 (ƕas) / 𐍈𐍉 (ƕō) 	kim 	Quem! 🗸
12	what (interrogative)	რა (ra)	𓐍 𓏮 ~ 𐍈𐌰	𐍈à => quai 𓊖		/rɑ/	𐍈𐌰 (ƕa) 	näme 	哪 nam: nämlich → NA 哪 MA מה 𓅓
13	where (interrogative, no movement)	სად (sad)	𓍿 𓈖 𓌙 𓅯	sãd cãd δãd < donde		/sɑd/	𐍈𐌰𐍂 (ƕar) 	nirede 	哪 que.here! Nar.at Near.da
14	when (interrogative)	როდის (rodis )	𓐍 𓏏 𓆑 ~ 𐍈…	𓐍 𐍈wro daysn 𓏏𓆑		/rɔdis/	𐍈𐌰𐌽 (ƕan) 	haçan 	哪 que.han ~ quand!
15	how	როგორ (rogor )	𓐍 𓏮 𓐪 𓂧 𓂂 𓏛 	𐍈𐌰𐌹𐍅𐌰 <> roga = frage (interrogate)	!	/rɔɡɔr/	𐍈𐌰𐌹𐍅𐌰 (ƕaiwa) 	necə, nətər 	哪 que.men ~ comme! na.com
16	not	არ (ar)	𓂜 	nir never > null  ar~la a¬	+	/ɑr/	𐌽𐌹 (ni) 	däl 	 𓂜 den don't
