No. 	English 	Hindi हिन्दी	PIE	ता<sT		
1	I 	मैं (ma͠i)	me, moi			
2	you (singular) 	तू (tū) (polite)	tu			
3	he 	वह (vah)				
4	we 	हम (ham)	<3			
5	you (plural) 	तुम (tum) (polite)				
6	they 	वे (ve)				
7	this 	यह (yah)				
8	that 	वह (vah)				
9	here 	यहाँ (yahā̃)				
10	there 	वहाँ (vahā̃)				
11	who 	कौन (kaun)	qvu			
12	what 	क्या (kyā)	qya			
13	where 	कहाँ (kahā̃)				
14	when 	कब (kab)				
15	how 	कैसा (kaisā)	que ca			
16	not 	नहीं (nahī̃)	noi			
17	all 	सब (sab), सभी (sabhī)				
18	many 	बहुत (bahut)	beaucut			
19	some 	कुछ (kuch)				
20	few 	थोड़ा (thoṛā)				
21	other 	दूसरा (dūsrā)	2ra others			
22	one 	एक (ek)	1			
23	two 	दो (do)	2			
24	three 	तीन (tīn)	threen san			
25	four 	चार (cār)				
26	five 	पाँच (pā̃c)				
27	big 	बड़ा (baṛā)				
28	long 	लम्बा (lambā)	longa			
29	wide 	चौड़ा (cauṛā)	!			
30	thick 	गाढ़ा (gāṛhā)				
31	heavy 	भारी (bhārī)	baryo			
32	small 	छोटा (choṭā)	short			
33	short 	छोटा (choṭā)	short			
34	narrow 	तंग (taṅg)	too’eng			
35	thin 	पतला (patlā)	platt			
36	woman 	औरत (aurat)	(qw)horat	- T		
37	man (adult male) 	आदमी (ādmī)	adaman	'admin’		
38	man (human being) 	इंसान (insān)	Insane = person	@Pers	1’son	
39	child 	बच्चा (baccā)	boys bursche puer			
40	wife 	पत्नी (patnī)	part.IN	NU feminine		
41	husband 	पति (pati)	part			
42	mother 	माता (mātā)	mata			
43	father 	पिता (pitā)	pata			
44	animal 	जानवर (jānvar)	жаныбар (canıbar)	<<	جانور • jânvar	carnivore?
45	fish 	मछली (machlī)	mar.tier	<<	मत्स्य (mátsya)	
46	bird 	चिड़िया (ciṛiyā)	Tier=bird			
47	dog 	कुत्ता (kuttā)	cute kuon kHund			
48	louse 	जूँ (jū̃)	< यूक (yūka) ~ louse			
49	snake 	साँप (sā̃p)	serpent			
50	worm 	कीड़ा (kīṛā)	kirsch kwurm!	++		
51	tree 	पेड़ (peṛ)	perma boreal	<< +++		
52	forest 	जंगल (jaṅgal)	jungle	<3		
53	stick 	डण्डा (ḍaṇḍā)				
54	fruit 	फल (phal)	Fall Frucht פְּרִי‎ (pri)			
55	seed 	बीज (bīj)	??		peach?	
56	leaf 	पत्ता (pattā)	Blatt			
57	root 	जड़ (jaṛ)	<karoot! Korzeń kwurzeln	!!!	جدر‎  (jder) !	ریشه‎ (fa) (riše)
58	bark (of a tree) 	छाल (chāl)	kar@slav			
59	flower 	फूल (phūl)	flower			
60	grass 	घास (ghās)	grass			
61	rope 	रस्सी (rassī)	!<			
62	skin 	त्वचा (tvacā)				
63	meat 	माँस (mā̃s)	meath			
64	blood 	ख़ून (xūn)	@china			
65	bone 	हड्डी (haḍḍī)	अस्थि (asthi) hosteo cut?	<<		
66	fat (noun) 	चरबी (carbī)	/= Carbs :(			
67	egg 	अंडा (aṇḍā)	ant Ent dan	! 		
68	horn 	सींग (sīṅg)	sing! শিং (xiṅ)	<<		
69	tail 	पूँछ (pū̃ch)	Pushel :)			
70	feather 	पंख (paṅkh)	Wingh funky pa… पक्ष (pakṣá)			
71	hair 	बाल (bāl)	Ball ^^			
72	head 	सर (sar)	शिर śir	<<		
73	ear 	कान (kān)	sense?			
74	eye 	आँख (ā̃kh)	Aug			
75	nose 	नाक (nāk)	nace nase			
76	mouth 	मुँह (mũh)	mouth Mund			
77	tooth 	दाँत (dā̃t)	dent			
78	tongue (organ) 	जीभ (jībh)				
79	fingernail 	नाख़ुन (nāxun)	naguln			
80	foot 	पैर (pair)	pair of pedes		-r plural	
81	leg 	टांग (ṭāṅg)	टङ्का (ṭaṅkā)		Austroasiatic Munda	
82	knee 	घुटना (ghuṭnā)	~ !			
83	hand 	हाथ (hāth)	Hand			
84	wing 	पंख (paṅkh)	wingh			
85	belly 	पेट (peṭ)?	pot belly @SEM			
86	guts 	अंतड़ी (antṛī)	Indoor = Interior  ++	<>	guts~cows	
87	neck 	गरदन (gardan)	گردن‎ (gardan) Gurt?			
88	back 	पीठ (pīṭh)	𓍕 𓄦 𓄪 𓐟 pish sophea		 𓋴𓐟𓄿𓍿𓊠 shâphoina 	
89	breast 	छाती (chātī)	chest			
90	heart 	"दिल (dil) कलेजा (kalejā) (also ""heart"")"	Teil? < हृदय hṛ́daya Herz zərədā 	…		
91	liver 	"जिगर (jigar), कलेजा (kalejā) (also ""heart"")"				
92	to drink 	पीना (pīnā)	pint boire			
93	to eat 	खाना (khānā)	kauen consume			
94	to bite 	काटना (kāṭnā)	cut 			
95	to suck 	चूसना (cūsnā)				
96	to spit 	थूकना (thūknā)				
97	to vomit 	उल्टी करना (ulṭī karnā)				
98	to blow 	फूँक मारना (phū̃k mārnā)	pust@Meer			
99	to breathe 	साँस लेना (sā̃s lenā)				
100	to laugh 	हँसना (hãsnā)				
101	to see 	देखना (dekhnā)				
102	to hear 	सुनना (sunnā)	sense! Sinnen	++		
103	to know 	जानना (jānnā)	!!			
104	to think 	सोचना (socnā)	~			
105	to smell 	सूंघना (sūṅghnā)				
106	to fear 	(से) डरना ((se) ḍarnā)	<<			
107	to sleep 	सोना (sonā)	a’Schnax			
108	to live 	जीना (jīnā)	!! GENE			
109	to die 	मरना (marnā)	MORt			
110	to kill 	मारना (mārnā)	MORd			
111	to fight 	लड़ना (laṛnā)	learn;)			
112	to hunt 	शिकार करना (śikār karnā)				
