 	English 	Korean 한국어 (Hangugeo) 	IPA 	Transcription	Kor PIE			
1	I 	나, 저 ,  나이 (nai, “I”).	nɑ, t͡ɕ⁽ʰʌ 	na, jeo (humble)	Moi, ana(I) je yo!   	++	<>  나 nae=IN…ternal!	
2	you (singular) 	너, 니 	nʌ, ni 	neo, ni (familiar)	nyou, youne ? n?(n) qeDu!	++		
3	he 	그 	k⁽ʰɯ̽ 	geu	Ce / qhe	+-		
4	we 	우리, 저희 	uɾi, t͡ɕ⁽ʰʌhɰi 	uri, jeohui (humble)	uri vri wir 2 ? 	++		
5	you (plural) 	너희 	nʌhɰi 	neohui (familiar)	Nyou ? dyou  	++		
6	they 	그들 	k⁽ʰɯ̽dɯ̽l 	geudeul	ceux dual < -der	+-		
7	this 	이 	i 	i	(th)ee, a, a=1, a=the	++		
8	that 	그, 저 	k⁽ʰɯ̽, t͡ɕ⁽ʰʌ 	geu (medial), jeo (distal)	ceu	++		
9	here 	여기, 이곳 	jʌgi, igot ̚ 	yeogi, igot	ICI	+++		
10	there 	거기, 저기, 그곳, 저곳 	k⁽ʰʌgi 	geogi, jeogi, geugot, jeogot	Gegen � ghere.gi	+-		
11	who 	누구, 누가 	nugu, nugɑ 	nugu, nuga (nominative)	nwho, na ge			
12	what 	무엇, 무슨, 뭐 		mueot, mweo	Mwhat ++     	+++	? mbu mpu!!!! ? ?  b� 	
13	where 	어디 	ʌdi 	eodi	wodenn?  	++	da=locative	
14	when 	언제 		eonje	whencje, once 	++++		
15	how 	어떻게, 어찌 		eotteoke	What que / howge / Howii 	+++		
16	not 	아니, 안 	ɑni, ɑn 	ani, an	ani! un- oops	+++		
17	all 	모든, 모두 	modɯ̽n, modu 	[adj.] modeun, [adv.] modu	Tout-de Monde! Much 	+++		
18	many 	많은 	manɦɯ̽n 	maneun	many   	++++	item: ? mok/mog/mauge?!	
19	some 	어떤, 조금 	ʌt͈ʌn, t͡ɕ⁽ʰ⁾ogɯ̽m 	eotteon, jogeum	Etwan ~ etwas &1 einwen.ig	+++		
20	few 	조금 	t͡ɕ⁽ʰ⁾ogɯ̽m 	jogeum	some	++		
21	other 	다른 	dɑɾɯ̽n 	dareun	Anderen = an.dareun	++++		
22	one 	하나, 한 	hɑnɑ, hɑn 	hana, han	hone 1ten ??  Hain, 1 ? il,el,erst   b?yu�n ?? manja mono = 1st 	++++		
23	two 	둘, 두 	dul, du 	dul, du	duo	++++		
24	three 	셋, 세 	set ̚, se 	set, se	Se > san	++++		
25	four 	넷, 네 	net ̚, ne 	net, ne	Nau : nnya ,nil, nee ,ine �	+++!		
26	five 	다섯 	dɑsʌt ̚ 	daseot	2+3 	<<<		
27	big 	큰, 크다 	kʰɯ̽n, kʰɯ̽dɑ 	keun, keuda	kühn  keuda<kur.da 大	+++		
28	long 	긴, 길다 	gin, gildɑ 	gilda	goliath 길다 groß giň@turk	+++	Giň <> thin 긴, 얇다 !	
29	wide 	넓음 		neolbeum	nulpe;) ? ^^		nobel=high	
30	thick 	두꺼움 		dukkeopda	dick.um! Dickkopp;)	++++		
31	heavy 	무거움 		mugeopda	mugho!	++++		
32	small 	작다 		jakda	Cjak.de 的 cük@Turk 𓅱	+++		
33	short 	짧다 		jjalda	skalda ~ shorte / sHalb 	+++<		
34	narrow 	좁다 		jopda	chopped	+++		
35	thin 	얇다 		yalda	yHalb, gelb!	+++		
36	woman 	여자 계집 갓 		yeoja (女子, Sino-Korean), gyejip (obsolete, derogatory nowadays), gat (archaic)	gyne! Gat.tin!!  ? AM= femme/female	+++		
37	man (adult male) 	남자, 사나이 		sanai, namja (男子, Sino-Korean),	senior, saram!	+++		
38	man (human being) 	사람 		saram	Sir.1, nam~man!			
39	child 	어린이, 아이, 애 		eorini, ai, ae	Orini : chai�reni    ?? h�izi  AI ? 	++++		
40	wife 	아내, 마누라 		anae, manura	Anne�  Man-Hure�	+++!		
41	husband 	지아비,샤옹, 남편 		jiabi (archaic), syaong (obsolete), nampyeon (南便, Sino-Korean),	se�ior, mnamn.piond hus.band	+++<		
42	mother 	어머니, 엄마 		eomeoni, eomma	Meine (s)Ymone = Mama Ymma!	+++<		
43	father 	아버지, 아빠 		abeoji, appa	(p)appa, Abbe	+++		
44	animal 	짐승, 		jimseung (←衆生) (Sino-Korean origin)	sym.zoong  ?? ??  �Chimpsung�	++++	 �Simpson� ;)	
45	fish 	물고기 		mulgogi	? (mul ?) +? ?? (cooki, �meat�). 	++!		
46	bird 	새 		sae	Tier 	++!<>	Tori tyr *?atar txori ?????? tchirp ????, ??????  ?ayr	
47	dog 	개 		gae	kuon, kalib kläff	++++		
48	louse 	이 		i	IH < fly	;)		
49	snake 	뱀 		baem	Phaem@Baum phoenx fangs Pamela?	<<<		
50	worm 	벌레 		beolle	<ver@ball	++?		
51	tree 	나무 		namu	1木 namwood QED 	++-?	nadel wald?	
52	forest 	숲 		sup	Cypress = 숲 𓏥	+++		
53	stick 	막대기 		makdaegi	matchDaggir  Ma.sticki!   矛木末	++<	矛	
54	fruit 	과일, 열매 		yeolmae, yeoreum (dialect)	Almar 🍎 果구⛒ guorum? < gorod/Kugel   2. pota!	++<	malve	
55	seed 	씨 		ssi	Ssieed	+++	sesame	
56	leaf 	잎 		ip	al’iph leaf / Lippe	+++?		
57	root 	뿌리 		ppuri	buried?  Pure:green	++<?		
58	bark (of a tree) 	나무껍질 		namukkeopjil	?cover ????! ? *karbarken ? 	---	kawa@Jap!	
59	flower 	꽃 	k͈ot 	kkot	kotch <> kirsch?  Apricot	?		
60	grass 	풀, 잔디 		pul ('plant'), jandi ('lawn')	Pul:plant +++  jandi~lawn  jaun:gelb-gr�n	+++?		
61	rope 	밧줄 		batjul	Bandel!	+++		
62	skin 	살갗 		salgat	Ciel < del < der  Suk?n@Manchu! <> meat!!	>>		
63	meat 	살, 고기 		sal, gogi	cooki, gockel <> salt!	++--		
64	blood 	피 		pi	piheullida = to bleed, pee.let	++++		
65	bone 	뼈 		ppyeo	Ppyeone ~ bone (hone@JP)	++++		
66	fat (noun) 	기름 		gireum	yoghur!  Gyro:dreh?	<<<		
67	egg 	알 		al	Eil / alg < yolk! eagle?	+++		
68	horn 	뿔 		ppul	pull@bull     ? B?l ? b?l < ? b? Bar +++	+++	? (?, gak) Ecke	
69	tail 	꼬리 		kkori	*copra : chupa cori~tail / horn	+++!!<<	??? skworli   swirl;)  	
70	feather 	깃털 		gitteol	Gefieder Tolle<Tail!  	+++-<<		
71	hair 	털, 터럭 		teol, teoreok	Tolle<Teil tragen	++-		
72	head 	머리, 대가리 		meori, daegari	?? m�oRis=reason  ? mat/mhead! 2. Dachar ? d� ?	++++	? t�ish ? t�i deckel  	
73	ear 	귀 		gwi	Gwear / dhear! ++   ?? gwittae:sprout <> voitze@SEM!	??	내이 = inner ear  (in-ear -)	
74	eye 	눈 		nun	? nwun < mvoyen!   ??  m�y?n   ? mok/mog/mauge?!	+--		
75	nose 	코 		ko	cone[s] 𒁹	++?		
76	mouth 	입 		ip	al’iph Lippe <> leaf잎 	+++		
77	tooth 	이, 이빨 		i, ippal (as of animals)	yáw  牙 Ivory ~ ippal 	+++		
78	tongue (organ) 	혀, 쎄 		hyeo, sse (dialect)	Hyeo < zhyeong  < ? sh�	++--�		
79	fingernail 	손톱 		sontop	Zehnagel Zehen.top++ 10 (z)ain ? 	+-		
80	foot 	발 		bal	Ballen	+++		
81	leg 	다리 		dari	darich~direc(tion),reg	?--�		
82	knee 	무릎 		mureup	? ? ?? ogeum < gon : Knie-Kehle	<<<		
83	hand 	손 		son	手shǒun.de	++-		
84	wing 	날개 		nalgae	𓂜날=fly	???		
85	belly 	배 		bae	belly+	++� 		
86	guts 	애 		ae	Inner < 배 ^^	^^		
87	neck 	목 		mok	mneck	+++~	?? gogae: Gurgel	
88	back 	등 		deung	dumo@Romani dangle dongxi 	?		
89	breast 	가슴 		gaseum	~ chest	+~-		
90	heart 	염통, 심장 		yeomtong, simjang (心臟, Sino-Korean)	Soma ? sim=xin! 心 𓄣𓄥𓄤 soma	++/		
91	liver 	간, 애 		gan (肝, Sino-Korean), ae (archaic, obsolete)	gen/san ^^	+++-		
92	to drink 	마시다 		masida	Mwasser  : mizu@JP 	+++-	???? mizu=lake@Korean	
93	to eat 	먹다 		meokda	messe, möge, mange	++-		
94	to bite 	물다 		mulda	maul!	++!		
95	to suck 	빨다 		ppalda	Pull -DA = TO/DO !	++++		
96	to spit 	(침)뱉다 		(chim)baetda	(s)pit	+++!		
97	to vomit 	게우다 		ge'uda	< kaywota = kotze!	+++!		
98	to blow 	불다 		bulda	blow.do	++~		
99	to breathe 	(숨)쉬다 		(sum)swida	Sym.sweat  ? Sum:seien! ?!	++?<		
100	to laugh 	웃다 		utda	to 웃 wus <> wut?			
101	to see 	보다 	bodɑ 	boda	photo voy.do = video 	++-!!!!!!!	?? 0. com.puta 1. plus-de=more 2. pota=can! 3.petition!!	
102	to hear 	듣다 		deutda	Deuten, dhear!	+++!		
103	to know 	알다 	ɑlda 	alda	Alter, hold, bilden@Turk!	+++		
104	to think 	헤아리다, 생각하다 		hearida, saenggakhada	~think (-kardan)	+++~		
105	smell (noun) 	냄새 		naemsae	smell	~~		
106	fear (noun) 	두려움, 무서움 		duryeoum, museoum	Maus;) <> Tot			
107	to sleep 	자다 	t͡ɕ⁽ʰ⁾ada 	jada	shut(eyes/down)@shade  schade 	++?		
108	to live 	살다 	s⁽ʰ⁾ɑldɑ 	salda	生𓋹 san/salive!	++-		
109	to die 	죽다, 디지다 (사투리) 		jukda, dijida (dialect)	Diji- ~ DIE!!  ~ djug ? :	+++ ?		
110	to kill 	죽이다 		jugida	jaguar�  kjill ?? kill/stab	++?		
111	to fight 	싸우다 		ssauda	Schauder <>sillqi, zick, たたかう tatakau			
112	to hunt 	사냥하다 		sanyang-hada (←山行 shānxíng) 	shunting!	++++<		
113	to hit 	치다, 때리다 		chida, ttaerida	c’Hit  < chi.da	+++		
114	to cut 	베다, 자르다 		beda, jareuda	Beda ~ 2 parte!   Jar/jal <<<	+++<<		
115	to split 	갈라지다, 가르다 		gallajida (v.i.), gareuda (v.t.)	Gwar-  < gpar!			
116	to stab 	찌르다 		jjireuda	kjill ?? kill! jir~ger ?? g�r !!	+++<		
117	to scratch 	비비다, 긁다 		bibida, geukda	chalkwi ?  bibida<beda:part	++<		
118	to dig 	파다 		pada	(s)paten < parte	+++<		
119	to swim 	헤엄치다 		heeomchida	swim.suita < shui.muci.da=to water 	++++?<		
120	to fly 	날다 		nalda	𓂜 wing 날개   nil=par 4=4	𓂜?	???? (nolta).	
121	to walk 	걷다 		geotda	geht,goeth,git@Turk	+++++		
122	to come 	오다 		oda	(c)o.mak	++�		
123	to lie (as in a bed) 	눕다 		nupda	nap@nupt=night	++++		
124	to sit 	앉다 		antta	ante@hintern <> stand	+++?		
125	to stand 	서다 		seoda[n]	Steh ^^	+++<		
126	to turn (intransitive) 	돌다 		dolda	dor ~ turn	+++~		
127	to fall 	떨어지다 	ᄠᅥ러디다 	Tteoreojida < pteletita	Podar > ptall > fall , পড়া pôṛa padati QED	+++<!!		
128	to give 	주다 		juda	yod@SEM <> gut	+++		
129	to hold 	잡다, 붙잡다 		japda, butjapda	^^ jab@yad < gab butja~fassen@Luwian?	++^		
130	to squeeze 	짜다 		jjada	squeeza ~~ jja.da ?? 	~~		
131	to rub 	문지르다 		munjireuda	mansch;)			
132	to wash 	빨다, 씻다 		ppalda, ssitda	ab?bal   swoosh    ? shu?tda < sweat s�water	<< ++		
133	to wipe 	닦다 		dakda	Duck-tape docht ---	~-		
134	to pull 	끌다 	k͈ɯ̽ldɑ 	kkeulda	keulen <> quell!? ^^	;)		
135	to push 	밀다 	mildɑ 	milda	?mild	�??//		
136	to throw 	던지다 		deonjida	don.jekt @ dungeon	~		
137	to tie 	매다 	mεdɑ 	maeda	mend <> meet	++?<>		
138	to sew 	꿰매다 	k͈ʷemεdɑ 	kkwemaeda	giw~sew.men Saum ???   gemend  ? garments ^^^	+~++++		
139	to count 	세다 	s⁽ʰ⁾edɑ 	seda	Σ say@Turk zähl.do sum.do counter 	++-	scrita seda~strong!	
140	to say 	말하다 		malhada	maul! Mot < mword ~ m-l-d	++--		
141	to sing 	노래하다, 부르다 		noraehada, bureuda	𓂜 bu/no-reden? <> play:	<<?		
142	to play 	놀다 		nolda	𓂜 null work	++?		
143	to float 	뜨다 		tteuda	Täuen < shui?			
144	to flow 	흐르다 		heureuda	Horus, quell, heulen!	?		
145	to freeze 	얼다 	ʌldɑ 	eolda	(c)ool < cold, kor / (k)yros	++�		
146	to swell 	붓다 		butda	brut, burst > Brandung	+:)		
147	sun 	해 	hε 	hae	HEL > high	+++		
148	moon 	달 	dɑl 	dal	𓏏 ~ 🌓☽  dell <> mount !	+++++<	Teil 𓏏 ~ 🌓	
149	star 	별 		byeol	ball, bhyel  𓃀𓇼	+++<		
150	water 	물 		mul	mwar𓈗ta @ maul	+++<		
151	rain 	비 		bi	Bi? byu! Bian biter? pee pieselt pleuvir	++< ---		
152	river 	내, 가람 		nae, garam	nau++	+++		
153	lake 	못 		mot	Mud! Mulde (mu물mar) Mvater mbad:	++-?		
154	sea 	바다 		bada	Bad bvata mbad^	+++		
155	salt 	소금 		sogeum	Sargo ~ salz	++-		
156	stone 	돌, 바위 		dol, bawi	Dolmen! Bau	+++	<> stell 𓏏	
157	sand 	모래 		morae	moor/maure=desert! 𓌻𓂋𓅱𓈉	+++		
158	dust 	먼지 		meonji	mansch;)  Mauern^^	+-?		
159	earth (soil) 	흙 		heuk	hulk hErz 	+-	kard	
160	cloud 	구름 		gureum	Gur = … c-r-d cloud ‘~Kugel’	+++		
161	fog 	안개 	angae		Angel ;) ---			
162	sky 	하늘 		haneul	HIMEUL HANEUL Han.El	+++		
163	wind 	바람 		baram	para = 𓆅  @port blow wirbelo?	++?<<<		
164	snow 	눈 		nun	s’nowin ?  Nice causative 雪 xueno	+++?	𓆑 <> 𓐍 nun=kar	
165	ice 	얼음 		eoreum	(k)urum < kur!	++>T		
166	smoke 	내, 연기 		nae, yeongi (←煙氣) 	nebel, snog			
167	fire 	불 		bul, ACHTUALLY: phyr!	Bul < burn < phyro ! boil@bowl	++++		
168	ash 	재 		jae	Haijae < heiz	++		
169	to burn 	타다 	tɑdɑ 	tada	hotata, torch ^^	++		
170	road 	길 		gil	giro.de +++ ?	++		
171	mountain 	뫼, 메, 언덕, 산 		moe, me (archaic), eondeok, san (Sino-Korean)	mou?.tan ~ ?? nam.san.gan ?? dome! ???  goug.deghi	+++~~		
172	red 	빨강, 붉다 		ppalgang, bukda	bhaigda~beige! ?   ? Pugdan Bull-color! Falk?	�+?		
173	green 	갈매, 초록 		galmae, chorok (Sino-Korean)	galmae~grüne! Chorok~charun@SEM  Pure (copper) para.dies	+++	calm!	
174	yellow 	노랑 		norang	norange(color) Dor’range	++++!		
175	white 	하양 		hayang	whui.de! White(rang)   hui~hell^^	+++		
176	black 	검정, 검다, 까맣다 		geomjeong, geomda, kkamata	Chem 𓆎/𓎼𓅓  geor  𓐍	+++!		
177	night 	밤 	bɑm 	bam	beam 	?	vs 낮 (nat): daytime	
178	day 	낮 	nɑd 	nat	nətər@turk 𓊹 nature 1/night nahr 	++<< x 	nɑd=1/dayn indaalo@Banty	
179	year 	해 		hae	Yhear 2. nyean hév@HUN	++-	?? (hoy) <> hoyear! (this)	
180	warm 	따뜻 		ttatteut	tato@Romani thyth< torch hothothot!!!	++++	<> топлъ (toplŭ) <> burn = 타다 tɑdɑ	tata:sky-daddy
181	cold 	차다, 춥다 		chada (object), chupda (weather)	chold	++		
182	full 	차다, 부르다, 가득 		chada, bureuda (stomach), [adv.] gadeuk	chaque bull~full++	+++	<> burp :(	
183	new 	새, 새로운 		sae, saeroun	sehr=gut/neu/viel 	++�		
184	old 	옛, 오래되다 		yet, oraedoeda	yeared, nyean ? ni�n	+++		
185	good 	좋다 		jota	Good jut 좋 ~ EU.de	++		
186	bad 	나쁘다 		nappeuda	na�ppeu ��?  pfui (^^eops)	<<		
187	rotten 	썩다 		sseokda	suck;) soaked	;)		
188	dirty 	더럽다 		deoreopda	Dirty ~ deor-wty	++		
189	straight 	곧다 		gotda	god! (gut/good/go-right) 𓊹 ⲥⲟⲩⲧⲱⲛ	+++<<		
190	round 	둥글다 		dunggeulda	团 geul<cur 	++	<> 筒 tong3 Tonne dunkel 𓏏 𓐍 ?	
191	sharp (as a knife) 	날카롭다, 뾰족하다 		nalkaropda (sharp), ppyojokhada (pointed)	Null-karo			
192	dull (as a knife) 	무디다 		mudida	mute	++-		
193	smooth 	부드러움 		budeureoum	me�kero~meraka:			
194	wet 	젖음 		jeojeum	jeoj ~ yu	+x 	Feucht ~ 	
195	dry 	마름 		mareum	mull� ? ? 			
196	correct 	바름, [[맞음] 		bareum, majeum	mayer<maat  bar@law			
197	near 	가까움 		gakkaum	gag come		Gag-order : gag@gurgel~bent –	
198	far 	멀다 		meolda	? mvar muli 𓈗 		𓈗 mar ~ durain 3	
199	right 	오른쪽 		oreunjjok	arighn jjok=side	---		
200	left 	왼쪽 		oenjjok	andere?	---		
