No. 	English 	Thai ภาษาไทย 	Romanized Thai 	PIE	Lao 	Romanized Lao 	Shan 	Romanized Shan 	Southern Kam 	Gelao 	Buyang (E'ma/Langnian/Yerong) 	Zhuang (IPA) 	Ong Be 	Hlai 	White Hmong			
1 	I 	ฉัน, กู, ข้า 	chǎn, kuu, khaa 	ichan, ik, egwo	ຂ້ອຍ, ກູ 	kʰɔ̏ːy 	ၵဝ်, တူ 	kaw1, tu1 	jau212 	ei33 	ku54 	kou1 	hau2 	hou1, de3 	kuv			
2 	you (singular) 	เธอ, มึง, เจ้า (outdated) 	thəə, mɯŋ, t͡ɕȃw 	thee, tu, man	ມຶງ, ເຈົ້າ 	mɯŋ, t͡ɕȃw 	သူ, မႂ်း 	sʰu1, maɯ4 	nya212 	mɯ31 	ma312 	mɯŋ2 	mə2 	meɯ1 	koj			
3 	he 	เขา, มัน 	kháo 	le, phon	ເຂົາ, ມັນ, ລາວ, ເພິ່ນ 	kʰăo, lāo, phœn 	မၼ်း 	man4 	mau33 	mi35 	kɛ54 	teː1, min2 	kə2 	na1 	nws			
4 	we 	เรา 	rao 		ເຮົາ 	hao 	ႁဝ်း 	haw4 	tau55, ziu55 	ti55 to31 	tsum54 ku54 	tou1, rɐu2 	hau2 lo4 	fa1 	peb, wb (dual)			
5 	you (plural) 	พวกคุณ 	phûakkhun 	… 𓍿𓈖𓏤𓏤𓏤, tu, Sie	ພວກເຈົ້າ, ສູ 	pʰuak.tɕao, suu 	ၶိူဝ် (dual) 	kʰɤ1 	xau35 	ti55 tɕo31 	ma312 	sou1 	mə2 lo4 	meɯ1 ta1 	nej, neb (dual)			
6 	they 	พวกเขา, พวกมัน 	phûakkháo, phûakman 		ເຂົາ, ເຂົາເຈົ້າ, ພວກມັນ 	kʰăo, kʰăot͡ɕȃw, phuakman 	ၶဝ်, ပိူၼ်ႈ 	kʰaw1, pɤn3 	za33 mau33 	ti55 ma55 	tsum54 kɛ54 	klong5 teː1 	kə2 lo4 	khun2 	lawv, nkawd (dual)			
7 	this 	นี้ 	níi 	na	ນີ້ 	nīː 	ၼႆႉ 	naj5 	nai33 	nyi35 	ni11 	neːi4 	nia2 	nei2 	no, nov			
8 	that 	นั้น 	nán 	nah	ນັ້ນ 	nȃn 	ၼၼ်ႉ 	nan5 	za33, za53 	bɯ35 		hɐn4, teː1 	na4, nə4 	haɯ5, ma5 	ntawd			
9 	here 	ที่นี่ 	thîinîi 	this.near	ບ່ອນນີ້ 	bɔn niː 	ၼႆႈ 	naj3 				kiː2 neːi4 		nei2 	qhov no			
10 	there 	ที่นั่น 	thîinân 	this.nah	ບ່ອນນັ້ນ 	bɔn nan 	ပုၼ်ႉ 	pun5 				kiː2 hɐn4 		haɯ5, ma5 	ntawd			
