№	English	Kurukh कुँड़ुख़	PIE	
1	I (1sg)	एन (ēn)	anI	
2	you (2sg)	नीन (nīn)	ni	
3	he, she, it (3sg)	ईस (īs) (proximal, masculine), आस (ās) (distal, masculine), ईद (īd) (proximal, non-masculine), आद (ād) (distal, non-masculine)	his, it	
4	we (1pl)	एम (ēm) (exclusive), नाम (nām) (inclusive)	mi®, on, man	
5	you (2pl)	नीम (nīm)	nimen	
6	they (3pl)	ईर (īr) (proximal), इब्ड़र (ibṛar) (proximal), आर (ār) (distal), अब्ड़र (abṛar) (distal)	Euer 	--
7	this	ई (ī)	ici	--
8	that	आ (ā)	ca	--
9	here	इसन (isan)		
10	there	असन (asan)		
11	who	ने (nē), नेहर (nēhar)	na 那 nei4	
12	what	एंदरा (endarā), एंदेर (ender), एका (ekā) (prefix)	à-qua	
13	where	एक्सन (eksan), एखो (ekhō)	à-qwo	
14	when	एकाबीरी (ekābīrī), इक्ला (iklā)	à-qua-biri	
15	how	एकासे (ekāse)	à-quos	
16	not	मल (mal), माल (māl), मा (mā)	mei	
17	all	उर्मि (urmi) (non-human), ओर्मा (ormā) (human)		<<
18	many	अजम (ajam), ढेर (ḍher)		
19	some	कटिक (kaṭik), जुक्क (jukk)	cucik,	
20	few	जुक्क (jukk), कटिक (kaṭik)	cucik,	
21	other	नन्ना (nannā)	anner	
22	one	ओंद (ond)	on'dz	
23	two	एँड़ (ẽṛ)	二 èr	
24	three	मूंद (mūnd)	many	
25	four	नाख़ (nāx)	二二 nierx	
26	five	पंचे (pañce)	pañce	
27	big	कोँहा (kȭhā)	kora	
28	long	दीघा (dīghā)	dick	
29	wide	चकड़ (cakaṛ), पन्हा (panhā)	𓂧 𔑁 5!	
30	thick	मोँट (mõṭ)	?	
31	heavy	ओत्था (otthā)	wuchta?	
32	small	सन्नी (sannī)	≈	
33	short	पुड्डा (puḍḍā)	;)	
34	narrow	सरुवा (saruā)		
35	thin	सरुवा (saruā)		
36	woman	आली (ālī), मुक्का (mukkā)	elle motha	
37	man (adult male)	आलस (ālas), मेत (mēt)	ilos mate	
38	man (human being)	आल (āl)	al …	
39	child	ख़द्द (xadd)	𓄡 𓏏	
40	wife	आली (ālī), पच्चो (pacco) (endearingly)	elle pico	
41	husband	आलस (ālas), पच्गी (pacgī) (endearingly)	al pacon;)	
42	mother	अयो (ayō), अयंग (ayaṅg)		<<
43	father	बबस (babas)	baba	
44	animal	जिया-जउँत (jiyā-jaũt)	𓇋 𓂧 𓂋 𓎪 𓃒 𓏥 ? 𓇋 𓏶 𓅱 𓏥 𓈗 	<<
45	fish	इंजो (iñjō)	𓇋 𓆛 𓈖 yún yǎn 	
46	bird	ओड़ा (ōṛā)	horu ara 𓄿 𓅅 h₃érō 𓅥𓅣𓅤 𓅃 𓅄 	
47	dog	अल्ला (allā)	t'öle	
48	louse	पेन (pēn)	"𓆑 𓈖 𓏏 ""worm"""	
49	snake	नेर्र (nerr)	𓈖 𓋴 𓂋 नाग nāgá®	
50	worm	लेंडा (leṇḍā), पोच्गो (pocgō)	𓆑 𓈖 𓍿 •ponco, long (s)lingua	
51	tree	मन्न (mann)	木 •mù.on 𓍲 𓈖 𓆭	
52	forest	टोड़ंग (ṭoṛaṅg)	orang ƒ	
53	stick	टेम्पा (ṭempā), सोट्टा (soṭṭā)	𓌙 tian , shooter 𓍱 𓋴 𓂋 𓌕 	
54	fruit	ख़ंज्पा (xañjpā)	•kanj.pu 𒄒𒁍 pú ≈ 𒆜 KAS ≈ haš in 𒈢 hašhur 	
55	seed	बीज (bīj)	biru	
56	leaf	अत्ख़ा (atxā)	blattxa	
57	root	पादा (pādā)	pod	
58	bark (of a tree)	ओड़्क (oṛk)	b'ork	
59	flower	पूँप (pū̃p)	𒁍 pú 𓃀 𓆰	
60	grass	घाँसी (ghā̃sī)	grassi	
61	rope	एप (ēp)	"ر ب ض	r-b-ᵇḍ	rope(d):tie  "	<<--
62	skin	चप्टा (capṭā)	cover'de	
63	meat	अहड़ा (ahṛā)		<<
64	blood	ख़ेँस (xē̃s)	血 xuès	
65	bone	ख़ोचोल (xocol)		<<
66	fat (noun)	नेँता (nē̃tā)	𓈎 𓈖 𓄃 qnē̃tā gantz @ Basque  ქონი koni χονδρός khondrós ⇔ ϧⲟⲧ	
67	egg	बी (bī)	𒌐 baida beide 𒅁𒃲 eb.gal	
68	horn	मरग (marag)		<<
69	tail	ख़ोला (xolā)	txaila	
70	feather	पेंचो (pencō)	"𓆃 ≈ 𔑂 ""wing"" 𓇋 𒁁𒋻 pattar πτερόν pterón "	√
71	hair	चुट्टी (cuṭṭī)	cut <> 𓍲 𓈖 𓏮 𓁸 𓏥 | hair | Schnitt  𓁸 ≈ 采 cǎi 	
72	head	कुक्क (kukk)	𒅗𒅗	
73	ear	ख़ेब्दा (xebdā)	chapter 	----
74	eye	ख़न्न (xann)	ghain geyen	
75	nose	मुई (muī)		--
76	mouth	बई (baī)	"𒉿𒄿 PI'I 	बई baī 𒅗 pû "	
77	tooth	पल्ल (pall)	pull @ bull	!
78	tongue (organ)	तत्ख़ा (tatxā)		≈?
79	fingernail	ओरोख़ (orox)		<
80	foot	ख़ेड्ड (xeḍḍ)	<>	
81	leg	ख़ेड्ड (xeḍḍ)	•xend 𓐍 𓈖 𓂧 𓂾 	
82	knee	मूका (mūkā)		<
