No. 	English 	Luwian see Hittite		Lydian	Lycian 
1	I 	(a)mu	Ame <> ane!		
2	you (singular) 	tī	ti		
3	he 	-as, apās	a’pth !		
4	we 	-			
5	you (plural) 	-			
6	they 	-ata, apinzi			
7	this 	zās	🗸		
8	that 	apās	a’pth !		
9	here 	zāwi(n)			
10	there 	-			
11	who 	kuis	qwhos		
12	what 	kuī	qwhuit		
13	where 	kuwar(i) (?)	qwhere		
14	when 	kuwati	qwhenti		
15	how 	-			
16	not 	nāwa	nauwl!		
17	all 	pūnatinzi, tanimminzi	pantas!		
18	many 	-			
19	some 	-			
20	few 	-			
21	other 	-			
22	one 	-			
23	two 	-			
24	three 	tarris	thrrees		
25	four 	māwinzi	??		
26	five 	-			
27	big 	urazzas	gurossas!		
28	long 	ārrāyis			
29	wide 	-			
30	thick 	-			
31	heavy 	suwārus, 𒆪𒉿𒀭𒍪𒍑 (kuwanzus)	schwerus Schwanzus ;)		
32	small 	-			
33	short 	mannakunas	manner.kurz	manninkuwanz@hittit	
34	narrow 	-			
35	thin 	-			
36	woman 	𒉿𒈾𒀜𒋾𒅖 (wanattis), 𒉿𒉿𒈾𒀸 (wānas)	Womnauns		
37	man (adult male) 	𒍣𒋾𒅖 (zītis)	zir.tos		
38	man (human being) 	𒍣𒋾𒅖 (zītis)			
39	child 	nimuwizas			
40	wife 	-			
41	husband 	𒍣𒋾𒅖 (zītis)			
42	mother 	𒀀𒀭𒉌𒅖 (ānnis)	Annana		
43	father 	𒋫𒀀𒋾𒅖 (tātis)	Dadyo		
44	animal 	𒄷𒌋𒄿𒋻𒊭 (huitarsa)	haýwan.tieres	+++	
45	fish 	-			
46	bird 	-			
47	dog 	zuwanis			
48	louse 	-			
49	snake 	-			
50	worm 	-			
51	tree 	-			
52	forest 	-			
53	stick 	winal			
54	fruit 	𒀀𒆷𒀜𒋻𒊭 (alattarsa)			
55	seed 	warwalan			
56	leaf 	-			
57	root 	-			
58	bark (of a tree) 	-			
59	flower 	-			
60	grass 	zuhri			
61	rope 	-			
62	skin 	-			
63	meat 	-			
64	blood 	āsharsa			
65	bone 	𒄩𒀀𒀸𒊭 (hāssa)			
66	fat (noun) 	-			
67	egg 	-			
68	horn 	zurni			
69	tail 	-			
70	feather 	-			
71	hair 	𒋰𒉺𒀀𒉌𒅖 (tappānis)			
72	head 	harmahis			
73	ear 	𒌈𒈠𒀀𒀭 (tummān)			
74	eye 	tāwīs			
75	nose 	-			
76	mouth 	𒀀𒀀𒀸𒊭 (āssa)			
77	tooth 	-			
78	tongue (organ) 	lālis			
79	fingernail 	-			
80	foot 	𒉺𒋫𒀀𒀸 (patās)			
81	leg 	pārtas (?)			
82	knee 	-			
83	hand 	𒄿𒅖𒊭𒊑𒅖 (īssaris)			
84	wing 	aruti			
85	belly 	-			
86	guts 	-			
87	neck 	-			
88	back 	-			
89	breast 	tītan			
90	heart 	𒍝𒀀𒅈𒍝 (zārza)			
91	liver 	-			
92	to drink 	ūtti			
93	to eat 	azti			
94	to bite 	-			
95	to suck 	-			
96	to spit 	tappāti			
97	to vomit 	-			
98	to blow 	-			
99	to breathe 	-			
100	to laugh 	-			
101	to see 	manāti			
102	to hear 	tūmmantitti			
103	to know 	un(a)i-			
104	to think 	maliti			
105	to smell 	-			
106	to fear 	kuwaya-			
107	to sleep 	-			
108	to live 	-			
109	to die 	*walati			
110	to kill 	-			
111	to fight 	-			
112	to hunt 	-			
113	to hit 	dūpiti			
114	to cut 	kuwarti, karsti			
115	to split 	-			
116	to stab 	-			
117	to scratch 	-			
118	to dig 	-			
119	to swim 	-			
120	to fly 	-			
121	to walk 	-			
122	to come 	awīti			
123	to lie (as in a bed) 	zīyari			
124	to sit 	asti			
125	to stand 	tāi			
126	to turn (intransitive) 	kuwalīti (?)			
127	to fall 	-			
128	to give 	piyai			
129	to hold 	-			
130	to squeeze 	wisiti			
131	to rub 	kūsāti			
132	to wash 	īlhāti, lāhunti			
133	to wipe 	ammassiti			
134	to pull 	-			
135	to push 	-			
136	to throw 	-			
137	to tie 	hishiti, hāpiti			
138	to sew 	-			
139	to count 	-			
140	to say 	āssatti (?)			
141	to sing 	-			
142	to play 	-			
143	to float 	-			
144	to flow 	ārsi(ya)-			
145	to freeze 	-			
146	to swell 	-			
147	sun 	𒋾𒉿𒊍 (tiwaz)			
148	moon 	*armas			
149	star 	-			
150	water 	𒉿𒀀𒅈𒊭 (wārsa)			
151	rain 	-			
152	river 	𒄩𒀀𒁉𒅖 (hāpis)			
153	lake 	-			
154	sea 	𒀀𒆷𒀸𒊭𒄠𒈪𒅖 (alasammis)			
155	salt 	-			
156	stone 	-			
157	sand 	-			
158	dust 	pasūriyas (?)			
159	earth 	𒋾𒄿𒀀𒄠𒈪𒅖 (tiyammis)			
160	cloud 	-			
161	fog 	-			
162	sky 	𒋫𒀊𒉺𒀸𒊭 (tappassa)			
163	wind 	-			
164	snow 	-			
165	ice 	-			
166	smoke 	-			
167	fire 	𒉺𒀀𒄷𒌋𒌨 (pāhūr)			
168	ash 	-			
169	to burn 	-			
170	road 	harwas			
171	mountain 	*ariyattis			
172	red 	-			
173	green 	hahhaluwantis			
174	yellow 	hahhaluwantis			
175	white 	-			
176	black 	dakkuīs, marwāy-			
177	night 	-			
178	day 	halli			
179	year 	ussis			
180	warm 	-			
181	cold 	-			
182	full 	-			
183	new 	nāwis			
184	old 	-			
185	good 	wāsus			
186	bad 	ādduwālis			
187	rotten 	-			
188	dirty 	-			
189	straight 	-			
190	round 	-			
191	sharp (as a knife) 	-			
192	dull (as a knife) 	-			
193	smooth 	-			
194	wet 	-			
195	dry 	-			
196	correct 	-			
197	near 	-			
198	far 	-			
199	right 	isarwilis			
200	left 	ipalis			
201	at 	-			
202	in 	ānta			
203	with 	-			
204	and 	-ha			
205	if 	mān			
206	because 	kuiza			
207	name 	atamanza (?)			
