No. 	English 	Hieros (guessed!)	Luwian see Hittite	PIE see Hittite.tsv!	Lydian	Lycian 	Hittite
1	I 	𔑿 mu 𔑾𔒀	(a)mu	me mey ame <> ane!			see Hittite.tsv!
2	you (singular) 	𔑣 ti/tá 𔘟 ti₂/tí 𔙄 ?	tī	ti tu			
3	he 	𔗷𔕷𔗔 	-as, apās	-us su 𔗔 sa₁ a’pyth 𓆑			
4	we 		-				
5	you (plural) 		-				
6	they 	𔐞𔗷	-ata, apinzi	'they 𔐞𔗷 tam 			
7	this 	𔖪, 𔖪𔗔	za, zās	🗸			
8	that 	𓆑 𓊪𓍢	apās	… was a’pth (reflexive)			
9	here 		zāwi(n)	zerwe			
10	there 		-	^^			
11	who 	𔕰𔗔	kuis	qwhos			
12	what 	𔕰𔓯	kuī	qwhuit			
13	where 	𔕰𔗬𔖱	kuwar(i) (?)	qwhere			
14	when 	𔕰𔗬𔑣	kuwati	qwhenti			
15	how 		-				
16	not 	𔕶 ná  𔕵	nāwa	nauwl!			
17	all 	𔖝, 𔖞?	pūnatinzi, tanimminzi	pantas!			
18	many 		-				
19	some 		-				
20	few 		-				
21	other 		-				
22	one 		-				
23	two 		-				
24	three 	𔐬𔖱𔗔?	tarris	thrreeis			
25	four 	𔖻 mi	māwinzi	??			
26	five 		-				
27	big 		urazzas	a'rise riese gurossas!			
28	long 		ārrāyis	a'rise riesig			
29	wide 		-				
30	thick 		-				
31	heavy 		suwārus, 𒆪𒉿𒀭𒍪𒍑 (kuwanzus)	schwerus Schwanzus ;) quant…			
32	small 		-				
33	short 		mannakunas	miniscule ! manner.kurz	manninkuwanz@hittit		
34	narrow 		-				
35	thin 		-				
36	woman 	𔑘	𒉿𒈾𒀜𒋾𒅖 (wanattis), 𒉿𒉿𒈾𒀸 (wānas)	Venus Womnauns			
37	man (adult male) 	𔕠𔑣, 𔐏 𔖶 	𒍣𒋾𒅖 (zītis)	zir.tos 𓊃 𓀀  <> 𔖷 mi man			
38	man (human being) 	𔕠𔑣	𒍣𒋾𒅖 (zītis) zi₂/zí.ti	Deutsche teutos titans!			
39	child 	𔐰𔑾(𔑿𔒀𔒃𔒄𔒅?)	nimuwizas	𔐰 DUMU 𔖶 nimrod@man<> 𔐱 𔐲 𔐳 𔐴			
40	wife 		-				
41	husband 	𔕠𔑣	𒍣𒋾𒅖 (zītis)				
42	mother 		𒀀𒀭𒉌𒅖 (ānnis)	Annana			
43	father 	𔐞𔑣	𒋫𒀀𒋾𒅖 (tātis)	Dadyo			
44	animal 		𒄷𒌋𒄿𒋻𒊭 (huitarsa)	haýwan.tieres	+++		
45	fish 		-				
46	bird 		-				
47	dog 		zuwanis	cvon			
48	louse 		-				
49	snake 		-				
50	worm 		-				
51	tree 		-				
52	forest 		-				
53	stick 		winal				
54	fruit 		𒀀𒆷𒀜𒋻𒊭 (alattarsa)				
55	seed 		warwalan				
56	leaf 		-				
57	root 		-				
58	bark (of a tree) 		-				
59	flower 		-				
60	grass 		zuhri	žuhris ~ gräser			
61	rope 		-				
62	skin 		-				
63	meat 		-				
64	blood 		āsharsa	असृज् asṛj 𒍖 ⋍ 𒍗 ÚŠ ⋍ 𒁁 uš₂ 𒅘 úš 𒂊𒌍𒄯 e-eš-ḫar ēshar			
65	bone 		𒄩𒀀𒀸𒊭 (hāssa)				
66	fat (noun) 		-				
67	egg 		-				
68	horn 		zurni	corn chorn horn			
69	tail 		-				
70	feather 		-				
71	hair 		𒋰𒉺𒀀𒉌𒅖 (tappānis)	toupet			
72	head 		harmahis	Herr… <<<			
73	ear 		𒌈𒈠𒀀𒀭 (tummān)	𓄕𓅓 sDm 			
74	eye 		tāwīs	𒋾 TI twis 2			
75	nose 		-				
76	mouth 		𒀀𒀀𒀸𒊭 (āssa)	os			
77	tooth 		-				
78	tongue (organ) 		lālis	lalingue			
79	fingernail 		-				
80	foot 		𒉺𒋫𒀀𒀸 (patās)	pod 			
81	leg 		pārtas (?)	pair part!			
82	knee 		-				
83	hand 		𒄿𒅖𒊭𒊑𒅖 (īssaris)	𒋗 his			
84	wing 		aruti	<<			
85	belly 		-				
86	guts 		-				
87	neck 		-				
88	back 		-				
89	breast 		tītan	titᵒⁿ Zitzen			
90	heart 	𔖪𔖱𔖪 za-r-za	𒍝𒀀𒅈𒍝 (zārza)	cœurze Kerze Herz			
91	liver 		-				
92	to drink 		ūtti	√water			
93	to eat 		azti	ess azti eat			
94	to bite 		-				
95	to suck 		-				
96	to spit 		tappāti	𓏏𓊪𓂎𓂐 permuted			
97	to vomit 		-				
98	to blow 		-				
99	to breathe 		-				
100	to laugh 		-				
101	to see 	𔖫𔐤	𒈠𒈾𒀀𒋾 manāti,  •mana(ha)	augment!			
102	to hear 		tūmmantitti				
103	to know 		ᵍun(a)i-	gnow			
104	to think 		maliti	𓄣𓏤 √mind			
105	to smell 		-				
106	to fear 		kuwaya-	𓋴 𓂋 𓅾 Graus gorky qorxu ҡурҡыу *kork			
107	to sleep 		-				
108	to live 		-				
109	to die 		*walati	"walten ""walk"" euphemism?"			
110	to kill 		-				
111	to fight 		-				
112	to hunt 		-				
113	to hit 		dūpiti	to.beat			
114	to cut 		kuwarti, karsti	*(s)ker, caedō жаракат carakat			
115	to split 		-				
116	to stab 		-				
117	to scratch 		-				
118	to dig 		-				
119	to swim 		-				
120	to fly 		-				
121	to walk 		-				
122	to come 		awīti	wade waten walten			
123	to lie (as in a bed) 		zīyari	𓌨 •ciar ≠ sûr			
124	to sit 		asti	√			
125	to stand 		ˢtāi	ˢtāi <<!			
126	to turn (intransitive) 		kuwalīti (?)	wende? <<			
127	to fall 		-				
128	to give 		piyai	pay, pon…, put			
129	to hold 		-				
130	to squeeze 		wisiti	s'qwist			
131	to rub 		kūsāti				
132	to wash 		īlhāti, lāhunti	lauge? --			
133	to wipe 		ammassiti				
134	to pull 		-				
135	to push 		-				
136	to throw 		-				
137	to tie 		hishiti, hāpiti	shut, pit? <<			
138	to sew 		-				
139	to count 		-				
140	to say 		āssatti (?)	sayd chat @ osa.do ??			
141	to sing 		-				
142	to play 		-				
143	to float 		-				
144	to flow 		ārsi(ya)-				
145	to freeze 		-				
146	to swell 		-				
147	sun 		𒋾𒉿𒊍 (tiwaz)	Theus Tian !			
148	moon 		*armas				
149	star 		-				
150	water 		𒉿𒀀𒅈𒊭 (wārsa)	warsser			
151	rain 		-				
152	river 		𒄩𒀀𒁉𒅖 (hāpis)	Ob 			
153	lake 		-				
154	sea 		𒀀𒆷𒀸𒊭𒄠𒈪𒅖 (alasammis)				
155	salt 		-				
156	stone 		-				
157	sand 		-				
158	dust 		pasūriyas (?)				
159	earth 		𒋾𒄿𒀀𒄠𒈪𒅖 (tiyammis)				
160	cloud 		-				
161	fog 		-				
162	sky 		𒋫𒀊𒉺𒀸𒊭 (tappassa)				
163	wind 		-				
164	snow 		-				
165	ice 		-				
166	smoke 		-				
167	fire 		𒉺𒀀𒄷𒌋𒌨 (pāhūr)				
168	ash 		-				
169	to burn 		-				
170	road 		harwas				
171	mountain 		*ariyattis				
172	red 		-				
173	green 		hahhaluwantis				
174	yellow 		hahhaluwantis				
175	white 		-				
176	black 		dakkuīs, marwāy-				
177	night 		-				
178	day 		halli				
179	year 		ussis				
180	warm 		-				
181	cold 		-				
182	full 		-				
183	new 		nāwis				
184	old 		-				
185	good 		wāsus				
186	bad 		ādduwālis				
187	rotten 		-				
188	dirty 		-				
189	straight 		-				
190	round 		-				
191	sharp (as a knife) 		-				
192	dull (as a knife) 		-				
193	smooth 		-				
194	wet 		-				
195	dry 		-				
196	correct 		-				
197	near 		-				
198	far 		-				
199	right 		isarwilis				
200	left 		ipalis				
201	at 		-				
202	in 		ānta				
203	with 		-				
204	and 		-ha				
205	if 		mān				
206	because 		kuiza				
207	name 		atamanza (?)				
