No. 	English 	Mongolian монгол хэл (mongol hel)	NOT much PIE vocab					
1	I 	би (bi)	we					
2	you (singular) 	чи (či)	sie					
3	he 	тэр (ter)	der					
4	we 	бид (bid)	wes					
5	you (plural) 	та (ta)	tu					
6	they 	тэд нар (ted nar)	they.ner					
7	this 	энэ (ene)						
8	that 	тэр (ter)	der					
9	here 	энд (end)	ante					
10	there 	тэнд (tend)	dante					
11	who 	хэн (hen)	whon					
12	what 	юу (juu)	qjo					
13	where 	хаан (haan)						
14	when 	хэзээ (hezee)						
15	how 	яаж (jaaž)						
16	not 	-гүй (-güj) (suffix)	-- !!					
17	all 	бүх (büh)						
18	many 	олон (olon)	allen					
19	some 	зарим (zarim)	sa’m					
20	few 	цөөн (tsöön)						
21	other 	өөр (öör)						
22	one 	нэг (neg)	ein.eg					
23	two 	хоёр (hojor)	ni.er					
24	three 	гурав (gurav)	curi					
25	four 	дөрөв (döröv)	dort	OK				
26	five 	тав (tav)	--	6:ǰirɣuɣ	7:долоо –	8: ᠨᠠᠢᠮᠠ (naima		10: ᠠᠷᠪᠠ (arba !
27	big 	том (tom)	turm					
28	long 	урт (urt)	Vrt : big					
29	wide 	өргөн (örgön)	^^					
30	thick 	зузаан (zuzaan)	thiz.on thick					
31	heavy 	хүнд (hünd)	Hund ~ Dag					
32	small 	жижиг (žižig), жаал (žaal)	cycy, zmaal					
33	short 	богино (bogino)	pecino					
34	narrow 	цухал (tsuhal)	small					
35	thin 	нимгэн (nimgen)						
36	woman 	эмэгтэй (emegtej)						
37	man (adult male) 	эр хүн (er hün)	Der Huehne					
38	man (human being) 	хүн (hün)						
39	child 	хүүхэд (hüühed)						
40	wife 	эхнэр (ehner), гэргий (gergij)						
41	husband 	нөхөр (nöhör)						
42	mother 	ээж (eež), эх (eh)	ische					
43	father 	аав (aav), эцэг (etseg)	ab					
44	animal 	амьтан (amʹtan)						
45	fish 	загас (zagas)						
46	bird 	шувуу (šuvuu)						
47	dog 	нохой (nohoj)						
48	louse 	бөөс (böös)						
49	snake 	могой (mogoj)						
50	worm 	хорхой (horhoj)						
51	tree 	мод (mod)	mwood					
52	forest 	ой (oj)						
53	stick 	таяг (tajag), саваа (savaa)						
54	fruit 	жимс (žims)						
55	seed 	үр (ür)	Ur					
56	leaf 	навч (navč)						
57	root 	үндэс (ündes)						
58	bark (of a tree) 	холтос (holtos)						
59	flower 	цэцэг (tsetseg)						
60	grass 	өвс (övs)						
61	rope 	олс (ols)						
62	skin 	арьс (arʹs)						
63	meat 	мах (mah)	meaht					
64	blood 	цус (tsus)						
65	bone 	яс (jas)						
66	fat (noun) 	өөх (ööh)						
67	egg 	өндөг (öndög)	ant.egg @Hind					
68	horn 	эвэр (ever)						
69	tail 	сүүл (süül)						
70	feather 	өд (öd)						
71	hair 	үс (üs)						
72	head 	толгой (tolgoj)						
73	ear 	чих (čih)						
74	eye 	нүд (nüd)						
75	nose 	хамар (hamar)						
76	mouth 	ам (am)						
77	tooth 	шүд (šüd)						
78	tongue (organ) 	хэл (hel)						
79	fingernail 	хумс (hums)						
80	foot 	хөл (höl)						
81	leg 	хөл (höl)	Holeg = walk					
82	knee 	өвдөг (övdög)						
83	hand 	гар (gar)						
84	wing 	далавч (dalavč), жигүүр (žigüür)						
85	belly 	гэдэс (gedes)						
86	guts 	гэдэс (gedes)						
