#,Swadesh_207_gloss,PIE,p-Kunama,p-Maba,p-Berta,Fur,p-Moru-Madi,p-Lendu-Ngiti,p-Mangbetu,p-Mangbutu,p-Sara-Bongo-Bagirmi,p-Kresh,Aja,Birri,p-Songhay,p-Kanuri,p-Tubu,p-Zaghawa-Berti,p-Koman,Gule,p-Gumuz,p-Kadu,Shabo,p-Nubian,p-SW Surmic,p-SE Surmic,Majang,Nara,p-Jebel,p-Nyimang,p-Temein,p-Tama,p-Daju,p-W Nilotic,p-E Nilotic,p-S Nilotic,p-Kuliak
1,I,10000 WORDS,*a-ba,*a-(mɔ),*àlì,ka,*m=ā,*mā,*m=á,*u=mu,*m=a,*a=m=a,m=a,m=á,*ay ~ *agay,*wu,*ta-,*s₁-,*a=ga,wɔ,*=da,*aʔa,tiŋ,*ǝ-y,*an(-ɛta),*an-ɛ,"ɛ̀ːt, č=aː-k",ag,*a(y) ₁,*ay ₁,*n=a-n ₁,*wa,*a-ga ₁,*(ʔiy=)aː-(n/ɪ/) ₁,*(n=)a(-n/ɪ/) ₁,*a-ni ₁,*kV-; *ay ₁
2,thou (you),10000 WORDS,*e-na,*y,*ŋgo,ʓi,*m=ī ~ *ɲ=ī,*ɲī,*m=í,*i=ni,*i,*u=mu,mu-mu,mu,*ni,*ní,*n(ǝ)-,*n(V),*a=i,aː=na,*=ma,*oʔo,ku,*e(-y),*in(-eta),*in-e,íːn,iŋa,*i(y) ₁,*í ₁,*n=ɪ-n ₁,*i ₁,*i-gi ₁,*ʔiː-(n) ₁,*ɪ-yyɔ ₁,*i-ɲ ₁,*bi
3,he,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,we,10000 WORDS,*á-; *kì-,*m-i,*=/a/ŋ/a/,k-i,*à=mā,*mǎ,*à=mà,*a=mu,*ʓɛ,*a-ga,a=m=a,m=áː,*yé-ɾì,*y₁-andi,*ta-,*t-,*a=ma; *a=na,á=núːk,*kwa; *ila,*a=ŋa; *a=yo,yiŋ; an,*a-y ₁,*a-g- ₁,*a-g- ₁,ìt-ìŋk,a-gg-a ₁,*ay(-ga) ₁,*ay-g- ₁,*k=a-t̪ ₁,*wa-(y)i,*ko,*ʔɔ-(n),*yi- ~ *=yoː-,*ɛ-ɕa ₁,*gin; *mis
5,you (pl.),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,they,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,this,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,that,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,here,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,there,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
