Nr,Word,PIE,Yem,Chara,Bench,Dorze
1,ALL,every wuːri her ყველაფერი (q̇velaperi),zùtt-èrà / kùpʼ-ìrà,fˈitt-a  / ˈurɐri (4),,wuːri 
2,ASHES,burned,bèd-nā,bˈend-a,,buɗ-o 
3,BARK,pʼokʼ,gòŋ-à,gˈong-a / gˈurʔ-a,kʼòmpʼār ,pʼokʼ-o 
4,BELLY,𓄡 𓏏 khet kātso kohtu,kàt-à,ʔˈiːn-a,,gaːw-o 
5,BIG,大,àkàm-ā,mˈeːs-a,,dar-a 
6,BIRD,<< 𒋢𒁀𒉡 	kuz-ba-nu <> 𒄷 Hu < Ku,kàs-à,kˈaf-a,šǒyt ,kapʼ-o
7,BITE,ϫⲱⲕϩ suck <> 𓋴 𓈖 𓏘 ,sáʔr-ā,sˈasʼ-,sȁcʼ,saθθ-ir
8,BLACK,𓐍 kara/kala,kàr-á,kɐrt- ˈa,cʼȉd,kareð
9,BLOOD,𓊃 𓈖 𓆑 𓅱 𓂐 sangue,ánn-ā,sˈuːt-a,sűt,suð
10,BONE,mark,mèg-ā,mert-ˈa,mèrt,mekʼeð-a
11,BREAST,𓏏𓏏 dūcʼ,tām-ā #,tʼˈam-a #,dūcʼ
12,BURN TR.,bún-c- bunsen … 𓌳 𓄿 𓄡 𓊮 ⲙⲉϩ ⲙⲟϩ  ,sòːk-à,mˈičʼ-,bún-c- ,θugitt-ires 
13,CLAW(NAIL),𓉻 𓂝 𓄿 / 𓂝 𓈖 𓏏 𓂷 ,dìf-nà,šʼˈug-na,cʼūng,θuguns
14,CLOUD,𓈎 𓂋 𓊡 qaru coort šāːr-ù™,šāːr-ù,tˈug-na,dùldűl ,guːl-e 
15,COLD,colg,kóːč-ō,šˈač-a,kʼōg ,irθ-a 
16,COME,yire,yè ~ y-ō,wˈoy-,wū,y-ires
17,DIE,cut halb,kìt-ū,hˈay-,hàyb ~ hàyb-kʼ,hayʔ-ires
18,DOG,κύon chien,kàn-à,kˈan-a,kyān,kan-a
19,DRINK,wasser,úš-ā,ˈuš-ša,ùʂ ~ ùʂ-k,ʔuy-ires
20,DRY,coal--,ìčm-à ~ ìšm-à,kˈoːl-a,kòl,melal-a 
21,EAR,𓇋 𓂧 𓄔,ōd-ō,wˈoːy-a,háy,way-e
22,EARTH,𓏏,dà ~ dàː,dˈukʼ-a,dōd ,biːtt-a 
23,EAT,𓏶,mé,nˈa-na,,m-ires
24,EGG,pupil??,kēw-ā,mˈoːl-a,mȕl,pʼupʼul-e 
25,EYE,op™,áːf-ā,ˈaːp-a,ȁp,aypʼ-e
26,FAT N.,𓎙 𓂧 𓏌 𓏥 <> 𓏶 𓀁 𓌽 𓈒 𓏥 𓃒  mast phar-u,fàr-ū,kˈuw-a,kóʔ,moɗɗ-o 
27,FEATHER,𓆄 𓅱 𓏏 𓆃 | feather | 깃 git @ goosen,kòs-ō,kˈus-na,,ball-e 
28,FIRE,thyme,gēy-ā,tˈam-a,tām,tam-a
29,FISH,𓂋 𓅓 𓆛 𓂻 ōrú mol-ˈa ,čʼōpʼ-ā,mol-ˈa,ōrú ,mol-e
30,FLY V.,vol- ,wˈol-,pȕk,pʼirapʼ-ires 
31,FOOT,π.toe,òč-ō # / òrg-ō,tˈaːy-a ,tȍʔ ,toh-o 
