No. 	English 			Sumerian 𒅴𒂠 (EME.ĜIR15)	Egyptian	Akkadian SEM-PIE	Akkadian 	who
1	I 	unk: ego		nge26, men2, 3		an.ego / 俺 on.Ich 𐎀𐎐	𒀀𒈾𒆪 (anāku) 	
2	you (singular) 	ca, thou		za		a.Ti	𒀜𒋫 m (atta), 𒀜𒋾 f (atti) 	
3	he 	hin		in, ni		su	𒋗𒌑 (šū) 	
4	we 					nous	𒉌𒉡 (nīnu) 	
5	you (plural) 					a.Deine	attunu m, attina f 	
6	they 	em’		e-ne-ne		a.Seine / them	𒋗𒉡 m (šunu), 𒅆𒈾 f (šina) 	
7	this 	na		ne		NO	annû 	
8	that 					ce	šū, ullû 	
9	here 				𓉻 𓂝 𓈐		annânu 	
10	there 	over 	~🗸	a-ba	𓉻 𓂝 𓄿 𓇋 𓇋		akannaka 	
11	who 						mannu 	who
12	what 			a-na			mīnu 	
13	where 	à	🗸🗸	a, ki			ali 	
14	when 	qũd, quando, at	~🗸	a, ud			ayyānu, mati 	
15	how 			a-na-gim			ana mīni, ammīni 	
16	not 	eg. natta kuwappiki	🗸🗸	nu, natta 			𒉡 (ula, lā) 	
17	all 	all~u, todo ++		u5, dù			kalû 	
18	many 	shar		eš, lú			mādu 	
19	some 			lú				
20	few 						ēṣu 	
21	other 						šanû 	
22	one 	eins, enas		aš			ištēn m, ištēt f 	
23	two 	mene		mina			šinā m, šittā f 	
24	three 	mis		eš5,6,16,21			šalāš m, šalāšat f 	
25	four 			limmu2,4,5			erbe m, erbet f 	
26	five 			ia2,7,9			xamiš m, xamšat f 	
27	big 	gr*	~🗸🗸	gal			𒃲 (rabûm) 	
28	long 			sud4, gíd[BU]			arku 	
29	wide 			peš, dangal			rupšu 	
30	thick 			kul				
31	heavy 			dugud, kul			kabtu 	
32	small 			gi17, tur			ṭexru 	
33	short 	curt	~🗸🗸	gud8			karû 	
34	narrow 			sig			qatnu 	
35	thin 	gi~thi`		gi17			qatnu 	
36	woman 	w’mun, gyman *gwoman	~🗸🗸	mu10, munus, géme			𒊩 (sinništu) 	
37	man (adult male) 			na, lú			zikaru 	
38	man (human being) 			erim, lú			awīlu 	
39	child 			dumu, tur			ṣexru, māru 	
40	wife 	Dame	~🗸🗸	dam			aššatu 	
41	husband 	Domn, domest	~🗸🗸	dam, ngitlam			mutu 	
42	mother 	(m)ama	~🗸🗸	ama			ummu 	
43	father 	(p)ada, paba ++	~🗸🗸	ada, pab			abu 	
44	animal 		!!!	ning-úr-limmu (quadruped)			būlu, emāmu 	
45	fish 			ku6			𒄩 (nūnu) 	
46	bird 	Meisen, Huhn	~🗸🗸	mušen, hu			𒄷 (iṣṣūru) 	
47	dog 			ur			𒌨𒌆 (kalbu) 	
48	louse 			uh3			𒄴 (uplu) 	
49	snake 	ušumake	~ 	muš, ušum			ṣēru 	
50	worm 	Wm-r  w-r-m	~ 	mar				
51	tree 			ngiš			𒄑 (iṣu) 	
52	forest 	tree	~🗸🗸	tir			gūru 	
53	stick 			ngiš				
54	fruit 			gurun			inbu 	
55	seed 		ƒ	a			𒆰 (zēru) 	
56	leaf 			(ngiš)pa			ḫasḫaltu 	
57	root 			(ngiš) i-ri9-na			𒁼 (šuršu) 	
58	bark (of a tree) 						𒄑𒁇𒄯 (sihpu) 	
59	flower 	ƒula	~ 	ul, gi-rin			inbu 	
60	grass 			ú			dīšu 	
61	rope 	lasso	~ 	éše			𒂠 (eblu) 	
62	skin 		~ 	su			gildu 	
63	meat 			uzu, su			ṭabhu 	
64	blood 		>	úš, múd, ùri			𒄈𒉻𒁺 (eṣemtu) 	
65	bone 			(ngiš)gag			𒉌𒄑 (šamnu) 	
66	fat (noun) 			ìa			𒉭 (pelû) 	
67	egg 	Nuss, Negg	~+	nuz			qarnu 	
68	horn 		~f	si			zibbatu 	
69	tail 			kun			nāṣu 	
70	feather 	pa`	~ 	(ngiš)pa			šārtu 	
71	hair 	skhair		siki			rēšu 	
72	head 		<<	sang, ugu			uznu 	
73	ear 			ngeštug			īnu 	
74	eye 	eyge	~🗸🗸	igi			appu 	
75	nose 	<> curve?		kiri3,4			pû 	
76	mouth 	kau! 口 kǒu, 	~🗸🗸	ka			šinnu 	
77	tooth 	zuth	~🗸🗸	zu			lišānu 	
78	tongue (organ) 	𒅴 eme~mouth		eme			ṣupru 	
79	fingernail 			umbin			šēpu 	
80	foot 		------------	ngìri			kimṣu 	
