No. 	English 	𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections	Egyptian many variants	Akkadian SEM-PIE	Akkadian 
1	I 	𒂷𒂊, 𒂊	ĝae, ĝe, nge26, men2, 3	unk: ego, mein	(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 𓍢 𓇋 , 𓏌𓎡𓍢 	an.ego / 俺 on.Ich 𐎀𐎐	𒀀𒈾𒆪 (anāku) 
2	you (singular) 	𒍝	za	ca, thy, thou 𓎡 Tasse	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥	a.Ti	𒀜𒋫 m (atta), 𒀜𒋾 f (atti) 
3	he 	𒅔 𒉌	in, ni	hin, on, neutral, 𒈗𒀀𒉌𒅕 lugal-anir his king 𓆑 natter	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖	su	𒋗𒌑 (šū) 
4	we 		menden	man	(𓈖𓏏) 𓈖𓏥, 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥	nous	𒉌𒉡 (nīnu) 
5	you (plural) 		menzen, zaemenzen, zaenzen	𒍝門	(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤	a.Deine	attunu m, attina f 
6	they 	𒂊𒉈𒉈	e-ne-ne	em’, on <> 𒅔𒉌	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥	a.Seine / them	𒋗𒉡 m (šunu), 𒅆𒈾 f (šina) 
7	this 	𒉈	ne	na, 𓇑𓇑𓈖, 𓈖𓄿	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖	NO	annû 
8	that 	𒊑	re		𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,	ce	šū, ullû 
9	here 	𒄖𒂊?	gu'e		𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐		annânu 
10	there 	𒀀𒁀	gure, a-ba	Latin ibi over	𓂧 𓏮 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐, 𓇋𓅓,	apiya 	"a-pi-ya  there/then, akannaka, 𒆠𒌓𒁀	ki-ud-ba "
11	who 	𒀀𒁀	a-ba, aba	awho?	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓋴, 𓏶		mannu 
12	what 	𒀀𒈾	a-na 	ana.ma? 𓈖 𓅓 𓂝 ante…  what in… <> this	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓐍 𓏮, 𓋴, 𓏶, 𓏏𓊪𓏮 𓆵 𓀁		mīnu 
13	where 	𒀀, 𒆠, 𒈨, 𒈠, 𒈨𒑰𒀀	a, ki, me, ma , me'a	"𒀀 wo, à, que? 𓂠 ma… ≈ 𓂟  𓅓 𓂟 , 𓅓 𓂝 መኑ  mannu “who” 𒌋𒌋𒉡 	man-nu 	who?   ምንት mənt “what”  ምን min  𒂗𒉆 #minû "	𓏏𓈖𓏮𓌙𓅯 𓈐, 𓏏𓈖𓏌𓅱𓌙𓅯		ali 
14	when 	𒀀, 𒌓, 𒈨𒈾𒀀𒀭	a, ud, me-na-am₃ menam	qũd, quando, at what day, 𓅓☽☽?	𓐍𓆑𓏏, 𓐍𓏏𓆑, 𓐍𓆑, 𓅯𓅯, 𓅓		ayyānu, mati 
