 No. 	English 	Thai ภาษาไทย 	Transliteration	PIE? Few CH? some		
1	I 	ฉัน, ผม, กู 	chǎn, phǒm, kuu	ego 𓎡𓅱		
2	you 	คุณ, เธอ, มึง 	khun, thəə, mʉŋ	ku/thee 𓎡𓈖		
3	he 	เขา 	khǎo	--		
4	we 	เรา, พวกเรา 	phûak.rao, rao,	--		
5	you 	พวกคุณ 	phûak.khun	--	phûak~plural/poly ;)	
6	they 	พวกเขา 	phûak.kháo	--		
7	this 	นี้, นี่ 	níi	na		
8	that 	นั้น, นั่น 	nán	na		
9	here 	ที่นี่ 	thîi.nîi	da		
10	there 	ที่นั่น 	thîi.nân			
11	who 	ใคร, ผู้ใด 	khrǎi, phûu.day	Qui? Who.de?		
12	what 	อะไร 	a.ray			
13	where 	ที่ไหน, ที่ใด 	thîi.nǎy, thîi.day	to.na? do.da?		
14	when 	เมื่อไร 	mʉ̂a.ray			
15	how 	อย่างไร, ยังไง 	yàaŋ.ray, yaŋ.ŋay			
16	not 	ไม่, ไม่ใช่ 	mây, mây.chây	mei OK		
17	all 	ทั้งหมด, หมด 	tháŋ.mòt, mòt	tou’le’mond		
18	many 	หลาย 	lǎay			
19	some 	บ้าง, บาง 	bâaŋ, baaŋ			
20	few 	สองสาม, น้อย 	sɔ̌ɔŋ.sǎam, nɔ́ɔy			
21	other 	อื่น 	ʉ̀ʉn			
22	one 	หนึ่ง 	nʉ̀ŋ	un		
23	two 	สอง 	sɔ̌ɔŋ	do		
24	three 	สาม 	sǎam	sam		
25	four 	สี่ 	sìi	si		
26	five 	ห้า 	hâa	wu		
27	big 	ใหญ่, โต 	yày, too	tai		
28	long 	ยาว, นาน 	yaaw, naan			
29	wide 	กว้าง 	kwâaŋ			
30	thick 	หนา 	nǎa			
31	heavy 	หนัก 	nàk			
32	small 	เล็ก, น้อย 	lék, nɔ́ɔy	luett		
33	short 	สั้น, เตี้ย 	sân, tîa			
34	narrow 	แคบ 	khâeaep			
35	thin 	บาง, ผอม 	baaŋ, phɔ̌ɔm			
36	woman  	หญิง  	yǐŋ	yain,gyn,queen		
37	man  	ชาย  	chaay	kerl		
38	man 	ผู้, คน 	phûu, khon			
