List No. 	English 	Burmese မြန်မာဘာသာ 	BGN/PCGN Romanized Burmese 	PIE / Sino	Tibetan བོད་སྐད་ 	Wylie Romanized Tibetan 	Dzongkha རྫོང་ཁ 	Van Driem Romanized Dzongkha 	Romanized Karen 	Manang ŋyeshaŋ 	Romanized Tshangla Tshang lo 	Romanized Apatani
1	I 	ငါ (informal)[1] 	nga 	ego an.ig	ང 	nga 	ང 	nga /ŋɑ˩/ 	ya 	1ŋʌ 	jang 	ngo
2	you (singular) 	နင်, မင်း (informal)[2] 	nin, min 		ཁྱེད, ཁྱེད་རང, ཁྱོད་རང 	khyed, khyed rang, khyod rang 	ཁྱོད 	chö /t͡ɕʰøː˥/ 	na 	3kjʌ 	nan 	no
3	he 	သူ 	thu 		ཁོ, ཁོང 	kho, khong 	ཁོ 	kho /kʰo˥/ 	aq 	1kʰi 	ro 	mo
4	we 	ငါတို့ 	ngato 		ང་ཚོ 	nga tsho 	ང་བཅས 	nga-ce /ŋɑ˩.t͡ɕe˥/ 	pa 	1ŋjaŋ 	ai(ba) 	ngunu
5	you (plural) 	နင်တို့ 	nin do 		ཁྱེད་ཚོ, ཁྱེད་རང་ཚོ 	khyed tsho, khyed rang tsho 	ཁྱེས 	chä /t͡ɕʰɛː˥/ 	su 	1kimi 	nai(ba) 	nunu
6	they 	သူတို့, သူများ 	thu do, thu mya 		ཁོ་ཚོ, ཁོང་ཚོ 	kho tsho, khong tsho 	ཁོང 	khong /kʰoŋ˥/ 	aq we 	1kʰimi 	rokte(ba) 	molu
7	this 	ဒါ, ဒီ[3] 	da, di 	the	འདི 	'di 	འདི 	di /ti˩/ 	qi 	2tsu 	uthu 	si, sika
8	that 	ဟို, ထို 	ho, hto 	da	དེ, ཕ་གི 	de, pha gi 	དེ 	d˚i /tʰi˩/ 		1u 	onyu 	hɨ, hɨka, iñsi, iñka
9	here 	ဒီမှာ[4] 	di hma 	da	འདིར, འདི་ལ 	'dir, 'di la 	ནཱ 	nâ /nɑː˩/ 		2tsu-ri 	tha 	so(h)
10	there 	ဟိုမှာ, ထိုမှာ 	ho hma, hto hma 	there	དེར, དེ་ལ, ཕ་གིར 	der, de la, pha gir 	ཕར 	phâ /pʰɑː˥/ 		1u-ri 	onya, lela 	ho, iñso
11	who 	ဘယ်သူ[5] 	be thu 	Su shui 𓇓	སུ 	su 	གཱ 	g˚â /kʰɑː˩/ 		2su 	ibi 	hu
12	what 	ဘာ[6] 	ba 	Bwha / qua	ག་རེ 	ga re 	ག་ཅི 	g˚aci /kʰɑ˩.t͡ɕi˥/ 		2ta 	hang 	nɨ, nɨna
13	where 	ဘယ်[7] 	be 	Bwha / qua	ག་པར 	ga par 	ག་ཏི 	g˚âti /kʰɑː˩.ti˥/ 		hani 	oga 	no(h)
14	when 	ဘယ်တော့, ဘယ်တုန်းက 	be daw, be doun ga 	Bwha / qua	ག་དུས 	ga dus 	ནམ 	nam /nɑm˩/ 		4hajuŋ 	hala, giti 	nɨda(future ref.), nɨdo(past ref.)
15	how 	ဘယ်[8] 	be 	Bwha / qua	ག་ནས 	ga nas 	ག་དེ་སྦེ 	g˚ad˚ebe /kʰɑ˩.tʰe˩.pe˩/ 		ha coŋpʌ 	hangte(n) 	nɨtaň, nɨtaňpa
16	not 	မ 	ma 	mno, min!	མ, མིན, མེད 	ma, min, med 	མ, མི 	ma, mi /mɑ˩, mi˩/ 	ba 	a 	ma 	ma, -ma
17	all 	အားလုံး 	a loun 	allen!	ཚང་མ 	tshang ma 	ག་ར 	g˚âra /kʰɑː˩.rɑ˩/ 		2tʃʰaraŋ 	thamcherang 	mɨlañja, mɨlañru
18	many 	များ, များကြီး 	mya, mya gyi 	manya menge	མང་པོ 	mang po 	ལེ་ཤ 	läsha /lɛː˩.ɕɑ˥/ 		2peʔ 	shama 	abu, abuje, abɨ, abɨje, mahlañ
19	some 	အချို့ 	a chou 	sha/chou	ཁ་ཤས 	kha shas 	ལ་ལུ 	lalu /lɑ˩.lu˩/ 		2tore, lʌle 	tshebang 	iche, ichu, ichuche
20	few 	နည် 	ne 	1	ཁ་ཤས, ཉུང་ཤས 	kha shas, nyung shas 	དག་པ 	d˚akpa /tʰɑk˩.pɑ˥/ 		njeta 	dazere, tiktang 	iche, ichu, ichuche
