 No. 	English 	Vietnamese tiếng Việt	WTF	
1	I 	tôi (see Vietnamese pronouns)	WTF	
2	you (singular) 	(see Vietnamese pronouns)	WTF	
3	he 	anh ấy, ông ấy * (see Vietnamese pronouns)	an.he	
4	we 	chúng ta (inclusive), chúng tôi (exclusive) (see Vietnamese pronouns)	WTF	
5	you (plural) 	các bạn, bây (informal) (see Vietnamese pronouns)	cyou WTF	
6	they 	họ (see Vietnamese pronouns)	hem	
7	this 	này, đây	na, das	
8	that 	đó	de	
9	here 	đây	da	
10	there 	ở đó, đấy	au da	
11	who 	ai (interrogative)		
12	what 	gì, cái gì (interrogative)	qi?	
13	where 	ở đâu (no movement, interrogative)	wo da?	
14	when 	khi nào (interrogative)	qhe now?	
15	how 	sao (interrogative)	so, s…how	
16	not 	không, chẳng, chả	KEIN cha 差	
17	all 	tất cả, mọi, hết	Tout, 1	
18	many 	nhiều, lắm	WTF	
19	some 	mấy	WTF	
20	few 	ít	WTF	
21	other 	khác	WTF	
22	one 	một	moi	
23	two 	hai	(t)he	
24	three 	ba	WTF	
25	four 	bốn	WTF 5	
26	five 	năm	WTF	
27	big 	lớn, to, bự	long, tai, bựg	
28	long 	dài	da! tail?	
29	wide 	rộng	广 gruang range	
30	thick 	dày		
31	heavy 	nặng		
32	small 	nhỏ, bé	:	
33	short 	ngắn		
34	narrow 	chật, hẹp		
35	thin 	mỏng	亡?	
36	woman 	đàn bà, phụ nữ		
37	man (adult male) 	đàn ông, trai		
38	man (human being) 	người	----	
39	child 	con	++	
40	wife 	vợ	vợfe vợman	
41	husband 	chồng		
42	mother 	mẹ, má, u, mạ, mệ	mama	
43	father 	cha, bố, ba, tía, thầy	baba,dadie	
44	animal 	thú	thúr tier	
45	fish 	cá	----	
46	bird 	chim	----	
47	dog 	chó	gou, chien, köter	
48	louse 	rận, chấy		
49	snake 	rắn	----	
50	worm 	giun, trùn	gwurm,turn	
51	tree 	cây	c@sumer	
52	forest 	rừng	djungle	
53	stick 	gậy, cây	<<<<	
54	fruit 	quả, trái	gua, traube	++
55	seed 	hạt	shạt seed	
56	leaf 	lá	láef leaf	
57	root 	rễ	rễot root	
58	bark (of a tree) 	vỏ	vỏrk bark	
59	flower 	hoa, bông	hua	
60	grass 	cỏ	cỏss	
61	rope 	dây	Tau	
62	skin 	da	der!	
63	meat 	thịt		
64	blood 	máu		
65	bone 	xương		
66	fat (noun) 	mỡ		
67	egg 	trứng		
68	horn 	sừng	jiaong	
69	tail 	đuôi	dtail	
70	feather 	lông	!! –	
71	hair 	tóc	tou(fa) 	
72	head 	đầu	top	
73	ear 	tai	Ear dou	
74	eye 	mắt	muya	
75	nose 	mũi	muise	
76	mouth 	miệng, mồm	mo…	
77	tooth 	răng	Rank –	
78	tongue (organ) 	lưỡi	lingue	
79	fingernail 	móng	moon?	
80	foot 	bàn chân	BEIN:	
81	leg 	chân	cknee	
82	knee 	đầu gối, gối	goinee	
83	hand 	bàn tay		
84	wing 	cánh	--	
85	belly 	bụng	;)	
86	guts 	lòng, ruột	lung	
87	neck 	cổ	gurgel	
88	back 	lưng	long	
89	breast 	vú, ngực		
90	heart 	tim	tome@tommy	
91	liver 	gan	甘	
92	to drink 	uống	---	
93	to eat 	ăn	can:	
94	to bite 	cắn	can(tine)=eat kaun	
95	to suck 	mút, hút (straw), bú (breast)		
96	to spit 	nhổ, khạc		
97	to vomit 	nôn, mửa, ói		
98	to blow 	thổi		
99	to breathe 	hô hấp, thở		
100	to laugh 	cười		
101	to see 	thấy, nhìn (look), trông	thee, nvi’	
102	to hear 	nghe	𓆓	
103	to know 	biết	bwit	
104	to think 	nghĩ	𓆓 thiNGhi	
105	to smell 	ngửi	𓆓	
106	to fear 	sợ	sob	
107	to sleep 	ngủ	<>sit, 	
108	to live 	sống	sheng	
109	to die 	chết	cut	
110	to kill 	giết	cut	
111	to fight 	đánh, chiến đấu	duelliern	
112	to hunt 	săn	shunt	<<
113	to hit 	đánh		
114	to cut 	cắt	CUT	
115	to split 	chẻ	chut	
116	to stab 	đâm	dome 𓏙𓇮 dorn	
117	to scratch 	gãi, cạo, cào	scao…	
118	to dig 	đào	daog	
119	to swim 	bơi	boye	
120	to fly 	bay	bhlay	
121	to walk 	đi		
122	to come 	đến		
123	to lie (as in a bed) 	nằm (action)	<<<<	
124	to sit 	ngồi (action)	𓆓	
125	to stand 	dậy (action)	stay	
126	to turn (intransitive) 	quay	qur	
127	to fall 	ngã, té, rớt, rơi	<<<<	
128	to give 	cho, tặng		
129	to hold 	cầm, nắm	clam, nehm	
