tən-da idaŋ 		I am hungry (lit. hunger is to me) 	
tsi, tən-da 	pron. 	I 	
nok 	pron. 	you plural 	
nu, nən-da 	pron. 	you, thou 	
gina 	pron. 	he, she, it 	
hi / he 	n. 	pig, wild boar 	
tok 	pron. 	we 	
nok 	pron. 	you plural 	
nu, nən-da 	pron. 	you, thou 	
ai ədi 	adv. 	this manner 	
na 	dem. 	this (animate thing) 	
təinan bəsə 	adv. 	this year 	
təwa 	n. 	this side 	
ta 	dem. 	this (inanimate things) 	
tape, tapye 	pp. 	here; to this direction 	
gin a-di 	adv. 	that manner 	
gina 	dem. 	that 	
sabe 	pp. 	there, that direction 	
təwa 	pp. 	to here 	
tape, tapye 	pp. 	here; to this direction 	
teisa 	pp. 	here 	
ape 	loc. 	there 	
isna 	pp. 	to there 	
nupa 	pp. 	there 	
sabe 	pp. 	there, that direction 	
nəti 	adv. 	which, who 	
nən, nətn̩ 	interrog. 	what, why 	
hampe 	interrog. 	where 	
əsaɢʕi, əsaːʕi 	interrog. 	from when, when 	
əsa 	interrog. 	how 	
əsi 	interrog. 	how much, how many 	
kʰaːu, χaːu 	v. 	not (existential) 	
odoq 	v. 	not (equative) 	
swəttei / swəttəi 	adv. 	all 	
əsi 	interrog. 	how much, how many 	
mənni / məni 	adv. 	many, much 	
godzaŋ 	adv. 	few 	
aidzi 	n. 	other 	
kəita, qaida 	n. 	other 	
kampya, kampe 	pp. 	to one side 	
nəti kʰaːi 	pron. 	no one 	
qaːsn̩ 	num. 	one 	
qasti, qaːsn̩ 	num. 	one 	
qomə-d-i 	vi. 	to move from one place to another 	
qomba-a-t-n̩, qomba-a-d-i; qomba ə-go (imp) 	vt. 	to move, pour from one container to another 	
yeodze 	adv. 	now, one moment 	
bʰəra-d-n̩, bʰəra-d-i 	vt. 	to break rope, pull in two 	
dukʰu 	num. 	two 	
dziŋa 	num. 	two 	
nya ə-go (imp) 	vt. 	to hold in two hands 	
solo-q-n̩ 	vi. 	to break in two 	
da 	num. 	three 	
dahat 	num. 	three 	
piːəgu 	num. 	four 	
pyaŋdzaŋ 	num. 	four 	
pãgo 	num. 	five 	
paŋdzaŋ 	num. 	five 	
õːɲi 	adj. 	big 	
ləŋka, ləŋkəi 	adj. 	long 	
pinda pinda 	adv. 	long ago 	
pyai pyai 	adv. 	long ago 	
bətsʰəi 	adj. 	wide 	
gəini 	adj. 	thick 	
liŋwa 	adj. 	heavy 	
hũkui / huŋkəi 	adj. 	small 	
pʰotoq / pʰoqtoχ, pʰokto 	adj. 	short 	
kya.aŋ 	adj. 	thin, skinny 	
dzəgəl 	n. 	old woman 	
ɲãɴʕdidze, ɲãɴʕdi getse 	n. 	human female, woman 	
oməq / omaχ 	n. 	blouse, woman’s garment 	
duidze, dui getse 	n. 	human male, man 	
dʰya 	n. 	old man 	
dzandza 	n. 	wild man 	
nu, niu 	n. 	person, human, man, mankind 	
duidze, dui getse 	n. 	human male, man 	
dʰya 	n. 	old man 	
dzandza 	n. 	wild man 	
nu, niu 	n. 	person, human, man, mankind 	
bewə-d-n̩, bewə-d-i 	vt. 	to bear child 	
getse 	n. 	offspring, child 	
getse, hũkui 	n. 	baby, child 	
gesala 	n. 	wife’s younger brother 	
gesali 	n. 	wife’s sister, sister-in-law 	
maqʰadzi / maχkadzʰi 	n. 	father’s younger brother’s wife 	
nyabi, nyabe 	n. 	mother’s brother’s wife 	
ɲãɴʕdi / ɲãŋdi 	n. 	wife 	
dui 	n. 	husband 	
məndu, mədəu 	n. 	elder sister’s husband 	
gyaudzi 	n. 	mother-in-law 	
məi 	n. 	mother 	
nyabi, nyabe 	n. 	mother’s brother’s wife 	
nyam 	n. 	mother’s brother 	
budun 	n. 	father-in-law 	
gimdʰər 	n. 	father’s brother, uncle 	
imala 	n. 	father’s second younger brother 	
ĩsala 	n. 	father’s third brother 	
maqʰadzi / maχkadzʰi 	n. 	father’s younger brother’s wife 	
yəi / ei 	n. 	father 	
yãtsa 	n. 	father’s younger brother 	
nəsa 	n. 	fish 	
bãkʰa, bãkʰə 	n. 	type of bird (Nep. lãcʰe) 	
bukʰra 	n. 	type of bird 	
qotu / kotou, koʈou 	n. 	bird 	
qotu uhu 	n. 	bird’s beak 	
agəi 	n. 	dog 	
agəi getse 	n. 	dog pup 	
dzʰõ 	n. 	louse egg 	
ki 	n. 	louse 	
tu 	n. 	snake, bug, insect 	
doma 	n. 	a kind of tree 	
gəũtsi 	n. 	a kind of tree 	
hilaŋ 	n. 	a kind of tree 	
kapu 	n. 	a kind of fruit tree (Nep. kapʰəl; Myrica esculenta) 	
kasa 	n. 	a kind of tree (Nep. sajʰə) 	
kayak 	n. 	a kind of tree (Nep. bʰəlayo; Rhus succedaneum) 	
pənahak 	n. 	a kind of tree (Nep. malu; Bauhinia vahlii) 	
papdore abəq 	n. 	a tree mushroom 	
səũli, s~əli 	n. 	pine tree 	
tsinu 	n. 	a kind of tree 	
yiː / ihi 	n. 	tree 	
gilaŋ / gelaŋ 	n. 	forest 	
gilaŋ abəq 	n. 	forest mushroom 	
dəŋga 	n. 	walking stick, whip 	
ləp-dzi 	vi. 	to adhere, stick 	
dzoŋdzo ə-g-ən 	vi. 	to bear fruit, flourish 	
kapu 	n. 	a kind of fruit tree (Nep. kapʰəl; Myrica esculenta) 	
gida: (Nep.) 	n. 	seed 	
biyãχ 	n. 	tobacco leaf 	
gimi 	n. 	money (< gimi haq ‘female leaf’) 	
haq / haχ 	n. 	leaf, book 	
haq gimi 	n. 	paper, paper note (lit. female leaf) 	
pətsʰe haq 	n. 	leafy vegetable, green leaf 	
-ə 	vt. 	'root of the verb ''talk, speak'' '	(see also ts-ə ə-d-n̩ and n-ə ə-n-i)
-əg 	vi. 	'root of the verb ''go'' '	(see also ts-əg-ən, n-əg-ən, d-əg-əi)
godoq / gorok, gorokʰ, goroχ 	n. 	root 	
-i 	vt. 	'root form of the verb ''fetch, bring'' '	(see also ts-iw-ən and əiga)
-ig- 	vt. 	'root form of the verb ''put in'' '	(see also ts-ig-ən)
-ip- 	vi. 	'root form of the verb ''sleep'' '	(see also ts-ip-n̩ and n-ip-n̩)
-it- 	vi. 	'root form of the verb ''say'' '	(see also ts-it-n̩ and n-it-n̩)
-mi 	vt. 	'root form of the verb ''forget'' '	(see also tsə-mi-n)
gidət, gitət 	n. 	skin, bark, leather 	
gipan 	n. 	flower 	
gʰãs (Nep.) 	n. 	grass 	
bʰəra-d-n̩, bʰəra-d-i 	vt. 	to break rope, pull in two 	
bʰəra-q-n̩ 	vi. 	to break (of rope) 	
suta, sutta 	n. 	rope, string, thread 	
gidət, gitət 	n. 	skin, bark, leather 	
amba / əmba 	n. 	flesh, meat 	
amba padə-g-ən 	vt. 	to hunt (lit. to hunt meat) 	
kisa-d-n̩ 	vt. 	to cut meat, clear brush 	
yen amba 	n. 	'thigh (lit. ''leg meat'') '	
ləpa, ləppa 	n. 	blood 	
matsa 	n. 	blood vessel 	
gu.u, guhu 	n. 	bone 	
guhu masi 	n. 	bone marrow 	
gisi 	n. 	fat 	
hyu-dzi 	adj. 	fat 	
dzʰõ 	n. 	louse egg 	
gwa 	n. 	egg 	
gwa ə-g-ən 	vt. 	'to lay egg (lit. ''do egg'') '	
ipi gidzaŋ 	n. 	horn 	
yuŋsũ / gusuŋ 	n. 	tail
awən / əhun, ahun 	n. 	feather 	
gi 	n. 	hair, fur 	
sat ipi bənə-d-i 	vt. 	to comb hair 	
ipi 	n. 	head 	
iyu 	n. 	ear 	
iŋ / inəŋ 	n. 	eye 	
inu / inəu 	n. 	nose 	
ata gidaŋ / atta gitaŋ 	n. 	saliva (lit. mouth water) 	
ata, atta 	n. 	mouth 	
uhu, u.u 	n. 	tooth 	
iŋdzũ, idziŋ / idzəŋ 	n. 	tongue 	
aosi / aose / əusi 	n. 	fingernail 	
iŋgidat / iŋgidət 	n. 	Sarki, shoemaker caste (lit. foot leather) 	
yen 	n. 	foot, leg 	
yen gidət / yen gitət 	n. 	'shoe (lit. ''foot leather'') '	
yen 	n. 	foot, leg 	
yen amba 	n. 	'thigh (lit. ''leg meat'') '	
yeŋ dəi ə-g-ən 	vt. 	'to kick (lit ''hit with leg'') '	
upto / opʈo 	n. 	knee, kneecap 	
awi / awəi 	n. 	hand, wrist, arm 	
həbə-o (imp) 	vt. 	to hold in hand 	
