No. 	English 	Zazaki dımli Iranian@Turkey	VERY INTERSTING PIE	
1	I 	ez, ed	ego, anti	
2	you (singular) 	tı, to (informal), şıma (formal)	tu, sie	
3	he 	o	ho	
4	we 	ma	mai	
5	you (plural) 	şıma	sie	
6	they 	ee	'ey	
7	this 	na	那 nèi nah! Nämlich	
8	that 	no, o	那 nà nah!	
9	here 	etiyade	at yade ~ ici	
10	there 	tiyad, ucad	at yade : da	
11	who 	kam (interrogative)	kuam	
12	what 	se, çıçi (interrogative)	ce, cic, this	
13	where 	koti, sera (no movement, interrogative)	que sera?	
14	when 	çımahal, key, çıweğt (interrogative)	zeima quam	
15	how 	seni (interrogative)	Sen? Com?	
16	not 	niyo (separate word);	ney!	
17	all 	hemi, peero	½ peers	
18	many 	bol	poly	
19	some 	teney	thom	
20	few 	tay	¬tai two²?	
21	other 	zewbi	zwei²	
22	one 	zu, zew	⚠️	
23	two 	dıdı	di	
24	three 	hiree	three	
25	four 	çehar	cetar	
26	five 	panc	panj	
27	big 	gırd	great	
28	long 	derg	dar << dura	
29	wide 	hera	quer hero<<	
30	thick 	qalın	√qar	
31	heavy 	gran	grand	
32	small 	werdı	wurm? 𓅩¬	
33	short 	kılm	kuleimn klamm	
34	narrow 	teng	t’eng dünnque	
35	thin 	barı	bare	
36	woman 	cıni	gyne	
37	man (adult male) 	Cameerd	comrade	
38	man (human being) 	insan, merdım	insane@turk,pers	"	انسان‎ 	ʾinsān 	son of Min"
39	child 	qeçek	kücke (little)	
40	wife 	pirık	brautik	
41	husband 	kalık	"kalmak ""grow old""?"	
42	mother 	ma, may	ma	
43	father 	pi, kalık	"pa,  kalmak ""old"""	
44	animal 	heywan	@	
45	fish 	mase	"𒋢𒈠𒋢 	su-ma-su ≈ 𒈲 MUŠ ?"	
46	bird 	mıriçık	music chick 𒄷 muše	
47	dog 	kutıg, del	Köter, Töle, dolg ++	
48	louse 	ıspıc		
49	snake 	mar	@Persian 𒈶  𒈲𒆷 @sumer MUŠ < могой	
50	worm 	lolık	𒇳 𒇲  lolly;) <> langue?	ONOMA
51	tree 	dar	daree!	
52	forest 	meeşe	木 mùs	
53	stick 	çuwe, sıvur	𒄑 C… 𓋴 𓆭 Ⰼ  Cherv @ sibir	
54	fruit 	meywe	malve	
55	seed 	toğım	се́ме semen <> 𒌉 DUMUⁿ doman սերմ	<<
56	leaf 	per	pratt	
57	root 	reeçe	rootse	
58	bark (of a tree) 	kabığ	karbark	
59	flower 	vılık	vlower	
60	grass 	vaş	𒌑 vaᵒˢ √wachs Gewächs grvas 𒋢𒌅   𒆶 	
61	rope 	la, resen	lassoⁿ  𓂋𓊃𓍿  syn	<<
62	skin 	goşt	Ghost?? << <> bone	
63	meat 	et	ma.et meat	
64	blood 	goni	gene!	
65	bone 	este	osteo	
66	fat (noun) 	ron, ruwen	•qron  𓈎 𓈖 𓄃  գեր	
67	egg 	haak, aag	hegg! 𓎙 𓏌 𓏥  / 𓏲 𓆷 𓄿 𓂷 𓂡 	
68	horn 	estere	osteo	<> aster!?
69	tail 	poçık	puschel	
70	feather 	mu	毛 mao 	
71	hair 	por	bu.hair  𓃀 𓂓 𓁸  bu.khair	
72	head 	sere	𐭫𐭥𐭩𐭱𐭤‎   سر‎sar	PIE *ḱerh₂-
73	ear 	goş	"Gosche 𓆓 𓄔 хъусын qusyn ""hear"" > ʰaşnawen"	
74	eye 	çım	𒅆 ŠI çım Seemur	
75	nose 	zınci, pırnık	Zinke! ze.nose Prank?	
76	mouth 	fek	face, le Pack!	
77	tooth 	dından	dental	
