group_id,rep_glyph_index,rep_glyph_name,member_glyph_index,member_glyph_name,member_codepoints_hex,group_size
0,1,glyph1,1,glyph1,U+F1001 U+0000 U+0008 U+001D U+F1001,2
0,1,glyph1,2,glyph2,U+F1002 U+0009 U+000D U+F1002,2
1,3,uni38DB,3,uni38DB,U+4894 U+4894 U+F102D U+4894 U+4894 U+F102D,1
2,4,uni31D7,4,uni31D7,U+4E85 U+4E85 U+F100A U+4E85 U+4E85 U+F100A,1
3,5,uni4E2D,5,uni4E2D,U+4EF2 U+4EF2 U+F1080 U+4EF2 U+4EF2 U+F1080,1
4,6,uni4E4D,6,uni4E4D,U+4F5C U+4F5C U+F1089 U+4F5C U+4F5C U+F1089,1
5,7,uni4E8B,7,uni4E8B,U+4F7F U+540F U+4F7F U+540F U+F108F U+4F7F U+540F U+4F7F U+540F U+F108F,1
6,8,uni4F51,8,uni4F51,U+4F91 U+53C8 U+53F3 U+6709 U+4F91 U+53C8 U+53F3 U+6709 U+F10B1 U+4F91 U+53C8 U+53F3 U+6709 U+4F91 U+53C8 U+53F3 U+6709 U+F10B1,1
7,9,uni3C8B,9,uni3C8B,U+5154 U+5154 U+F103B U+5154 U+5154 U+F103B,1
8,10,uni356F,10,uni356F,U+518F U+518F U+F1014 U+518F U+518F U+F1014,1
9,11,uni5213,11,uni5213,U+5216 U+5216 U+F10F0 U+5216 U+5216 U+F10F0,1
10,12,uni34EA,12,uni34EA,U+5246 U+5246 U+F1010 U+5246 U+5246 U+F1010,1
11,13,uni355A,13,uni355A,U+53C9 U+53C9 U+F1011 U+53C9 U+53C9 U+F1011,1
12,14,uni53DC,14,uni53DC,U+53DF U+641C U+53DF U+641C U+F07D1 U+F1130 U+53DF U+641C U+53DF U+641C U+F07D1 U+F1130,1
13,15,uni5415,15,uni5415,U+5442 U+5442 U+F1142 U+5442 U+5442 U+F1142,1
14,16,uni4E4E,16,uni4E4E,U+547C U+547C U+F108A U+FE57E U+547C U+547C U+F108A U+FE57E,1
15,17,uni51FD,17,uni51FD,U+5705 U+5705 U+F10EB U+5705 U+5705 U+F10EB,1
16,18,uni53F6,18,uni53F6,U+582A U+582A U+F113A U+582A U+582A U+F113A,1
17,19,uni5723,19,uni5723,U+58BE U+58C5 U+58BE U+58C5 U+A78F9 U+F05B1 U+F1174 U+58BE U+58C5 U+58BE U+58C5 U+A78F9 U+F05B1 U+F1174,1
18,20,uni4E04,20,uni4E04,U+58EB U+58EB U+F1070 U+FFC36 U+58EB U+58EB U+F1070 U+FFC36,1
19,21,uni5315,21,uni5315,U+59A3 U+59A3 U+F1107 U+59A3 U+59A3 U+F1107,1
20,22,uni59C3,22,uni59C3,U+5A16 U+5A16 U+A9097 U+F11B8 U+5A16 U+5A16 U+A9097 U+F11B8,1
21,23,uni5B84,23,uni5B84,U+5B8F U+5B8F U+F11E6 U+5B8F U+5B8F U+F11E6,1
22,24,uni375B,24,uni375B,U+5BBF U+5BBF U+F1021 U+5BBF U+5BBF U+F1021,1
23,25,uni4836,25,uni4836,U+5C04 U+5C04 U+F1062 U+5C04 U+5C04 U+F1062,1
24,26,uni55AE,26,uni55AE,U+5E72 U+5E72 U+F1161 U+5E72 U+5E72 U+F1161,1
25,27,uni53CE,27,uni53CE,U+5EFE U+5EFE U+20B1E U+F112C U+5EFE U+5EFE U+20B1E U+F112C,1
26,28,uni590D,28,uni590D,U+5FA9 U+5FA9 U+F118C U+5FA9 U+5FA9 U+F118C,1
27,29,uni5FD2,29,uni5FD2,U+60C4 U+60C4 U+F1270 U+60C4 U+60C4 U+F1270,1
28,30,uni53C0,30,uni53C0,U+60E0 U+60E0 U+F1128 U+60E0 U+60E0 U+F1128,1
29,31,uni5C24,31,uni5C24,U+6182 U+6182 U+F1212 U+6182 U+6182 U+F1212,1
30,32,uni6209,32,uni6209,U+6216 U+925E U+6216 U+925E U+F127B U+6216 U+925E U+6216 U+925E U+F127B,1
31,33,uni5F85,33,uni5F85,U+6220 U+6220 U+F1261 U+6220 U+6220 U+F1261,1
32,34,uni5728,34,uni5728,U+624D U+624D U+F0F91 U+F1175 U+624D U+624D U+F0F91 U+F1175,1
33,35,uni5370,35,uni5370,U+6291 U+6291 U+F111E U+6291 U+6291 U+F111E,1
34,36,uni5305,36,uni5305,U+62B1 U+62B1 U+F1106 U+62B1 U+62B1 U+F1106,1
35,37,uni5262,37,uni5262,U+6580 U+6580 U+F10FB U+6580 U+6580 U+F10FB,1
36,38,uni3A85,38,uni3A85,U+66F4 U+66F4 U+F1031 U+66F4 U+66F4 U+F1031,1
37,39,uni671B,39,uni671B,U+6722 U+6722 U+268E0 U+F12DC U+6722 U+6722 U+268E0 U+F12DC,1
38,40,uni6778,40,uni6778,U+679A U+679A U+F12ED U+679A U+679A U+F12ED,1
39,41,uni5FC5,41,uni5FC5,U+67F2 U+67F2 U+F126F U+67F2 U+67F2 U+F126F,1
40,42,uni3B9A,42,uni3B9A,U+6817 U+6817 U+F1037 U+6817 U+6817 U+F1037,1
41,43,uni57DC,43,uni57DC,U+6959 U+6959 U+F117C U+6959 U+6959 U+F117C,1
42,44,uni69C0,44,uni69C0,U+69C1 U+69C1 U+F1308 U+69C1 U+69C1 U+F1308,1
43,45,uni6743,45,uni6743,U+6A39 U+6A39 U+F12E3 U+6A39 U+6A39 U+F12E3,1
44,46,uni6B7F,46,uni6B7F,U+6B81 U+6B81 U+F131F U+6B81 U+6B81 U+F131F,1
45,47,uni6637,47,uni6637,U+6B9E U+6B9F U+6B9E U+6B9F U+A202D U+F12C2 U+6B9E U+6B9F U+6B9E U+6B9F U+A202D U+F12C2,1
46,48,uni4181,48,uni4181,U+6BAC U+6BAC U+F104E U+6BAC U+6BAC U+F104E,1
47,49,uni3C7F,49,uni3C7F,U+6BBB U+6BBC U+6BBB U+6BBC U+F103A U+6BBB U+6BBC U+6BBB U+6BBC U+F103A,1
48,50,uni6666,50,uni6666,U+6BCD U+6BCD U+F12C5 U+6BCD U+6BCD U+F12C5,1
49,51,uni6C34,51,uni6C34,U+6C35 U+6C35 U+F0C00 U+F132C U+6C35 U+6C35 U+F0C00 U+F132C,1
50,52,uni4F83,52,uni4F83,U+6C38 U+6C38 U+F10B4 U+6C38 U+6C38 U+F10B4,1
51,53,uni6C4F,53,uni6C4F,U+6C70 U+6C70 U+F132F U+6C70 U+6C70 U+F132F,1
52,54,uni6C88,54,uni6C88,U+6C89 U+6C89 U+F0C5F U+F1336 U+6C89 U+6C89 U+F0C5F U+F1336,1
53,55,uni5DDB,55,uni5DDB,U+707D U+707D U+F0FEE U+F1225 U+707D U+707D U+F0FEE U+F1225,1
54,56,uni6EC5,56,uni6EC5,U+70D5 U+70D5 U+F0969 U+F1358 U+70D5 U+70D5 U+F0969 U+F1358,1
55,57,uni707E,57,uni707E,U+70D6 U+70D6 U+F07C7 U+F136F U+70D6 U+70D6 U+F07C7 U+F136F,1
56,58,uni4EA1,58,uni4EA1,U+7121 U+7121 U+F1099 U+7121 U+7121 U+F1099,1
57,59,uni5C1E,59,uni5C1E,U+71CE U+71CE U+71CE U+71CE,1
58,60,uni596D,60,uni596D,U+723D U+723D U+F11A3 U+723D U+723D U+F11A3,1
59,61,uni72E9,61,uni72E9,U+7378 U+7378 U+B6B0F U+F1399 U+7378 U+7378 U+B6B0F U+F1399,1
60,62,uni73A8,62,uni73A8,U+73CF U+73CF U+24934 U+F13A3 U+73CF U+73CF U+24934 U+F13A3,1
61,63,uni5782,63,uni5782,U+74DC U+74DC U+F117A U+74DC U+74DC U+F117A,1
62,64,uni5CC0,64,uni5CC0,U+752B U+752B U+F1222 U+752B U+752B U+F1222,1
63,65,uni3F56,65,uni3F56,U+7537 U+7537 U+F1047 U+7537 U+7537 U+F1047,1
64,66,uni7592,66,uni7592,U+75BE U+75BE U+F13C2 U+75BE U+75BE U+F13C2,1
65,67,uni38AD,67,uni38AD,U+767C U+767C U+F102B U+767C U+767C U+F102B,1
66,68,uni4F2F,68,uni4F2F,U+767D U+767D U+767D U+767D,1
67,69,uni3FDD,69,uni3FDD,U+7680 U+7680 U+F1049 U+7680 U+7680 U+F1049,1
68,70,uni7813,70,uni7813,U+78EC U+78EC U+F13E9 U+78EC U+78EC U+F13E9,1
69,71,uni571F,71,uni571F,U+793E U+793E U+F056D U+F1173 U+793E U+793E U+F056D U+F1173,1
70,72,uni4E14,72,uni4E14,U+7956 U+7956 U+F1078 U+7956 U+7956 U+F1078,1
71,73,uni7948,73,uni7948,U+7957 U+7957 U+F13ED U+7957 U+7957 U+F13ED,1
72,74,uni64D2,74,uni64D2,U+79BD U+79BD U+A59C6 U+F1297 U+79BD U+79BD U+A59C6 U+F1297,1
73,75,uni5BEE,75,uni5BEE,U+7AC2 U+7AC2 U+F1206 U+7AC2 U+7AC2 U+F1206,1
