bleich	bleek
bis	tott	
Bleistift	Pottloat
blöd	hellig, dull (OG)
Büschel, Bündel, das	Fussen, denn [fascie!]
Creme	Salwe
hinten	achtern
je..desto	wu .... wu
dividieren	döardelen
Ecke	Hook
eilig	drock, driftig, in’n Draff[Druck]
einbilden	strunzen[Martin]
einfach	macklig
Einkauf	Boschup
einladen	nöagen
eiskalt	rappkault
empfehlen	anroan; sie rott em an
eng	nauw, drung
entfernen	futt doon, futt leggen, futt goan [fort/fuß]
entkommen	futtlopen, utnäijen, utnaijen
entgegen	temöte!?
erlauben	beloawen [a->b]
erwarten	vewochten [er->ve<-ver]
Erlaubnis	Velöff
Farbe	Klöare
fast	hoarst, boll (OG)
Freude	Bliedschup?
Friedhof	Kerkhoff!!!
Gehirn	Brägen, Hassen!?
gehorchen	lüstern, lustern (OG), duunhöarig, hatthöarig ween
gemeinsam	tohoape
genau	seküür[at]
gerade	liek
grässlich	naar
Halm	Spier
häufig	fake!?
Heirat	Brülfte, Hochtied
Herd	Meschiene;)

